No,Namespace,Variable,Coleshill Heath School - 104070,Park Hall Infant Academy - 136303,Eversfield Preparatory School - 104122,Turves Green Primary School - 144390,The Westminster School - 132233,Holy Cross Catholic Primary School - 140525,The Meadows Primary School - 103296,Our Lady of the Wayside Catholic Primary School - 104098,Our Lady of the Wayside Catholic Primary School - 148085,Oakham Primary School - 103950,Manor Way Primary Academy - 142355,"St Anne's Catholic Primary School, Streetly - 104241",Ruckleigh School - 104127,Coppice Junior School - 104041,Hollyfield Primary School - 131672,Water Orton Primary School - 125620,St John Fisher Catholic Primary School - 103452,St John Fisher Catholic Primary School - 148266,Blackwood School - 148364,Blackwood School - 104211,Cranmore Infant School - 104042,Tenterfields Primary Academy - 143195,Tividale Community Primary School - 133261,Manor Primary School - 104210,Park Hill Primary School - 103910,Mesty Croft Primary - 137972,Widney Junior School - 104054,Tudor Grange Primary Academy Yew Tree - 147364,Yew Tree Primary School - 104058,Dickens Heath Community Primary School - 133720,St Augustine's Catholic Primary School - 148087,St Augustine's Catholic Primary School - 104100,St Joseph's Catholic Primary School - 140528,Brickhouse Primary School - 103936,Springfield Primary School - 132140,Woodrush High School - 136924,Turves Green Boys' School - 103500,Turves Green Boys' School - 148521,Bishop Vesey's Grammar School - 137988,Alderbrook School - 136994,New Ways School - 145417,Fairfax - 136908,John Willmott School - 144721,John Willmott School - 103522,Joseph Leckie Academy - 137830,"Tudor Grange Academy, Solihull - 136310",St Peter's Catholic School - 148094,St Peter's Catholic School - 104119,Solihull College & University Centre - 130481,Halesowen College - 130476,National state-funded primary,National state-funded secondary and 16 to 18,Description
224,CFR_19,PT1718CAT1LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,
225,CFR_19,PT1718CAT2LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,
226,CFR_19,PT1718CAT3LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,
227,CFR_19,PT1718CAT4LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,
228,CFR_19,PT1718CAT5LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,
229,CFR_19,PT1819CAT1,64%,,,,59%,,67%,69%,,70%,,70%,,58%,63%,66%,59%,,,64%,57%,,70%,62%,67%,,59%,,63%,65%,,63%,,66%,65%,,51%,,,,,,,48%,,,,72%,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
230,CFR_19,PT1819CAT2,0%,,,,1%,,4%,0%,,1%,,0%,,0%,1%,4%,0%,,,6%,0%,,1%,4%,2%,,5%,,1%,1%,,3%,,1%,5%,,0%,,,,,,,7%,,,,1%,,,,,2018-19 Supply Staff Costs (proportion of total expenditure)
231,CFR_19,PT1819CAT3,10%,,,,22%,,16%,6%,,9%,,6%,,9%,14%,7%,19%,,,7%,7%,,8%,8%,8%,,8%,,8%,5%,,6%,,9%,7%,,30%,,,,,,,27%,,,,8%,,,,,2018-19 Back Office (proportion of total expenditure)
232,CFR_19,PT1819CAT4,1%,,,,0%,,1%,1%,,1%,,1%,,1%,2%,1%,1%,,,1%,1%,,1%,1%,1%,,1%,,1%,1%,,1%,,1%,1%,,2%,,,,,,,2%,,,,1%,,,,,2018-19 Energy (proportion of total expenditure)
233,CFR_19,PT1819CAT5,100%,,,,100%,,100%,100%,,100%,,100%,,100%,100%,100%,100%,,,100%,100%,,100%,100%,100%,,100%,,100%,100%,,100%,,100%,100%,,100%,,,,,,,100%,,,,100%,,,,,2018-19 Total Expenditure (proportion of total expenditure)
234,CFR_19,PT1819CAT1LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
235,CFR_19,PT1819CAT2LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
236,CFR_19,PT1819CAT3LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,2018-19 Back Office (proportion of total expenditure) for LA
237,CFR_19,PT1819CAT4LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,2018-19 Energy (proportion of total expenditure) for LA
238,CFR_19,PT1819CAT5LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,NA,,NA,NA,,NA,,,,,,,NA,,,,NA,,,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
239,CFR_19,PDCAT1,4%,,,,12%,,6%,1%,,5%,,5%,,-7%,-2%,2%,3%,,,-4%,5%,,-2%,NA,1%,,-6%,,4%,5%,,-1%,,7%,-1%,,0%,,,,,,,-11%,,,,0%,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
240,CFR_19,PDCAT2,-2%,,,,-4%,,-1%,-2%,,0%,,-7%,,-1%,0%,-1%,0%,,,2%,-3%,,0%,-1%,2%,,0%,,-3%,-4%,,0%,,-6%,2%,,-2%,,,,,,,5%,,,,1%,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
241,CFR_19,PDCAT3,3%,,,,-2%,,-4%,0%,,2%,,-1%,,1%,-4%,2%,2%,,,1%,0%,,1%,1%,-2%,,1%,,-1%,0%,,0%,,-2%,1%,,1%,,,,,,,3%,,,,0%,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
242,CFR_19,PDCAT4,-1%,,,,0%,,0%,0%,,0%,,0%,,0%,1%,-1%,0%,,,-1%,-1%,,0%,-1%,0%,,0%,,0%,0%,,0%,,0%,-1%,,0%,,,,,,,1%,,,,-1%,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
243,CFR_19,PDCAT5,0%,,,,0%,,0%,0%,,0%,,0%,,0%,0%,0%,0%,,,0%,0%,,0%,0%,0%,,0%,,0%,0%,,0%,,0%,0%,,0%,,,,,,,0%,,,,0%,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
244,CFR_21,URN,104070,,,,132233,,103296,104098,,103950,,104241,,104041,131672,125620,103452,,,104211,104042,,133261,104210,103910,,104054,,,133720,,104100,,103936,132140,,103500,,,,,,,,,,,104119,,,,,Unique Reference Number
245,CFR_21,LONDON/NON-LONDON,Non-London,,,,Non-London,,Non-London,Non-London,,Non-London,,Non-London,,Non-London,Non-London,Non-London,Non-London,,,Non-London,Non-London,,Non-London,Non-London,Non-London,,Non-London,,,Non-London,,Non-London,,Non-London,Non-London,,Non-London,,,,,,,,,,,Non-London,,,,,London/Non-London
246,CFR_21,MEDIAN,Primary,,,,Special,,Primary,Primary,,Primary,,Primary,,Primary,Primary,Primary,Primary,,,Primary,Primary,,Primary,Primary,Primary,,Primary,,,Primary,,Primary,,Primary,Primary,,Secondary with KS4,,,,,,,,,,,Secondary with KS4,,,,,Group to compare
247,CFR_21,PUPILS,498,,,,222,,633,450,,456,,234,,204,418,308,210,,,694,193,,440,367,239,,255,,,436,,218,,207,437,,606,,,,,,,,,,,1277,,,,,Number of pupils (FTE)
248,CFR_21,FSM,52.7,,,,42.8,,40.1,12.2,,14.4,,6,,32.4,29.4,10.1,20,,,5.4,10.6,,13.7,6.4,19.4,,14.1,,,13.4,,8.5,,34.3,29.5,,34.7,,,,,,,,,,,9.6,,,,,Percentage of pupils eligible for Free School Meals (FSM)
249,CFR_21,FSMBAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free school meals eligibility band
250,CFR_21,GRANTFUNDING,6691,,,,24163,,5703,4339,,5262,,4939,,5228,5062,5346,4642,,,4667,5766,,5247,4078,5336,,4709,,,5346,,4477,,6307,5423,,7831,,,,,,,,,,,5414,,,,,Grant funding (&pound; per pupil)
251,CFR_21,SELFGENERATEDINCOME,337,,,,142,,43,100,,70,,490,,118,120,121,222,,,230,819,,58,68,83,,44,,,274,,164,,57,79,,379,,,,,,,,,,,70,,,,,Self generated income (&pound; per pupil)
252,CFR_21,TOTALINCOME,7028,,,,24305,,5746,4439,,5332,,5429,,5346,5182,5467,4864,,,4897,6585,,5305,4146,5419,,4753,,,5620,,4641,,6364,5502,,8210,,,,,,,,,,,5484,,,,,Total income (&pound; per pupil)
253,CFR_21,TEACHINGSTAFF,2551,,,,7314,,2755,2261,,2256,,2287,,2655,2725,2472,1864,,,2140,2644,,2667,2107,2314,,2344,,,2724,,2591,,2636,2413,,3509,,,,,,,,,,,3548,,,,,Teaching staff (&pound; per pupil)
254,CFR_21,SUPPLYTEACHERS,101,,,,28,,135,31,,2,,70,,122,67,73,1,,,157,31,,36,42,80,,128,,,82,,57,,94,46,,230,,,,,,,,,,,17,,,,,Supply Staff (&pound; per pupil)
255,CFR_21,EDUCATIONSUPPORTSTAFF,1604,,,,6887,,929,763,,1444,,1086,,489,726,1061,632,,,647,950,,1242,552,1176,,660,,,1364,,375,,1695,1182,,368,,,,,,,,,,,394,,,,,Education support staff (&pound; per pupil)
256,CFR_21,PREMISES,370,,,,184,,235,312,,308,,558,,388,244,245,352,,,311,490,,199,424,249,,358,,,173,,240,,473,394,,390,,,,,,,,,,,301,,,,,Premises (incl. Staff costs) (&pound; per pupil)
257,CFR_21,BACKOFFICE,514,,,,4877,,688,284,,369,,335,,430,671,241,1784,,,320,457,,484,362,673,,342,,,269,,334,,518,324,,1939,,,,,,,,,,,518,,,,,Back office (incl. Staff costs) (&pound; per pupil)
258,CFR_21,CATERING,261,,,,210,,168,201,,50,,104,,121,278,116,227,,,147,435,,107,160,122,,51,,,202,,207,,136,106,,170,,,,,,,,,,,1,,,,,Catering (incl. Staff costs) (&pound; per pupil)
259,CFR_21,OTHERSTAFF,615,,,,388,,172,134,,238,,326,,306,184,204,122,,,246,969,,170,99,124,,111,,,435,,116,,138,195,,136,,,,,,,,,,,33,,,,,Other staff costs (&pound; per pupil)
260,CFR_21,ENERGY,83,,,,0,,63,55,,72,,45,,60,102,85,65,,,39,70,,48,39,45,,57,,,56,,55,,71,53,,145,,,,,,,,,,,61,,,,,Energy (&pound; per pupil)
261,CFR_21,LEARNINGRESOURCES,99,,,,815,,127,135,,118,,365,,150,100,241,158,,,148,49,,103,103,149,,162,,,55,,103,,113,111,,407,,,,,,,,,,,90,,,,,Learning resources (not ICT equipment) (&pound; per pupil)
262,CFR_21,ICT,128,,,,64,,13,53,,71,,98,,150,25,39,38,,,39,166,,9,110,31,,153,,,72,,128,,5,84,,164,,,,,,,,,,,151,,,,,ICT learning resources (&pound; per pupil)
263,CFR_21,BOUGHTINPROFESSIONALSERVICES,238,,,,634,,5,35,,4,,49,,80,2,93,2,,,29,11,,55,128,47,,63,,,51,,81,,57,172,,0,,,,,,,,,,,50,,,,,Bought in professional services - curriculum (&pound; per pupil)
264,CFR_21,OTHER,273,,,,76,,81,53,,288,,28,,140,97,236,54,,,44,246,,67,25,100,,124,,,157,,57,,97,113,,378,,,,,,,,,,,124,,,,,Other expenditure (&pound; per pupil)
265,CFR_21,TOTALEXPENDITURE,6837,,,,21477,,5371,4317,,5220,,5351,,5091,5221,5106,5299,,,4267,6518,,5187,4151,5110,,4553,,,5640,,4344,,6033,5193,,7836,,,,,,,,,,,5288,,,,,Total expenditure (&pound; per pupil)
266,CFR_21,T1819CAT1,"4,194",,,,"13,994",,"3,404","2,720",,"3,516",,"3,158",,"2,916","3,147","3,122","2,754",,,"2,400","3,343",,"3,315","2,269","3,192",,"2,760",,,"3,419",,"2,844",,"3,716","3,311",,"3,431",,,,,,,,,,,"3,403",,,,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil)
267,CFR_21,T1819CAT2,-12,,,,288,,180,13,,37,,12,,11,30,185,8,,,218,0,,30,140,98,,234,,,60,,122,,81,252,,0,,,,,,,,,,,65,,,,,2018-19 Supply Staff Costs (&pound; per pupil)
268,CFR_21,T1819CAT3,673,,,,"5,203",,791,253,,441,,278,,450,675,327,872,,,246,417,,376,281,377,,363,,,285,,283,,515,348,,"1,979",,,,,,,,,,,382,,,,,2018-19 Back Office (&pound; per pupil)
269,CFR_21,T1819CAT4,78,,,,0,,72,58,,65,,37,,67,85,59,67,,,42,70,,46,44,48,,66,,,53,,56,,44,66,,151,,,,,,,,,,,45,,,,,2018-19 Energy (&pound; per pupil)
270,CFR_21,T1819CAT5,"6,513",,,,"23,537",,"5,073","3,959",,"5,035",,"4,532",,"5,025","4,957","4,760","4,694",,,"3,729","5,853",,"4,709","3,661","4,789",,"4,661",,,"5,220",,"4,520",,"5,653","5,106",,"6,693",,,,,,,,,,,"4,729",,,,,2018-19 Total Expenditure (&pound; per pupil)
271,CFR_21,T1819SUM,1580,,,,4052,,626,915,,976,,1047,,1581,1020,1067,993,,,823,2023,,942,927,1074,,1238,,,1403,,1215,,1297,1129,,1132,,,,,,,,,,,834,,,,,
272,CFR_21,T1819CAT1LA,"3,692",,,,"15,914",,"3,291","2,842",,"3,329",,"3,023",,"2,842","3,291","2,857","3,064",,,"3,023","2,842",,"3,329","3,023","3,329",,"2,842",,,"2,842",,"2,842",,"3,249","3,249",,"3,525",,,,,,,,,,,"3,403",,,,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
273,CFR_21,T1819CAT2LA,38,,,,357,,128,66,,105,,92,,66,128,98,112,,,92,66,,105,92,105,,66,,,66,,66,,128,128,,79,,,,,,,,,,,65,,,,,2018-19 Supply Staff Costs (&pound; per pupil) for LA
274,CFR_21,T1819CAT3LA,516,,,,"2,841",,875,366,,446,,326,,366,875,361,788,,,326,366,,446,326,446,,366,,,366,,366,,457,457,,"1,102",,,,,,,,,,,382,,,,,2018-19 Back Office (&pound; per pupil) for LA
275,CFR_21,T1819CAT4LA,77,,,,411,,69,58,,59,,57,,58,69,57,67,,,57,58,,59,57,59,,58,,,58,,58,,62,62,,110,,,,,,,,,,,45,,,,,2018-19 Energy (&pound; per pupil) for LA
276,CFR_21,T1819CAT5LA,"6,346",,,,"24,201",,"5,547","4,695",,"5,111",,"4,637",,"4,695","5,547","4,562","5,175",,,"4,637","4,695",,"5,111","4,637","5,111",,"4,695",,,"4,695",,"4,695",,"5,201","5,201",,"6,379",,,,,,,,,,,"4,729",,,,,2018-19 Total Expenditure (&pound; per pupil) for LA
277,CFR_21,T1920CAT1,2358,,,,7587,,2534,2225,,2210,,2343,,2519,2511,2288,2157,,,2038,2450,,2444,2019,2202,,2189,,,2502,,2273,,2418,2173,,3350,,,,,,,,,,,3259,,,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil)
278,CFR_21,T1920CAT2,56,,,,141,,145,4,,10,,13,,77,125,228,13,,,186,0,,54,43,105,,220,,,113,,163,,46,186,,0,,,,,,,,,,,28,,,,,2019-20 Supply Staff Costs (&pound; per pupil)
279,CFR_21,T1920CAT3,594,,,,5135,,711,267,,282,,362,,449,740,455,1015,,,240,416,,460,256,502,,336,,,287,,313,,369,333,,1926,,,,,,,,,,,378,,,,,2019-20 Back Office (&pound; per pupil)
280,CFR_21,T1920CAT4,98,,,,0,,51,57,,87,,58,,68,73,97,80,,,41,79,,55,46,57,,60,,,67,,61,,83,63,,124,,,,,,,,,,,73,,,,,2019-20 Energy (&pound; per pupil)
281,CFR_21,T1920CAT5,6848,,,,23669,,5216,4148,,5284,,4837,,5110,5206,5267,5443,,,4139,6258,,5273,4208,5377,,4812,,,5527,,4487,,5860,5501,,7171,,,,,,,,,,,5090,,,,,2019-20 Total Expenditure (&pound; per pupil)
282,CFR_21,T1920SUM,3742,,,,10806,,1775,1595,,2695,,2061,,1997,1757,2199,2178,,,1634,3313,,2260,1844,2511,,2007,,,2558,,1677,,2944,2746,,1771,,,,,,,,,,,1352,,,,,
283,CFR_21,T1920CAT1LA,2221,,,,7891,,2442,2221,,2205,,2327,,2221,2442,2291,2442,,,2327,2221,,2205,2327,2205,,2221,,,2221,,2221,,2205,2205,,2945,,,,,,,,,,,3259,,,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
284,CFR_21,T1920CAT2LA,101,,,,428,,175,101,,120,,126,,101,175,98,175,,,126,101,,120,126,120,,101,,,101,,101,,120,120,,127,,,,,,,,,,,28,,,,,2019-20 Supply Staff Costs (&pound; per pupil) for LA
285,CFR_21,T1920CAT3LA,379,,,,3328,,866,379,,433,,385,,379,866,386,866,,,385,379,,433,385,433,,379,,,379,,379,,433,433,,909,,,,,,,,,,,378,,,,,2019-20 Back Office (&pound; per pupil) for LA
286,CFR_21,T1920CAT4LA,64,,,,332,,72,64,,68,,62,,64,72,64,72,,,62,64,,68,62,68,,64,,,64,,64,,68,68,,102,,,,,,,,,,,73,,,,,2019-20 Energy (&pound; per pupil) for LA
287,CFR_21,T1920CAT5LA,5058,,,,26173,,5593,5058,,5415,,5275,,5058,5593,4876,5593,,,5275,5058,,5415,5275,5415,,5058,,,5058,,5058,,5415,5415,,5801,,,,,,,,,,,5090,,,,,2019-20 Total Expenditure (&pound; per pupil) for LA
288,CFR_21,T2021CAT1,2551,,,,7314,,2755,2261,,2256,,2287,,2655,2725,2472,1864,,,2140,2644,,2667,2107,2314,,2344,,,2724,,2591,,2636,2413,,3509,,,,,,,,,,,3548,,,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil)
289,CFR_21,T2021CAT2,101,,,,28,,135,31,,2,,70,,122,67,73,1,,,157,31,,36,42,80,,128,,,82,,57,,94,46,,230,,,,,,,,,,,17,,,,,2020-21 Supply Staff Costs (&pound; per pupil)
290,CFR_21,T2021CAT3,514,,,,4877,,688,284,,369,,335,,430,671,241,1784,,,320,457,,484,362,673,,342,,,269,,334,,518,324,,1939,,,,,,,,,,,518,,,,,2020-21 Back Office (&pound; per pupil)
291,CFR_21,T2021CAT4,83,,,,0,,63,55,,72,,45,,60,102,85,65,,,39,70,,48,39,45,,57,,,56,,55,,71,53,,145,,,,,,,,,,,61,,,,,2020-21 Energy (&pound; per pupil)
292,CFR_21,T2021CAT5,6837,,,,21477,,5371,4317,,5220,,5351,,5091,5221,5106,5299,,,4267,6518,,5187,4151,5110,,4553,,,5640,,4344,,6033,5193,,7836,,,,,,,,,,,5288,,,,,2020-21 Total Expenditure (&pound; per pupil)
293,CFR_21,T2021SUM,3588,,,,9258,,1730,1686,,2521,,2614,,1824,1656,2235,1585,,,1611,3316,,1952,1601,1998,,1682,,,2509,,1307,,2714,2357,,2013,,,,,,,,,,,1144,,,,,
294,CFR_21,T2021CAT1LA,2434,,,,6621,,2670,2434,,2364,,2550,,2434,2670,2479,2670,,,2550,2434,,2364,2550,2364,,2434,,,2434,,2434,,2364,2364,,3521,,,,,,,,,,,3548,,,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
295,CFR_21,T2021CAT2LA,89,,,,254,,126,89,,81,,113,,89,126,98,126,,,113,89,,81,113,81,,89,,,89,,89,,81,81,,65,,,,,,,,,,,17,,,,,2020-21 Supply Staff Costs (&pound; per pupil) for LA
296,CFR_21,T2021CAT3LA,382,,,,2841,,820,382,,446,,414,,382,820,386,820,,,414,382,,446,414,446,,382,,,382,,382,,446,446,,1061,,,,,,,,,,,518,,,,,2020-21 Back Office (&pound; per pupil) for LA
297,CFR_21,T2021CAT4LA,60,,,,230,,76,60,,60,,63,,60,76,55,76,,,63,60,,60,63,60,,60,,,60,,60,,60,60,,100,,,,,,,,,,,61,,,,,2020-21 Energy (&pound; per pupil) for LA
298,CFR_21,T2021CAT5LA,5154,,,,20946,,5583,5154,,5320,,5537,,5154,5583,4962,5583,,,5537,5154,,5320,5537,5320,,5154,,,5154,,5154,,5320,5320,,6360,,,,,,,,,,,5288,,,,,2020-21 Total Expenditure (&pound; per pupil) for LA
299,CFR_21,DCAT1,193,,,,-273,,221,36,,46,,-56,,136,214,184,-293,,,102,194,,223,88,112,,155,,,222,,318,,218,240,,159,,,,,,,,,,,289,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
300,CFR_21,DCAT2,45,,,,-113,,-10,27,,-8,,57,,45,-58,-155,-12,,,-29,31,,-18,-1,-25,,-92,,,-31,,-106,,48,-140,,230,,,,,,,,,,,-11,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
301,CFR_21,DCAT3,-80,,,,-258,,-23,17,,87,,-27,,-19,-69,-214,769,,,80,41,,24,106,171,,6,,,-18,,21,,149,-9,,13,,,,,,,,,,,140,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
302,CFR_21,DCAT4,-15,,,,0,,12,-2,,-15,,-13,,-8,29,-12,-15,,,-2,-9,,-7,-7,-12,,-3,,,-11,,-6,,-12,-10,,21,,,,,,,,,,,-12,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
303,CFR_21,DCAT5,-11,,,,"-2,192",,155,169,,-64,,514,,-19,15,-161,-144,,,128,260,,-86,-57,-267,,-259,,,113,,-143,,173,-308,,665,,,,,,,,,,,198,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
304,CFR_21,PGRANTFUNDING,95,,,,99,,99,98,,99,,91,,98,98,98,95,,,95,88,,99,98,98,,99,,,95,,96,,99,99,,95,,,,,,,,,,,99,,,,,Grant funding (proportion of total income)
305,CFR_21,PSELFGENERATEDINCOME,5,,,,1,,1,2,,1,,9,,2,2,2,5,,,5,12,,1,2,2,,1,,,5,,4,,1,1,,5,,,,,,,,,,,1,,,,,Self generated income (proportion of total income)
306,CFR_21,PTEACHINGSTAFF,37,,,,34,,51,52,,43,,43,,52,52,48,35,,,50,41,,51,51,45,,51,,,48,,60,,44,46,,45,,,,,,,,,,,67,,,,,Teaching staff (proportion of total expenditure)
307,CFR_21,PSUPPLYTEACHERS,1,,,,0,,3,1,,0,,1,,2,1,1,0,,,4,0,,1,1,2,,3,,,1,,1,,2,1,,3,,,,,,,,,,,0,,,,,Supply Staff (proportion of total expenditure)
308,CFR_21,PEDUCATIONSUPPORTSTAFF,23,,,,32,,17,18,,28,,20,,10,14,21,12,,,15,15,,24,13,23,,14,,,24,,9,,28,23,,5,,,,,,,,,,,7,,,,,Education support staff (proportion of total expenditure)
309,CFR_21,PPREMISES,5,,,,1,,4,7,,6,,10,,8,5,5,7,,,7,8,,4,10,5,,8,,,3,,6,,8,8,,5,,,,,,,,,,,6,,,,,Premises (incl. Staff costs) (proportion of total expenditure)
310,CFR_21,PBACKOFFICE,8,,,,23,,13,7,,7,,6,,8,13,5,34,,,7,7,,9,9,13,,8,,,5,,8,,9,6,,25,,,,,,,,,,,10,,,,,Back office (incl. Staff costs) (proportion of total expenditure)
311,CFR_21,PCATERING,4,,,,1,,3,5,,1,,2,,2,5,2,4,,,3,7,,2,4,2,,1,,,4,,5,,2,2,,2,,,,,,,,,,,0,,,,,Catering (incl. Staff costs) (proportion of total expenditure)
312,CFR_21,POTHERSTAFF,9,,,,2,,3,3,,5,,6,,6,4,4,2,,,6,15,,3,2,2,,2,,,8,,3,,2,4,,2,,,,,,,,,,,1,,,,,Other staff costs (proportion of total expenditure)
313,CFR_21,PENERGY,1,,,,0,,1,1,,1,,1,,1,2,2,1,,,1,1,,1,1,1,,1,,,1,,1,,1,1,,2,,,,,,,,,,,1,,,,,Energy (proportion of total expenditure)
314,CFR_21,PLEARNINGRESOURCES,1,,,,4,,2,3,,2,,7,,3,2,5,3,,,3,1,,2,2,3,,4,,,1,,2,,2,2,,5,,,,,,,,,,,2,,,,,Learning resources (not ICT equipment) (proportion of total expenditure)
315,CFR_21,PICT,2,,,,0,,0,1,,1,,2,,3,0,1,1,,,1,3,,0,3,1,,3,,,1,,3,,0,2,,2,,,,,,,,,,,3,,,,,ICT learning resources (proportion of total expenditure)
316,CFR_21,PBOUGHTINPROFESSIONALSERVICES,3,,,,3,,0,1,,0,,1,,2,0,2,0,,,1,0,,1,3,1,,1,,,1,,2,,1,3,,0,,,,,,,,,,,1,,,,,Bought in professional services - curriculum (proportion of total expenditure)
317,CFR_21,POTHER,4,,,,0,,2,1,,6,,1,,3,2,5,1,,,1,4,,1,1,2,,3,,,3,,1,,2,2,,5,,,,,,,,,,,2,,,,,Other expenditure (proportion of total expenditure)
318,CFR_21,PT1819CAT1,64%,,,,59%,,67%,69%,,70%,,70%,,58%,63%,66%,59%,,,64%,57%,,70%,62%,67%,,59%,,,65%,,63%,,66%,65%,,51%,,,,,,,,,,,72%,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
319,CFR_21,PT1819CAT2,0%,,,,1%,,4%,0%,,1%,,0%,,0%,1%,4%,0%,,,6%,0%,,1%,4%,2%,,5%,,,1%,,3%,,1%,5%,,0%,,,,,,,,,,,1%,,,,,2018-19 Supply Staff Costs (proportion of total expenditure)
320,CFR_21,PT1819CAT3,10%,,,,22%,,16%,6%,,9%,,6%,,9%,14%,7%,19%,,,7%,7%,,8%,8%,8%,,8%,,,5%,,6%,,9%,7%,,30%,,,,,,,,,,,8%,,,,,2018-19 Back Office (proportion of total expenditure)
321,CFR_21,PT1819CAT4,1%,,,,0%,,1%,1%,,1%,,1%,,1%,2%,1%,1%,,,1%,1%,,1%,1%,1%,,1%,,,1%,,1%,,1%,1%,,2%,,,,,,,,,,,1%,,,,,2018-19 Energy (proportion of total expenditure)
322,CFR_21,PT1819CAT5,100%,,,,100%,,100%,100%,,100%,,100%,,100%,100%,100%,100%,,,100%,100%,,100%,100%,100%,,100%,,,100%,,100%,,100%,100%,,100%,,,,,,,,,,,100%,,,,,2018-19 Total Expenditure (proportion of total expenditure)
323,CFR_21,PT1819CAT1LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,,NA,,NA,,NA,NA,,NA,,,,,,,,,,,NA,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
324,CFR_21,PT1819CAT2LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,,NA,,NA,,NA,NA,,NA,,,,,,,,,,,NA,,,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
325,CFR_21,PT1819CAT3LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,,NA,,NA,,NA,NA,,NA,,,,,,,,,,,NA,,,,,2018-19 Back Office (proportion of total expenditure) for LA
326,CFR_21,PT1819CAT4LA,NA,,,,NA,,NA,NA,,NA,,NA,,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,,,NA,,NA,,NA,NA,,NA,,,,,,,,,,,NA,,,,,2018-19 Energy (proportion of total expenditure) for LA
