No,Namespace,Variable,St John's Church of England Primary School - 104228,Shenstone Lodge School - 104024,Shenstone Lodge School - 147347,Oakwood School - 104275,The Secret Garden - 148243,Peters Hill Primary School - 103791,Red Hall Primary School - 103784,Rivers Primary Academy - 140196,Bloxwich Academy - 137274,Bilston Church of England Primary School - 130305,The Bromley-Pensnett Primary School - 141979,Stow Heath Primary School - 104323,Tudor Grange Primary Academy Hockley Heath - 138462,Hill Avenue Academy - 143151,Lanesfield Primary School - 104327,St Chad's Catholic Primary School - 140144,Ham Dingle Primary Academy - 143822,Ham Dingle Primary School - 103808,St Michael's Church of England C Primary School - 104227,Sunfield Children's Home Ltd - 117033,Woodlands Academy of Learning - 138343,Queen Victoria Primary School - 103826,St Peter's Church of England Primary Academy - 142982,Green Park School - 104415,Walsall Wood School - 104201,Fibbersley Park Academy - 143417,Elmore Green Primary School - 104153,Stowlawn Primary School - 104317,Hawbush Primary School - 103820,Cotwall End Primary School - 103810,Blackwell First School - 116665,All Saints National Academy - 141410,Springfield House Community Special School - 103623,Busill Jones Primary School - 104146,Busill Jones Primary School - 146785,"St Peter's Catholic Primary School, Bloxwich - 104234",Kingsbury Primary School - 134924,Pedmore CE Primary School - 103848,Clent Parochial Primary School - 116796,The Pedmore High School - 145593,Mary Elliot School - 104272,Black Country Wheels School - 137571,The Dormston School - 103855,Ellowes Hall Sports College - 141570,Hunters Hill College - 103609,Redhill School - 139872,Kingsbury School - A Specialist Science and Mathematics Academy - 145019,Shire Oak Academy - 136620,Pool Hayes Academy - 142594,Wolverhampton Vocational Training Centre - 142123,National state-funded primary,National state-funded secondary and 16 to 18,Description
186,CFR_19,PICT,0%,0%,,2%,,4%,3%,,,2%,,1%,,,1%,,,3%,2%,,,2%,,1%,1%,,1%,1%,3%,3%,1%,,0%,1%,,2%,1%,2%,1%,,0%,,2%,,0%,,,,,,,,ICT learning resources (proportion of total expenditure)
187,CFR_19,PBOUGHTINPROFESSIONALSERVICES,3%,4%,,1%,,2%,1%,,,4%,,2%,,,4%,,,2%,2%,,,0%,,2%,2%,,1%,2%,3%,2%,4%,,0%,6%,,2%,3%,3%,3%,,1%,,2%,,0%,,,,,,,,Bought in professional services - curriculum (proportion of total expenditure)
188,CFR_19,POTHER,-3%,0%,,0%,,3%,2%,,,2%,,2%,,,2%,,,2%,-2%,,,2%,,1%,1%,,0%,4%,3%,2%,2%,,0%,1%,,-2%,3%,1%,3%,,0%,,3%,,1%,,,,,,,,Other expenditure (proportion of total expenditure)
189,CFR_19,PT1415CAT1,68%,63%,,SUPP,,63%,63%,,,61%,,60%,,,SUPP,,,65%,67%,,,64%,,72%,SUPP,,63%,55%,SUPP,65%,SUPP,,54%,69%,,SUPP,SUPP,60%,SUPP,,78%,,63%,,47%,,,,,,,,
190,CFR_19,PT1415CAT2,1%,3%,,1%,,3%,3%,,,0%,,4%,,,3%,,,3%,4%,,,2%,,3%,1%,,1%,3%,4%,3%,1%,,6%,1%,,5%,4%,4%,3%,,3%,,2%,,0%,,,,,,,,
191,CFR_19,PT1415CAT3,7%,9%,,6%,,10%,10%,,,7%,,9%,,,5%,,,8%,7%,,,10%,,6%,7%,,6%,8%,6%,7%,12%,,14%,7%,,7%,4%,10%,7%,,6%,,9%,,21%,,,,,,,,
192,CFR_19,PT1415CAT4,1%,1%,,SUPP,,1%,2%,,,1%,,2%,,,SUPP,,,1%,2%,,,2%,,1%,SUPP,,1%,2%,2%,2%,SUPP,,3%,1%,,1%,2%,1%,SUPP,,2%,,2%,,2%,,,,,,,,
193,CFR_19,PT1415CAT5,100%,100%,,100%,,100%,100%,,,100%,,100%,,,100%,,,100%,100%,,,100%,,100%,100%,,100%,100%,100%,100%,100%,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,,,,,,
194,CFR_19,PT1415CAT1LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
195,CFR_19,PT1415CAT2LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
196,CFR_19,PT1415CAT3LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
197,CFR_19,PT1415CAT4LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
198,CFR_19,PT1415CAT5LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
199,CFR_19,PT1516CAT1,69%,63%,,72%,,63%,65%,,,61%,,63%,,,56%,,,62%,65%,,,62%,,67%,60%,,60%,53%,66%,67%,69%,,54%,67%,,61%,64%,61%,59%,,78%,,66%,,48%,,,,,,,,
200,CFR_19,PT1516CAT2,0%,3%,,0%,,3%,3%,,,1%,,3%,,,3%,,,3%,1%,,,3%,,6%,0%,,1%,3%,2%,1%,1%,,5%,2%,,4%,4%,4%,2%,,2%,,2%,,0%,,,,,,,,
201,CFR_19,PT1516CAT3,4%,2%,,2%,,3%,5%,,,6%,,4%,,,4%,,,3%,4%,,,3%,,1%,3%,,4%,4%,4%,4%,4%,,0%,4%,,2%,4%,4%,4%,,1%,,3%,,2%,,,,,,,,
202,CFR_19,PT1516CAT4,3%,4%,,1%,,2%,2%,,,4%,,4%,,,5%,,,3%,3%,,,4%,,2%,5%,,6%,5%,3%,2%,3%,,2%,4%,,5%,3%,5%,11%,,3%,,3%,,1%,,,,,,,,
203,CFR_19,PT1516CAT5,100%,100%,,100%,,100%,100%,,,100%,,100%,,,100%,,,100%,100%,,,100%,,100%,100%,,100%,100%,100%,100%,100%,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,,,,,,
204,CFR_19,PT1516CAT1LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
205,CFR_19,PT1516CAT2LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
206,CFR_19,PT1516CAT3LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
207,CFR_19,PT1516CAT4LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
208,CFR_19,PT1516CAT5LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
209,CFR_19,PT1617CAT1,68%,61%,,73%,,66%,68%,,,62%,,62%,,,63%,,,54%,72%,,,68%,,68%,64%,,67%,59%,63%,65%,65%,,63%,66%,,64%,64%,64%,60%,,77%,,65%,,46%,,,,,,,,
210,CFR_19,PT1617CAT2,1%,5%,,0%,,2%,2%,,,1%,,3%,,,0%,,,11%,2%,,,2%,,6%,1%,,3%,2%,2%,2%,0%,,4%,2%,,2%,5%,3%,3%,,2%,,2%,,0%,,,,,,,,
211,CFR_19,PT1617CAT3,6%,10%,,7%,,11%,9%,,,7%,,7%,,,8%,,,8%,8%,,,9%,,6%,9%,,7%,11%,6%,9%,10%,,14%,6%,,7%,5%,10%,10%,,4%,,9%,,25%,,,,,,,,
212,CFR_19,PT1617CAT4,1%,1%,,1%,,1%,1%,,,1%,,1%,,,1%,,,1%,1%,,,1%,,1%,1%,,1%,1%,2%,1%,1%,,2%,1%,,1%,2%,1%,1%,,1%,,2%,,2%,,,,,,,,
213,CFR_19,PT1617CAT5,100%,100%,,100%,,100%,100%,,,100%,,100%,,,100%,,,100%,100%,,,100%,,100%,100%,,100%,100%,100%,100%,100%,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,,,,,,
214,CFR_19,PT1617CAT1LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
215,CFR_19,PT1617CAT2LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
216,CFR_19,PT1617CAT3LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
217,CFR_19,PT1617CAT4LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
218,CFR_19,PT1617CAT5LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
219,CFR_19,PT1718CAT1,64%,59%,,74%,,64%,62%,,,62%,,66%,,,65%,,,59%,64%,,,66%,,70%,63%,,66%,58%,66%,64%,50%,,71%,66%,,60%,65%,60%,64%,,74%,,66%,,44%,,,,,,,,
220,CFR_19,PT1718CAT2,2%,3%,,0%,,1%,7%,,,0%,,3%,,,2%,,,8%,0%,,,4%,,3%,2%,,3%,3%,2%,2%,1%,,5%,4%,,3%,4%,3%,2%,,4%,,1%,,2%,,,,,,,,
221,CFR_19,PT1718CAT3,6%,13%,,8%,,9%,8%,,,9%,,8%,,,8%,,,8%,7%,,,9%,,7%,8%,,6%,12%,7%,9%,23%,,13%,5%,,6%,5%,10%,8%,,4%,,9%,,22%,,,,,,,,
222,CFR_19,PT1718CAT4,1%,1%,,1%,,1%,1%,,,1%,,1%,,,1%,,,1%,1%,,,1%,,1%,1%,,1%,1%,2%,1%,1%,,2%,1%,,1%,2%,1%,1%,,2%,,2%,,2%,,,,,,,,
223,CFR_19,PT1718CAT5,100%,100%,,100%,,100%,100%,,,100%,,100%,,,100%,,,100%,100%,,,100%,,100%,100%,,100%,100%,100%,100%,100%,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,,,,,,
224,CFR_19,PT1718CAT1LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
225,CFR_19,PT1718CAT2LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
226,CFR_19,PT1718CAT3LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
227,CFR_19,PT1718CAT4LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
228,CFR_19,PT1718CAT5LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,
229,CFR_19,PT1819CAT1,72%,68%,,75%,,63%,62%,,,64%,,66%,,,64%,,,61%,70%,,,60%,,68%,63%,,66%,61%,60%,66%,65%,,68%,53%,,62%,63%,63%,63%,,72%,,63%,,46%,,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
230,CFR_19,PT1819CAT2,3%,1%,,0%,,2%,5%,,,0%,,2%,,,1%,,,5%,0%,,,7%,,4%,3%,,1%,2%,2%,1%,0%,,6%,12%,,6%,4%,1%,2%,,4%,,2%,,2%,,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure)
231,CFR_19,PT1819CAT3,6%,10%,,8%,,11%,8%,,,7%,,8%,,,9%,,,10%,8%,,,11%,,7%,8%,,6%,12%,11%,11%,10%,,13%,5%,,7%,7%,10%,7%,,7%,,10%,,20%,,,,,,,,2018-19 Back Office (proportion of total expenditure)
232,CFR_19,PT1819CAT4,1%,1%,,1%,,1%,2%,,,1%,,1%,,,1%,,,1%,1%,,,1%,,1%,1%,,2%,2%,2%,1%,1%,,4%,3%,,1%,2%,1%,1%,,1%,,2%,,2%,,,,,,,,2018-19 Energy (proportion of total expenditure)
233,CFR_19,PT1819CAT5,100%,100%,,100%,,100%,100%,,,100%,,100%,,,100%,,,100%,100%,,,100%,,100%,100%,,100%,100%,100%,100%,100%,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure)
234,CFR_19,PT1819CAT1LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
235,CFR_19,PT1819CAT2LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
236,CFR_19,PT1819CAT3LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,2018-19 Back Office (proportion of total expenditure) for LA
237,CFR_19,PT1819CAT4LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,2018-19 Energy (proportion of total expenditure) for LA
238,CFR_19,PT1819CAT5LA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,NA,,,NA,NA,,,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
239,CFR_19,PDCAT1,4%,5%,,NA,,0%,-1%,,,3%,,6%,,,NA,,,-4%,3%,,,-4%,,-4%,NA,,3%,6%,NA,1%,NA,,14%,-16%,,NA,NA,3%,NA,,-6%,,0%,,-1%,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
240,CFR_19,PDCAT2,2%,-2%,,-1%,,-1%,2%,,,0%,,-2%,,,-2%,,,2%,-4%,,,5%,,1%,2%,,0%,-1%,-2%,-2%,-1%,,0%,11%,,1%,0%,-3%,-1%,,1%,,0%,,2%,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
241,CFR_19,PDCAT3,-1%,1%,,2%,,1%,-2%,,,0%,,-1%,,,4%,,,2%,1%,,,1%,,1%,1%,,0%,4%,5%,4%,-2%,,-1%,-2%,,0%,3%,0%,0%,,1%,,1%,,-1%,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
242,CFR_19,PDCAT4,0%,0%,,NA,,0%,0%,,,0%,,-1%,,,NA,,,0%,-1%,,,-1%,,0%,NA,,1%,0%,0%,-1%,NA,,1%,2%,,0%,0%,0%,NA,,-1%,,0%,,0%,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
243,CFR_19,PDCAT5,0%,0%,,0%,,0%,0%,,,0%,,0%,,,0%,,,0%,0%,,,0%,,0%,0%,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,,0%,,0%,,0%,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
244,CFR_21,URN,104228,104024,,104275,,103791,103784,,,130305,,104323,,,104327,,,,104227,,,103826,,104415,104201,,104153,104317,103820,103810,116665,,103623,,,104234,134924,103848,116796,,104272,,103855,,103609,,,,,,,,Unique Reference Number
245,CFR_21,LONDON/NON-LONDON,Non-London,Non-London,,Non-London,,Non-London,Non-London,,,Non-London,,Non-London,,,Non-London,,,,Non-London,,,Non-London,,Non-London,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,,,Non-London,Non-London,Non-London,Non-London,,Non-London,,Non-London,,Non-London,,,,,,,,London/Non-London
246,CFR_21,MEDIAN,Primary,Special,,Special,,Primary,Primary,,,Primary,,Primary,,,Primary,,,,Primary,,,Primary,,Special,Primary,,Primary,Primary,Primary,Primary,Primary,,Special,,,Primary,Primary,Primary,Primary,,Special,,Secondary with KS4,,Special,,,,,,,,Group to compare
247,CFR_21,PUPILS,346,98,,102,,848,364,,,425,,445,,,338,,,,404,,,556,,145,234,,313,308,233,413,151,,87,,,218,264,221,104,,123,,1137,,79,,,,,,,,Number of pupils (FTE)
248,CFR_21,FSM,19.6,60.2,,39.2,,13.7,28.1,,,47.1,,33.3,,,30.4,,,,7.9,,,28.2,,49.7,30.2,,35.1,43.8,43.6,9.2,1.3,,51.7,,,31.6,20.5,5.4,9.6,,48.8,,17.2,,73.4,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
249,CFR_21,FSMBAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free school meals eligibility band
250,CFR_21,GRANTFUNDING,5237,9399,,23714,,4395,4960,,,5689,,6242,,,5287,,,,4810,,,5480,,28045,5810,,5770,5610,6044,4926,6920,,30528,,,5595,4619,4607,5444,,28099,,6151,,37984,,,,,,,,Grant funding (&pound; per pupil)
251,CFR_21,SELFGENERATEDINCOME,270,27,,21,,128,140,,,110,,272,,,41,,,,76,,,132,,97,186,,109,168,1515,292,681,,2419,,,198,119,90,253,,61,,70,,1223,,,,,,,,Self generated income (&pound; per pupil)
252,CFR_21,TOTALINCOME,5507,9426,,23735,,4523,5100,,,5799,,6514,,,5328,,,,4886,,,5612,,28142,5996,,5879,5778,7559,5218,7601,,32947,,,5793,4738,4697,5697,,28160,,6221,,39207,,,,,,,,Total income (&pound; per pupil)
253,CFR_21,TEACHINGSTAFF,3224,2930,,9062,,2376,2433,,,2492,,2354,,,2516,,,,2307,,,2625,,9226,2653,,2500,2647,3030,2605,2734,,9336,,,2678,2623,2277,2805,,8596,,3530,,19496,,,,,,,,Teaching staff (&pound; per pupil)
254,CFR_21,SUPPLYTEACHERS,49,253,,0,,106,110,,,0,,81,,,50,,,,46,,,64,,898,46,,16,30,65,120,126,,3013,,,367,44,189,190,,341,,38,,1362,,,,,,,,Supply Staff (&pound; per pupil)
255,CFR_21,EDUCATIONSUPPORTSTAFF,751,1835,,8897,,687,731,,,1264,,1715,,,968,,,,1063,,,1061,,9028,1064,,1455,973,1721,922,1876,,8880,,,1036,609,625,1083,,10725,,482,,2226,,,,,,,,Education support staff (&pound; per pupil)
256,CFR_21,PREMISES,160,930,,946,,265,403,,,356,,557,,,308,,,,168,,,205,,2203,548,,241,363,506,290,276,,1010,,,474,356,417,314,,2131,,400,,417,,,,,,,,Premises (incl. Staff costs) (&pound; per pupil)
257,CFR_21,BACKOFFICE,361,503,,1457,,406,416,,,526,,477,,,464,,,,273,,,512,,1824,514,,370,382,553,457,680,,4097,,,360,223,504,540,,1140,,556,,11170,,,,,,,,Back office (incl. Staff costs) (&pound; per pupil)
258,CFR_21,CATERING,172,118,,317,,92,146,,,174,,179,,,262,,,,153,,,229,,373,213,,191,203,143,138,218,,819,,,158,136,114,176,,603,,108,,166,,,,,,,,Catering (incl. Staff costs) (&pound; per pupil)
259,CFR_21,OTHERSTAFF,188,60,,1305,,131,253,,,245,,143,,,235,,,,254,,,268,,1248,277,,214,106,510,283,247,,1190,,,268,154,163,123,,1649,,56,,8257,,,,,,,,Other staff costs (&pound; per pupil)
260,CFR_21,ENERGY,66,47,,157,,46,65,,,41,,116,,,54,,,,47,,,64,,390,78,,72,123,112,39,74,,718,,,61,68,49,75,,380,,81,,804,,,,,,,,Energy (&pound; per pupil)
261,CFR_21,LEARNINGRESOURCES,136,83,,197,,58,61,,,120,,89,,,225,,,,71,,,64,,815,189,,106,105,302,91,175,,853,,,184,101,83,100,,394,,176,,148,,,,,,,,Learning resources (not ICT equipment) (&pound; per pupil)
262,CFR_21,ICT,15,1,,386,,81,138,,,126,,58,,,149,,,,26,,,133,,895,61,,103,35,183,100,10,,0,,,96,26,88,74,,632,,360,,0,,,,,,,,ICT learning resources (&pound; per pupil)
263,CFR_21,BOUGHTINPROFESSIONALSERVICES,88,171,,198,,222,20,,,102,,39,,,115,,,,104,,,56,,496,103,,104,107,81,50,437,,60,,,88,93,175,183,,120,,50,,559,,,,,,,,Bought in professional services - curriculum (&pound; per pupil)
264,CFR_21,OTHER,144,4,,164,,116,114,,,119,,94,,,102,,,,116,,,117,,86,105,,-17,146,146,129,189,,36,,,80,143,49,166,,156,,255,,119,,,,,,,,Other expenditure (&pound; per pupil)
265,CFR_21,TOTALEXPENDITURE,5354,6935,,23086,,4586,4890,,,5565,,5902,,,5448,,,,4628,,,5398,,27482,5851,,5355,5220,7352,5224,7042,,30012,,,5850,4576,4733,5829,,26867,,6092,,44724,,,,,,,,Total expenditure (&pound; per pupil)
266,CFR_21,T1819CAT1,"3,317","27,097",,"18,439",,"2,596","2,955",,,"3,211",,"4,094",,,"3,191",,,,"2,823",,,"2,953",,"17,749","3,285",,"3,319","3,268","3,495","3,207","3,874",,"18,954",,,"2,999","2,743","2,764","3,105",,"18,784",,"3,421",,"14,355",,,,,,,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil)
267,CFR_21,T1819CAT2,122,560,,0,,78,235,,,2,,127,,,63,,,,17,,,318,,981,137,,48,90,108,68,22,,"1,665",,,269,158,54,87,,952,,85,,667,,,,,,,,2018-19 Supply Staff Costs (&pound; per pupil)
268,CFR_21,T1819CAT3,276,"3,801",,"1,871",,432,403,,,376,,511,,,441,,,,323,,,531,,"1,902",416,,322,666,645,507,570,,"3,517",,,357,299,454,369,,"1,876",,565,,"6,212",,,,,,,,2018-19 Back Office (&pound; per pupil)
269,CFR_21,T1819CAT4,48,442,,178,,46,76,,,49,,92,,,44,,,,56,,,56,,292,55,,78,93,102,52,60,,"1,105",,,64,73,56,69,,346,,103,,710,,,,,,,,2018-19 Energy (&pound; per pupil)
270,CFR_21,T1819CAT5,"4,637","39,836",,"24,573",,"4,093","4,764",,,"5,031",,"6,165",,,"4,973",,,,"4,055",,,"4,884",,"25,980","5,215",,"4,993","5,341","5,867","4,827","5,949",,"28,040",,,"4,854","4,330","4,380","4,928",,"25,948",,"5,403",,"31,515",,,,,,,,2018-19 Total Expenditure (&pound; per pupil)
271,CFR_21,T1819SUM,874,7936,,4085,,941,1095,,,1393,,1341,,,1234,,,,836,,,1026,,5056,1322,,1226,1224,1517,993,1423,,2799,,,1165,1057,1052,1298,,3990,,1229,,9571,,,,,,,,
272,CFR_21,T1819CAT1LA,"3,023","15,914",,"18,439",,"3,093","3,093",,,"3,288",,"3,331",,,"3,331",,,,"3,023",,,"3,093",,"17,749","3,334",,"3,334","3,331","3,894","3,093","3,244",,"14,219",,,"3,334","2,857","3,093","3,244",,"14,026",,"3,629",,"14,219",,,,,,,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
273,CFR_21,T1819CAT2LA,92,357,,0,,86,86,,,60,,78,,,78,,,,92,,,86,,424,111,,111,78,78,86,81,,607,,,111,98,86,81,,731,,56,,607,,,,,,,,2018-19 Supply Staff Costs (&pound; per pupil) for LA
274,CFR_21,T1819CAT3LA,326,"2,841",,"1,871",,399,399,,,508,,484,,,484,,,,326,,,399,,"1,813",389,,389,484,518,399,378,,"4,444",,,389,361,399,378,,"1,229",,555,,"4,444",,,,,,,,2018-19 Back Office (&pound; per pupil) for LA
275,CFR_21,T1819CAT4LA,57,411,,178,,56,56,,,62,,60,,,60,,,,57,,,56,,292,67,,67,60,84,56,50,,168,,,67,57,56,50,,346,,103,,168,,,,,,,,2018-19 Energy (&pound; per pupil) for LA
276,CFR_21,T1819CAT5LA,"4,637","24,201",,"24,573",,"4,715","4,715",,,"5,371",,"5,036",,,"5,036",,,,"4,637",,,"4,715",,"25,980","5,315",,"5,315","5,036","5,867","4,715","5,068",,"23,070",,,"5,315","4,562","4,715","5,068",,"23,333",,"5,860",,"23,070",,,,,,,,2018-19 Total Expenditure (&pound; per pupil) for LA
277,CFR_21,T1920CAT1,2681,13442,,9937,,2282,2343,,,2226,,2312,,,2386,,,,2260,,,2290,,8191,2532,,2305,2587,2497,2447,2391,,8919,,,2619,2556,2299,2383,,8031,,3277,,15006,,,,,,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil)
278,CFR_21,T1920CAT2,213,911,,0,,44,168,,,1,,143,,,28,,,,4,,,240,,931,90,,43,35,105,47,31,,2850,,,186,156,120,111,,841,,124,,1195,,,,,,,,2019-20 Supply Staff Costs (&pound; per pupil)
279,CFR_21,T1920CAT3,303,3762,,1692,,373,399,,,484,,470,,,472,,,,281,,,600,,1680,416,,352,417,527,438,825,,3734,,,362,320,463,373,,1282,,599,,7402,,,,,,,,2019-20 Back Office (&pound; per pupil)
280,CFR_21,T1920CAT4,70,439,,274,,56,80,,,53,,119,,,55,,,,52,,,83,,333,76,,53,111,127,48,70,,151,,,50,92,60,74,,321,,103,,836,,,,,,,,2019-20 Energy (&pound; per pupil)
281,CFR_21,T1920CAT5,5018,35595,,26045,,4544,4830,,,5392,,5902,,,5343,,,,4314,,,5574,,25038,5682,,5580,5606,6689,5159,7005,,27669,,,5743,4830,4746,4851,,24230,,5657,,37078,,,,,,,,2019-20 Total Expenditure (&pound; per pupil)
282,CFR_21,T1920SUM,1751,17041,,14142,,1789,1840,,,2628,,2858,,,2402,,,,1717,,,2361,,13903,2568,,2827,2456,3433,2179,3688,,12015,,,2526,1706,1804,1910,,13755,,1554,,12639,,,,,,,,
283,CFR_21,T1920CAT1LA,2327,7891,,7747,,2367,2367,,,2334,,2334,,,2334,,,,2327,,,2367,,8364,2327,,2327,2334,2367,2367,2416,,7823,,,2327,2291,2367,2416,,7747,,3374,,7823,,,,,,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
284,CFR_21,T1920CAT2LA,126,428,,784,,102,102,,,70,,70,,,70,,,,126,,,102,,763,126,,126,70,102,102,91,,1196,,,126,98,102,91,,784,,103,,1196,,,,,,,,2019-20 Supply Staff Costs (&pound; per pupil) for LA
