No,Namespace,Variable,Greenholm Primary School - 138693,Hawthorn Primary School - 103214,Cedars Academy - 143088,Devonshire Junior Academy - 141292,Devonshire Infant Academy - 141293,Kimichi School - 141242,St Peter and St Paul RC Junior and Infant School - 103454,St Peter and St Paul RC Junior and Infant School - 146298,Selly Oak Trust School - 103613,Colmore Junior School - 103188,Colmore Infant and Nursery School - 103189,Acocks Green Primary School - 139443,Wheelers Lane Primary School - 134099,Cottesbrooke Infant and Nursery School - 140706,Oasis Academy Short Heath - 139125,Annie Lennard Primary School - 103932,Osborne Primary School - 147758,Osborne Primary School - 103363,The Dame Ellen Pinsent School - 103615,St Mark's Catholic Primary School - 148973,St Mark's Catholic Primary School - 103468,Court Farm Primary School - 103267,Story Wood School - 103213,Highclare School - 103576,Welsh House Farm Community School and Special Needs Resources Base - 103295,Holy Souls Catholic Primary School - 147009,Holy Souls Catholic Primary School - 103429,Priestley Smith School - 103614,Beeches Infant School - 103164,Beeches Junior School - 103163,Abbey Catholic Primary School - 103422,Abbey Catholic Primary School - 147669,Gilbertstone Primary School - 103201,Glenmead Primary School - 103320,Bournville Village Primary - 103445,Bournville Infant School - 103446,The Oval School - 143087,Swanshurst School - 103514,Wheelers Lane Technology College - 103501,Hamstead Hall Academy - 139746,Hall Green School - 137858,Oscott Academy - 142115,"Ninestiles, an Academy - 136406",The University of Birmingham School - 140863,Aspire Ap School - 139962,Archbishop Ilsley Catholic School - 103541,Archbishop Ilsley Catholic School - 146124,Arena Academy - 145580,Sandwell Valley School - 143038,Fircroft College of Adult Education - 130467,National state-funded primary,National state-funded secondary and 16 to 18,Description
183,CFR_19,POTHERSTAFF,,3%,,,,,,,0%,6%,5%,,3%,,,5%,,2%,3%,,6%,7%,3%,,3%,,5%,2%,3%,3%,3%,,4%,4%,2%,3%,,1%,3%,,,,,,,2%,,,,,,,Other staff costs (proportion of total expenditure)
184,CFR_19,PENERGY,,1%,,,,,,,1%,2%,1%,,2%,,,1%,,1%,1%,,1%,1%,3%,,1%,,1%,0%,0%,0%,2%,,1%,1%,1%,1%,,2%,3%,,,,,,,2%,,,,,,,Energy (proportion of total expenditure)
185,CFR_19,PLEARNINGRESOURCES,,3%,,,,,,,1%,4%,2%,,3%,,,6%,,3%,2%,,6%,2%,3%,,5%,,4%,3%,2%,4%,6%,,5%,4%,5%,3%,,3%,3%,,,,,,,7%,,,,,,,Learning resources (not ICT equipment) (proportion of total expenditure)
186,CFR_19,PICT,,0%,,,,,,,0%,1%,1%,,1%,,,1%,,0%,1%,,0%,0%,3%,,1%,,1%,0%,0%,0%,1%,,0%,1%,1%,0%,,1%,1%,,,,,,,1%,,,,,,,ICT learning resources (proportion of total expenditure)
187,CFR_19,PBOUGHTINPROFESSIONALSERVICES,,0%,,,,,,,0%,2%,0%,,2%,,,2%,,0%,0%,,2%,0%,0%,,1%,,1%,0%,0%,2%,0%,,0%,0%,0%,0%,,2%,2%,,,,,,,0%,,,,,,,Bought in professional services - curriculum (proportion of total expenditure)
188,CFR_19,POTHER,,1%,,,,,,,1%,1%,1%,,4%,,,2%,,1%,0%,,1%,1%,1%,,1%,,1%,0%,2%,3%,1%,,2%,2%,1%,1%,,4%,4%,,,,,,,2%,,,,,,,Other expenditure (proportion of total expenditure)
189,CFR_19,PT1415CAT1,,57%,,,,,,,73%,64%,66%,,61%,,,SUPP,,55%,59%,,57%,48%,55%,,55%,,66%,77%,57%,59%,58%,,60%,61%,61%,61%,,54%,58%,,,,,,,65%,,,,,,,
190,CFR_19,PT1415CAT2,,6%,,,,,,,1%,1%,2%,,2%,,,0%,,2%,2%,,6%,3%,1%,,6%,,4%,3%,1%,3%,3%,,4%,5%,1%,4%,,5%,2%,,,,,,,1%,,,,,,,
191,CFR_19,PT1415CAT3,,19%,,,,,,,16%,18%,13%,,13%,,,8%,,30%,22%,,14%,25%,16%,,20%,,10%,23%,27%,18%,17%,,19%,17%,22%,19%,,15%,16%,,,,,,,8%,,,,,,,
192,CFR_19,PT1415CAT4,,1%,,,,,,,1%,1%,1%,,3%,,,SUPP,,1%,1%,,2%,1%,1%,,1%,,1%,0%,0%,0%,1%,,1%,1%,1%,1%,,1%,3%,,,,,,,1%,,,,,,,
193,CFR_19,PT1415CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,,100%,100%,,,,,,,100%,,,,,,,
194,CFR_19,PT1415CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
195,CFR_19,PT1415CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
196,CFR_19,PT1415CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
197,CFR_19,PT1415CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
198,CFR_19,PT1415CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
199,CFR_19,PT1516CAT1,,55%,,,,,,,43%,62%,68%,,55%,,,51%,,59%,60%,,52%,50%,48%,,53%,,65%,79%,59%,57%,58%,,57%,63%,59%,65%,,53%,57%,,,,,,,71%,,,,,,,
200,CFR_19,PT1516CAT2,,7%,,,,,,,1%,2%,1%,,2%,,,3%,,1%,3%,,9%,4%,2%,,6%,,5%,3%,1%,4%,1%,,6%,2%,1%,1%,,4%,0%,,,,,,,1%,,,,,,,
201,CFR_19,PT1516CAT3,,3%,,,,,,,2%,0%,6%,,5%,,,4%,,4%,3%,,6%,2%,3%,,5%,,5%,-14%,6%,1%,9%,,3%,0%,0%,9%,,2%,3%,,,,,,,3%,,,,,,,
202,CFR_19,PT1516CAT4,,8%,,,,,,,10%,3%,2%,,6%,,,9%,,2%,2%,,5%,4%,3%,,7%,,2%,2%,2%,3%,5%,,3%,4%,5%,2%,,4%,6%,,,,,,,5%,,,,,,,
203,CFR_19,PT1516CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,,100%,100%,,,,,,,100%,,,,,,,
204,CFR_19,PT1516CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
205,CFR_19,PT1516CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
206,CFR_19,PT1516CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
207,CFR_19,PT1516CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
208,CFR_19,PT1516CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
209,CFR_19,PT1617CAT1,,61%,,,,,,,62%,60%,65%,,56%,,,51%,,57%,61%,,49%,47%,36%,,52%,,66%,72%,58%,52%,59%,,56%,61%,58%,61%,,60%,57%,,,,,,,72%,,,,,,,
210,CFR_19,PT1617CAT2,,5%,,,,,,,1%,1%,2%,,2%,,,6%,,1%,1%,,8%,3%,7%,,9%,,3%,2%,2%,6%,1%,,8%,3%,1%,1%,,2%,1%,,,,,,,1%,,,,,,,
211,CFR_19,PT1617CAT3,,17%,,,,,,,28%,19%,13%,,8%,,,10%,,23%,22%,,14%,25%,26%,,19%,,8%,18%,19%,19%,14%,,17%,12%,24%,16%,,15%,16%,,,,,,,10%,,,,,,,
212,CFR_19,PT1617CAT4,,1%,,,,,,,1%,2%,1%,,2%,,,1%,,1%,0%,,2%,1%,1%,,1%,,1%,0%,0%,0%,0%,,1%,1%,1%,1%,,1%,3%,,,,,,,1%,,,,,,,
213,CFR_19,PT1617CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,,100%,100%,,,,,,,100%,,,,,,,
214,CFR_19,PT1617CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
215,CFR_19,PT1617CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
216,CFR_19,PT1617CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
217,CFR_19,PT1617CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
218,CFR_19,PT1617CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
219,CFR_19,PT1718CAT1,,64%,,,,,,,62%,64%,63%,,50%,,,56%,,57%,67%,,63%,50%,46%,,51%,,66%,74%,59%,54%,60%,,55%,61%,57%,62%,,59%,55%,,,,,,,70%,,,,,,,
220,CFR_19,PT1718CAT2,,3%,,,,,,,2%,2%,4%,,2%,,,4%,,1%,3%,,1%,3%,0%,,7%,,4%,1%,1%,4%,2%,,7%,5%,1%,1%,,2%,0%,,,,,,,2%,,,,,,,
221,CFR_19,PT1718CAT3,,16%,,,,,,,29%,16%,11%,,28%,,,11%,,26%,16%,,13%,27%,34%,,21%,,9%,12%,9%,8%,17%,,17%,13%,25%,19%,,16%,20%,,,,,,,11%,,,,,,,
222,CFR_19,PT1718CAT4,,1%,,,,,,,1%,2%,1%,,3%,,,1%,,1%,1%,,1%,1%,0%,,1%,,1%,0%,0%,0%,1%,,1%,1%,1%,1%,,2%,5%,,,,,,,1%,,,,,,,
223,CFR_19,PT1718CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,,100%,100%,,,,,,,100%,,,,,,,
224,CFR_19,PT1718CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
225,CFR_19,PT1718CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
226,CFR_19,PT1718CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
227,CFR_19,PT1718CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
228,CFR_19,PT1718CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,
229,CFR_19,PT1819CAT1,,68%,,,,,,,57%,62%,64%,,64%,,,59%,,56%,67%,,59%,52%,53%,,53%,,64%,73%,60%,54%,57%,,57%,54%,55%,59%,,61%,55%,,,,,,,66%,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
230,CFR_19,PT1819CAT2,,1%,,,,,,,1%,1%,4%,,1%,,,2%,,3%,3%,,1%,1%,1%,,5%,,2%,1%,1%,3%,2%,,4%,6%,1%,1%,,1%,-2%,,,,,,,0%,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure)
231,CFR_19,PT1819CAT3,,15%,,,,,,,34%,16%,12%,,16%,,,12%,,29%,16%,,13%,26%,18%,,20%,,10%,31%,32%,30%,17%,,15%,21%,22%,21%,,14%,22%,,,,,,,11%,,,,,,,2018-19 Back Office (proportion of total expenditure)
232,CFR_19,PT1819CAT4,,1%,,,,,,,1%,2%,1%,,2%,,,1%,,1%,1%,,1%,1%,2%,,1%,,1%,0%,0%,0%,2%,,1%,1%,1%,1%,,2%,3%,,,,,,,2%,,,,,,,2018-19 Energy (proportion of total expenditure)
233,CFR_19,PT1819CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,,100%,100%,,,,,,,100%,,,,,,,2018-19 Total Expenditure (proportion of total expenditure)
234,CFR_19,PT1819CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
235,CFR_19,PT1819CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
236,CFR_19,PT1819CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,2018-19 Back Office (proportion of total expenditure) for LA
237,CFR_19,PT1819CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,2018-19 Energy (proportion of total expenditure) for LA
238,CFR_19,PT1819CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,,,,,NA,,,,,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
239,CFR_19,PDCAT1,,11%,,,,,,,-16%,-2%,-2%,,3%,,,NA,,1%,8%,,2%,4%,-2%,,-2%,,-2%,-4%,3%,-5%,-1%,,-3%,-7%,-6%,-2%,,7%,-3%,,,,,,,1%,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
240,CFR_19,PDCAT2,,-5%,,,,,,,0%,0%,2%,,-1%,,,2%,,1%,1%,,-5%,-2%,0%,,-1%,,-2%,-2%,0%,0%,-1%,,0%,1%,0%,-3%,,-4%,-4%,,,,,,,-1%,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
241,CFR_19,PDCAT3,,-4%,,,,,,,18%,-2%,-1%,,3%,,,4%,,-1%,-6%,,-1%,1%,2%,,0%,,0%,8%,5%,12%,0%,,-4%,4%,0%,2%,,-1%,6%,,,,,,,3%,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
242,CFR_19,PDCAT4,,0%,,,,,,,0%,1%,0%,,-1%,,,NA,,0%,0%,,-1%,0%,1%,,0%,,0%,0%,0%,0%,1%,,0%,0%,0%,0%,,1%,0%,,,,,,,1%,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
243,CFR_19,PDCAT5,,0%,,,,,,,0%,0%,0%,,0%,,,0%,,0%,0%,,0%,0%,0%,,0%,,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
244,CFR_21,URN,,103214,,,,,,,103613,103188,103189,,134099,,,103932,,103363,103615,,103468,103267,103213,,103295,,,103614,103164,103163,103422,,103201,103320,103445,,,103514,103501,,,,,,,,,,,,,,Unique Reference Number
245,CFR_21,LONDON/NON-LONDON,,Non-London,,,,,,,Non-London,Non-London,Non-London,,Non-London,,,Non-London,,Non-London,Non-London,,Non-London,Non-London,Non-London,,Non-London,,,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,,,Non-London,Non-London,,,,,,,,,,,,,,London/Non-London
246,CFR_21,MEDIAN,,Primary,,,,,,,Special,Primary,Primary,,Primary,,,Primary,,Primary,Special,,Primary,Primary,Primary,,Primary,,,Special,Primary,Primary,Primary,,Primary,Primary,Primary,,,Secondary with KS4,Secondary with KS4,,,,,,,,,,,,,,Group to compare
247,CFR_21,PUPILS,,222,,,,,,,385,476,388,,630,,,220,,311,150,,209,225,220,,225,,,89,270,359,417,,415,322,653,,,1830,652,,,,,,,,,,,,,,Number of pupils (FTE)
248,CFR_21,FSM,,53.9,,,,,,,50.6,21,18.1,,27,,,20.8,,59.8,54.7,,27.3,59.9,40.5,,65.7,,,42.7,29.3,29.5,24.7,,30.4,34.8,11.3,,,31.3,24.8,,,,,,,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
249,CFR_21,FSMBAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free school meals eligibility band
250,CFR_21,GRANTFUNDING,,8146,,,,,,,16340,4538,5095,,5202,,,5698,,6886,17400,,5363,7675,7143,,8004,,,22260,6359,5678,4975,,5136,5321,4413,,,6498,6561,,,,,,,,,,,,,,Grant funding (&pound; per pupil)
251,CFR_21,SELFGENERATEDINCOME,,51,,,,,,,2072,769,324,,55,,,63,,227,825,,73,31,362,,54,,,3386,17,77,86,,57,203,276,,,106,646,,,,,,,,,,,,,,Self generated income (&pound; per pupil)
252,CFR_21,TOTALINCOME,,8197,,,,,,,18412,5307,5419,,5257,,,5761,,7113,18225,,5436,7706,7505,,8058,,,25646,6376,5755,5061,,5193,5524,4689,,,6604,7207,,,,,,,,,,,,,,Total income (&pound; per pupil)
253,CFR_21,TEACHINGSTAFF,,3043,,,,,,,7605,2749,2417,,2978,,,2651,,2857,6198,,2370,2804,3795,,3018,,,11708,2810,2378,2445,,2595,3075,2415,,,3757,3696,,,,,,,,,,,,,,Teaching staff (&pound; per pupil)
254,CFR_21,SUPPLYTEACHERS,,567,,,,,,,35,24,173,,38,,,42,,134,51,,155,47,1,,420,,,443,58,161,22,,221,20,34,,,23,7,,,,,,,,,,,,,,Supply Staff (&pound; per pupil)
255,CFR_21,EDUCATIONSUPPORTSTAFF,,2078,,,,,,,3716,765,915,,437,,,1156,,1088,4971,,921,1415,347,,1460,,,6909,828,716,688,,645,63,597,,,473,219,,,,,,,,,,,,,,Education support staff (&pound; per pupil)
256,CFR_21,PREMISES,,206,,,,,,,466,245,183,,2,,,436,,128,1149,,268,460,595,,217,,,41,21,0,224,,196,338,221,,,177,5,,,,,,,,,,,,,,Premises (incl. Staff costs) (&pound; per pupil)
257,CFR_21,BACKOFFICE,,1193,,,,,,,4970,563,536,,756,,,648,,1537,3310,,587,1665,1028,,1284,,,3557,655,693,880,,624,800,708,,,561,1952,,,,,,,,,,,,,,Back office (incl. Staff costs) (&pound; per pupil)
258,CFR_21,CATERING,,203,,,,,,,162,51,464,,244,,,68,,297,246,,266,263,177,,329,,,-3182,187,41,230,,154,61,206,,,147,228,,,,,,,,,,,,,,Catering (incl. Staff costs) (&pound; per pupil)
259,CFR_21,OTHERSTAFF,,232,,,,,,,23,258,183,,148,,,199,,116,343,,268,305,169,,232,,,648,469,214,430,,182,231,185,,,56,93,,,,,,,,,,,,,,Other staff costs (&pound; per pupil)
260,CFR_21,ENERGY,,81,,,,,,,135,91,50,,70,,,49,,117,247,,51,91,92,,111,,,78,22,26,93,,51,67,61,,,123,222,,,,,,,,,,,,,,Energy (&pound; per pupil)
261,CFR_21,LEARNINGRESOURCES,,201,,,,,,,239,92,95,,113,,,63,,142,653,,165,201,138,,199,,,184,62,109,113,,126,167,168,,,234,153,,,,,,,,,,,,,,Learning resources (not ICT equipment) (&pound; per pupil)
262,CFR_21,ICT,,63,,,,,,,1,82,73,,64,,,60,,0,151,,3,9,211,,92,,,54,28,32,6,,50,12,10,,,0,74,,,,,,,,,,,,,,ICT learning resources (&pound; per pupil)
263,CFR_21,BOUGHTINPROFESSIONALSERVICES,,4,,,,,,,0,276,28,,113,,,97,,7,7,,82,4,0,,68,,,638,1098,1001,1,,2,0,22,,,117,76,,,,,,,,,,,,,,Bought in professional services - curriculum (&pound; per pupil)
264,CFR_21,OTHER,,94,,,,,,,57,67,58,,156,,,97,,124,30,,58,88,115,,102,,,71,118,140,35,,122,164,36,,,209,259,,,,,,,,,,,,,,Other expenditure (&pound; per pupil)
265,CFR_21,TOTALEXPENDITURE,,7965,,,,,,,17409,5263,5175,,5119,,,5566,,6547,17356,,5194,7352,6668,,7532,,,21149,6356,5511,5167,,4968,4998,4663,,,5877,6984,,,,,,,,,,,,,,Total expenditure (&pound; per pupil)
266,CFR_21,T1819CAT1,,"5,259",,,,,,,"9,615","3,283","3,236",,"3,092",,,"3,098",,"3,495","10,389",,"3,247","3,677","4,239",,"4,355",,,"18,067","3,666","2,938","2,768",,"2,770","2,937","3,117",,,"3,412","3,584",,,,,,,,,,,,,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil)
267,CFR_21,T1819CAT2,,43,,,,,,,168,70,188,,59,,,107,,186,436,,47,49,42,,432,,,134,40,154,94,,190,307,80,,,60,-104,,,,,,,,,,,,,,2018-19 Supply Staff Costs (&pound; per pupil)
268,CFR_21,T1819CAT3,,"1,154",,,,,,,"5,828",819,592,,767,,,655,,"1,779","2,412",,700,"1,853","1,440",,"1,606",,,"7,525","1,959","1,633",846,,705,"1,142","1,251",,,782,"1,455",,,,,,,,,,,,,,2018-19 Back Office (&pound; per pupil)
269,CFR_21,T1819CAT4,,80,,,,,,,168,104,60,,101,,,39,,65,85,,64,85,187,,106,,,0,0,0,86,,58,60,65,,,96,219,,,,,,,,,,,,,,2018-19 Energy (&pound; per pupil)
270,CFR_21,T1819CAT5,,"7,715",,,,,,,"16,932","5,279","5,063",,"4,846",,,"5,290",,"6,200","15,460",,"5,545","7,059","8,005",,"8,194",,,"24,649","6,108","5,437","4,859",,"4,851","5,470","5,617",,,"5,592","6,564",,,,,,,,,,,,,,2018-19 Total Expenditure (&pound; per pupil)
271,CFR_21,T1819SUM,,1179,,,,,,,1153,1003,987,,827,,,1391,,675,2138,,1487,1395,2097,,1695,,,-1077,443,712,1065,,1128,1024,1104,,,1242,1410,,,,,,,,,,,,,,
272,CFR_21,T1819CAT1LA,,"3,582",,,,,,,"14,219","3,064","3,064",,"3,064",,,"3,329",,"3,582","14,219",,"3,064","3,582","3,291",,"3,582",,,"14,219","3,291","3,064","3,064",,"3,064","3,291","3,064",,,"3,525","3,734",,,,,,,,,,,,,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
273,CFR_21,T1819CAT2LA,,141,,,,,,,607,112,112,,112,,,105,,141,607,,112,141,128,,141,,,607,128,112,112,,112,128,112,,,79,91,,,,,,,,,,,,,,2018-19 Supply Staff Costs (&pound; per pupil) for LA
274,CFR_21,T1819CAT3LA,,"1,012",,,,,,,"4,444",788,788,,788,,,446,,"1,012","4,444",,788,"1,012",875,,"1,012",,,"4,444",875,788,788,,788,875,788,,,"1,102","1,014",,,,,,,,,,,,,,2018-19 Back Office (&pound; per pupil) for LA
275,CFR_21,T1819CAT4LA,,75,,,,,,,168,67,67,,67,,,59,,75,168,,67,75,69,,75,,,168,69,67,67,,67,69,67,,,110,102,,,,,,,,,,,,,,2018-19 Energy (&pound; per pupil) for LA
276,CFR_21,T1819CAT5LA,,"6,108",,,,,,,"23,070","5,175","5,175",,"5,175",,,"5,111",,"6,108","23,070",,"5,175","6,108","5,547",,"6,108",,,"23,070","5,547","5,175","5,175",,"5,175","5,547","5,175",,,"6,379","6,284",,,,,,,,,,,,,,2018-19 Total Expenditure (&pound; per pupil) for LA
277,CFR_21,T1920CAT1,,3265,,,,,,,7663,2537,2312,,2787,,,2310,,2479,5675,,2128,2417,3246,,2911,,,12268,2466,2126,2248,,2330,2473,2302,,,3456,3642,,,,,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil)
278,CFR_21,T1920CAT2,,156,,,,,,,253,78,156,,25,,,95,,312,897,,270,75,131,,289,,,426,36,217,79,,261,208,42,,,62,0,,,,,,,,,,,,,,2019-20 Supply Staff Costs (&pound; per pupil)
279,CFR_21,T1920CAT3,,1382,,,,,,,3245,823,694,,839,,,729,,1598,2642,,690,1791,1152,,1477,,,4650,595,736,725,,801,751,902,,,587,1705,,,,,,,,,,,,,,2019-20 Back Office (&pound; per pupil)
280,CFR_21,T1920CAT4,,78,,,,,,,147,71,40,,106,,,52,,103,125,,76,60,161,,100,,,0,0,0,78,,46,89,43,,,112,244,,,,,,,,,,,,,,2019-20 Energy (&pound; per pupil)
281,CFR_21,T1920CAT5,,8579,,,,,,,16965,5233,5034,,5276,,,5820,,6414,17205,,5614,7739,7001,,7446,,,27074,6252,5426,4853,,4944,5458,4897,,,6005,7122,,,,,,,,,,,,,,2019-20 Total Expenditure (&pound; per pupil)
282,CFR_21,T1920SUM,,3698,,,,,,,5657,1724,1832,,1519,,,2634,,1922,7866,,2450,3396,2311,,2669,,,9730,3155,2347,1723,,1506,1937,1608,,,1788,1531,,,,,,,,,,,,,,
283,CFR_21,T1920CAT1LA,,2442,,,,,,,7823,2442,2442,,2442,,,2205,,2442,7823,,2442,2442,2442,,2442,,,7823,2442,2442,2442,,2442,2442,2442,,,2945,2945,,,,,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
284,CFR_21,T1920CAT2LA,,175,,,,,,,1196,175,175,,175,,,120,,175,1196,,175,175,175,,175,,,1196,175,175,175,,175,175,175,,,127,127,,,,,,,,,,,,,,2019-20 Supply Staff Costs (&pound; per pupil) for LA
285,CFR_21,T1920CAT3LA,,866,,,,,,,3885,866,866,,866,,,433,,866,3885,,866,866,866,,866,,,3885,866,866,866,,866,866,866,,,909,909,,,,,,,,,,,,,,2019-20 Back Office (&pound; per pupil) for LA
286,CFR_21,T1920CAT4LA,,72,,,,,,,279,72,72,,72,,,68,,72,279,,72,72,72,,72,,,279,72,72,72,,72,72,72,,,102,102,,,,,,,,,,,,,,2019-20 Energy (&pound; per pupil) for LA
