No,Namespace,Variable,Marston Green Infant Academy - 140733,Blackheath Primary School - 103981,Town Junior School - 141206,St Anthony's Catholic Primary School - 104103,St Anthony's Catholic Primary School - 148090,Minworth Junior and Infant School - 103345,Marston Green Junior School - 104060,Kingshurst Primary School - 135139,The Priory Primary School - 131212,Rowley Hall Primary School - 103955,St Anne's Catholic Primary School - 148092,St Anne's Catholic Primary School - 104104,Moorlands Primary School - 103908,Greswold Primary School - 104079,Forest Oak School - 104132,Merstone School - 104133,Smith's Wood Primary Academy - 140923,West Heath Primary School - 134279,Homeschool - 141501,Shirley Heath Junior School - 104050,Newtown Primary School - 103924,Newtown Primary School - 146434,Delves Junior School - 104170,Delves Infant School - 104150,Woodlands Infant School - 104053,Merritts Brook Primary E-ACT Academy - 139014,Grace Mary Primary School - 103945,Highfields Primary School - 103946,St John the Baptist Catholic Primary School - 148093,St John the Baptist Catholic Primary School - 104107,Hawkesley Church Primary Academy - 139269,Damson Wood Nursery and Infant School - 143051,Lea Hall Academy - 148722,Coppice Primary School - 137697,Tameside Primary School - 131735,Harvills Hawthorn Primary School - 131591,Park Hall Junior Academy - 137797,Tameside Primary Academy - 146358,Tudor Grange Academy Kingshurst - 146379,Plantsbrook School - 137053,Lode Heath School - 137008,Light Hall School - 137231,Smith's Wood Academy - 143895,WMG Academy for Young Engineers (Solihull) - 142900,Wodensborough Ormiston Academy - 139918,Ormiston Sandwell Community Academy - 135979,King Edward VI Northfield School for Girls - 148684,Turves Green Girls' School - 103499,High Point Academy - 148400,St Michael's Church of England High School - 104019,National state-funded primary,National state-funded secondary and 16 to 18,Description
200,CFR_19,PT1516CAT2,,0%,,1%,,2%,7%,5%,5%,3%,,3%,1%,2%,1%,1%,,6%,,4%,3%,,5%,4%,0%,,0%,3%,,5%,,,,,6%,2%,,,,,,,,,,,,3%,,0%,,,
201,CFR_19,PT1516CAT3,,3%,,2%,,4%,1%,3%,3%,3%,,4%,2%,5%,1%,1%,,5%,,1%,3%,,2%,6%,8%,,2%,4%,,3%,,,,,3%,3%,,,,,,,,,,,,2%,,1%,,,
202,CFR_19,PT1516CAT4,,3%,,5%,,2%,3%,4%,5%,5%,,3%,5%,4%,2%,2%,,4%,,5%,7%,,3%,4%,4%,,3%,4%,,5%,,,,,2%,13%,,,,,,,,,,,,2%,,3%,,,
203,CFR_19,PT1516CAT5,,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,100%,,100%,100%,,100%,100%,100%,,100%,100%,,100%,,,,,100%,100%,,,,,,,,,,,,100%,,100%,,,
204,CFR_19,PT1516CAT1LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
205,CFR_19,PT1516CAT2LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
206,CFR_19,PT1516CAT3LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
207,CFR_19,PT1516CAT4LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
208,CFR_19,PT1516CAT5LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
209,CFR_19,PT1617CAT1,,67%,,60%,,58%,59%,66%,60%,63%,,71%,65%,56%,78%,75%,,51%,,62%,52%,,66%,58%,59%,,70%,70%,,63%,,,,,66%,60%,,,,,,,,,,,,58%,,68%,,,
210,CFR_19,PT1617CAT2,,2%,,1%,,0%,4%,2%,5%,4%,,0%,1%,2%,2%,1%,,5%,,2%,7%,,7%,5%,2%,,0%,3%,,2%,,,,,6%,2%,,,,,,,,,,,,1%,,0%,,,
211,CFR_19,PT1617CAT3,,8%,,7%,,20%,9%,5%,9%,10%,,6%,8%,6%,5%,5%,,22%,,8%,11%,,7%,7%,6%,,10%,9%,,6%,,,,,5%,8%,,,,,,,,,,,,25%,,6%,,,
212,CFR_19,PT1617CAT4,,0%,,1%,,1%,1%,1%,2%,1%,,1%,1%,1%,1%,1%,,1%,,1%,1%,,1%,0%,1%,,1%,1%,,1%,,,,,1%,1%,,,,,,,,,,,,3%,,0%,,,
213,CFR_19,PT1617CAT5,,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,100%,,100%,100%,,100%,100%,100%,,100%,100%,,100%,,,,,100%,100%,,,,,,,,,,,,100%,,100%,,,
214,CFR_19,PT1617CAT1LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
215,CFR_19,PT1617CAT2LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
216,CFR_19,PT1617CAT3LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
217,CFR_19,PT1617CAT4LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
218,CFR_19,PT1617CAT5LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
219,CFR_19,PT1718CAT1,,67%,,64%,,56%,61%,69%,59%,65%,,71%,59%,56%,77%,75%,,48%,,62%,44%,,60%,59%,63%,,71%,69%,,67%,,,,,64%,59%,,,,,,,,,,,,57%,,69%,,,
220,CFR_19,PT1718CAT2,,2%,,1%,,2%,2%,0%,2%,3%,,1%,3%,2%,2%,0%,,9%,,1%,18%,,8%,6%,1%,,0%,2%,,1%,,,,,9%,1%,,,,,,,,,,,,2%,,0%,,,
221,CFR_19,PT1718CAT3,,8%,,7%,,25%,9%,6%,9%,10%,,6%,10%,7%,6%,6%,,23%,,8%,6%,,7%,8%,6%,,11%,8%,,6%,,,,,4%,9%,,,,,,,,,,,,26%,,7%,,,
222,CFR_19,PT1718CAT4,,0%,,1%,,1%,1%,1%,2%,1%,,1%,1%,1%,1%,1%,,2%,,1%,1%,,1%,2%,1%,,2%,1%,,1%,,,,,1%,1%,,,,,,,,,,,,1%,,0%,,,
223,CFR_19,PT1718CAT5,,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,100%,,100%,100%,,100%,100%,100%,,100%,100%,,100%,,,,,100%,100%,,,,,,,,,,,,100%,,100%,,,
224,CFR_19,PT1718CAT1LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
225,CFR_19,PT1718CAT2LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
226,CFR_19,PT1718CAT3LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
227,CFR_19,PT1718CAT4LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
228,CFR_19,PT1718CAT5LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,
229,CFR_19,PT1819CAT1,,69%,,64%,,57%,58%,68%,62%,69%,,68%,60%,58%,74%,73%,,52%,,59%,48%,,68%,59%,63%,,71%,69%,,68%,,,,,67%,57%,,,,,,,,,,,,59%,,69%,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
230,CFR_19,PT1819CAT2,,2%,,1%,,1%,0%,0%,3%,2%,,2%,1%,1%,1%,0%,,6%,,1%,11%,,2%,5%,1%,,0%,2%,,0%,,,,,9%,3%,,,,,,,,,,,,0%,,0%,,,2018-19 Supply Staff Costs (proportion of total expenditure)
231,CFR_19,PT1819CAT3,,9%,,7%,,24%,8%,7%,10%,11%,,6%,8%,7%,6%,6%,,18%,,8%,9%,,8%,8%,7%,,12%,11%,,5%,,,,,5%,8%,,,,,,,,,,,,27%,,20%,,,2018-19 Back Office (proportion of total expenditure)
232,CFR_19,PT1819CAT4,,0%,,1%,,1%,1%,1%,2%,1%,,1%,1%,1%,1%,1%,,1%,,1%,1%,,1%,1%,1%,,1%,1%,,1%,,,,,1%,1%,,,,,,,,,,,,2%,,0%,,,2018-19 Energy (proportion of total expenditure)
233,CFR_19,PT1819CAT5,,100%,,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,100%,,100%,100%,,100%,100%,100%,,100%,100%,,100%,,,,,100%,100%,,,,,,,,,,,,100%,,100%,,,2018-19 Total Expenditure (proportion of total expenditure)
234,CFR_19,PT1819CAT1LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
235,CFR_19,PT1819CAT2LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
236,CFR_19,PT1819CAT3LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,2018-19 Back Office (proportion of total expenditure) for LA
237,CFR_19,PT1819CAT4LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,2018-19 Energy (proportion of total expenditure) for LA
238,CFR_19,PT1819CAT5LA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,NA,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
239,CFR_19,PDCAT1,,6%,,0%,,-1%,7%,3%,8%,6%,,1%,-4%,-2%,7%,7%,,5%,,1%,-8%,,7%,0%,4%,,3%,5%,,8%,,,,,1%,-1%,,,,,,,,,,,,3%,,6%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
240,CFR_19,PDCAT2,,-2%,,-3%,,0%,-10%,-5%,-3%,0%,,-1%,0%,-1%,-4%,-1%,,-1%,,-4%,8%,,-4%,2%,-1%,,-1%,-3%,,-4%,,,,,6%,0%,,,,,,,,,,,,-3%,,0%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
241,CFR_19,PDCAT3,,1%,,1%,,-1%,0%,1%,1%,3%,,0%,-1%,1%,-8%,-7%,,-2%,,1%,-3%,,2%,-2%,1%,,2%,3%,,-2%,,,,,0%,-1%,,,,,,,,,,,,2%,,15%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
242,CFR_19,PDCAT4,,0%,,0%,,0%,0%,-1%,0%,0%,,0%,0%,-1%,0%,0%,,0%,,0%,0%,,0%,0%,0%,,0%,0%,,0%,,,,,-1%,-1%,,,,,,,,,,,,0%,,0%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
243,CFR_19,PDCAT5,,0%,,0%,,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,0%,,0%,0%,,0%,0%,0%,,0%,0%,,0%,,,,,0%,0%,,,,,,,,,,,,0%,,0%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
244,CFR_21,URN,,103981,,104103,,103345,104060,135139,131212,103955,,104104,103908,104079,104132,104133,,134279,,104050,,,104170,104150,104053,,103945,103946,,104107,,,,,,131591,,,,,,,,,,,,103499,,104019,,,Unique Reference Number
245,CFR_21,LONDON/NON-LONDON,,Non-London,,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,,Non-London,,,Non-London,Non-London,Non-London,,Non-London,Non-London,,Non-London,,,,,,Non-London,,,,,,,,,,,,Non-London,,Non-London,,,London/Non-London
246,CFR_21,MEDIAN,,Primary,,Primary,,Primary,Primary,Primary,Primary,Primary,,Primary,Primary,Primary,Special,Special,,Primary,,Primary,,,Primary,Primary,Primary,,Primary,Primary,,Primary,,,,,,Primary,,,,,,,,,,,,Secondary with KS4,,Secondary with KS4,,,Group to compare
247,CFR_21,PUPILS,,472,,243,,207,349,503,366,633,,442,204,624,174,121,,402,,418,,,358,316,190,,236,417,,222,,,,,,446,,,,,,,,,,,,679,,1221,,,Number of pupils (FTE)
248,CFR_21,FSM,,30.5,,32.6,,49.3,24.6,51.5,41.2,31.6,,25.4,30.9,12.1,56.3,44.1,,44.3,,14.1,,,25.7,19.2,7.8,,30.9,20.7,,56.9,,,,,,24.8,,,,,,,,,,,,39.2,,27.9,,,Percentage of pupils eligible for Free School Meals (FSM)
249,CFR_21,FSMBAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free school meals eligibility band
250,CFR_21,GRANTFUNDING,,5659,,5656,,6134,4757,5965,5708,5382,,5157,6087,4734,15101,22087,,5888,,4330,,,5156,5705,5323,,7274,5207,,6290,,,,,,5924,,,,,,,,,,,,6680,,6686,,,Grant funding (&pound; per pupil)
251,CFR_21,SELFGENERATEDINCOME,,49,,116,,257,237,52,183,102,,100,99,195,92,124,,83,,287,,,46,338,300,,66,1,,137,,,,,,60,,,,,,,,,,,,90,,58,,,Self generated income (&pound; per pupil)
252,CFR_21,TOTALINCOME,,5708,,5772,,6391,4994,6017,5891,5484,,5257,6186,4929,15193,22211,,5971,,4617,,,5202,6043,5623,,7340,5208,,6427,,,,,,5984,,,,,,,,,,,,6770,,6744,,,Total income (&pound; per pupil)
253,CFR_21,TEACHINGSTAFF,,2499,,2267,,0,2184,2690,2405,2091,,2559,2668,2220,6579,7569,,2459,,2356,,,2628,2303,2240,,2721,2378,,3330,,,,,,2646,,,,,,,,,,,,3695,,3979,,,Teaching staff (&pound; per pupil)
254,CFR_21,SUPPLYTEACHERS,,20,,41,,4,172,46,65,76,,115,46,94,211,99,,0,,46,,,5,137,193,,0,69,,0,,,,,,119,,,,,,,,,,,,8,,0,,,Supply Staff (&pound; per pupil)
255,CFR_21,EDUCATIONSUPPORTSTAFF,,1398,,1531,,0,731,1298,1409,1287,,942,1274,755,4961,8719,,754,,468,,,831,1321,1046,,2549,1226,,1220,,,,,,1237,,,,,,,,,,,,443,,738,,,Education support staff (&pound; per pupil)
256,CFR_21,PREMISES,,70,,447,,62,477,339,319,301,,282,356,253,674,905,,186,,342,,,476,603,362,,343,278,,479,,,,,,303,,,,,,,,,,,,199,,872,,,Premises (incl. Staff costs) (&pound; per pupil)
257,CFR_21,BACKOFFICE,,447,,384,,5221,336,413,484,441,,306,395,267,728,1052,,1302,,274,,,340,495,436,,659,406,,245,,,,,,451,,,,,,,,,,,,1362,,632,,,Back office (incl. Staff costs) (&pound; per pupil)
258,CFR_21,CATERING,,125,,227,,221,83,261,110,114,,0,185,219,233,215,,181,,53,,,53,240,402,,129,117,,243,,,,,,167,,,,,,,,,,,,68,,63,,,Catering (incl. Staff costs) (&pound; per pupil)
259,CFR_21,OTHERSTAFF,,392,,63,,2,351,187,169,324,,137,164,264,410,633,,254,,325,,,287,309,392,,145,103,,128,,,,,,147,,,,,,,,,,,,57,,41,,,Other staff costs (&pound; per pupil)
260,CFR_21,ENERGY,,2,,56,,31,52,69,96,50,,59,50,43,152,219,,55,,56,,,34,65,61,,66,60,,46,,,,,,53,,,,,,,,,,,,160,,0,,,Energy (&pound; per pupil)
261,CFR_21,LEARNINGRESOURCES,,112,,115,,39,148,112,185,115,,91,292,32,134,285,,281,,99,,,77,110,174,,247,89,,98,,,,,,321,,,,,,,,,,,,28,,57,,,Learning resources (not ICT equipment) (&pound; per pupil)
262,CFR_21,ICT,,16,,139,,0,202,81,3,19,,152,61,97,62,97,,31,,103,,,104,93,104,,34,27,,129,,,,,,72,,,,,,,,,,,,8,,22,,,ICT learning resources (&pound; per pupil)
263,CFR_21,BOUGHTINPROFESSIONALSERVICES,,23,,55,,6,76,148,107,133,,48,81,62,264,290,,2,,57,,,91,77,47,,2,12,,224,,,,,,121,,,,,,,,,,,,1,,101,,,Bought in professional services - curriculum (&pound; per pupil)
264,CFR_21,OTHER,,129,,50,,95,123,161,104,104,,264,68,96,113,46,,177,,134,,,83,-45,141,,130,84,,87,,,,,,131,,,,,,,,,,,,142,,95,,,Other expenditure (&pound; per pupil)
265,CFR_21,TOTALEXPENDITURE,,5233,,5375,,5681,4935,5805,5456,5055,,4955,5640,4402,14521,20129,,5682,,4313,,,5009,5708,5598,,7025,4849,,6229,,,,,,5768,,,,,,,,,,,,6171,,6600,,,Total expenditure (&pound; per pupil)
266,CFR_21,T1819CAT1,,"3,316",,"3,529",,"3,601","2,691","3,781","3,224","3,138",,"3,411","3,179","2,534","9,568","14,586",,"3,015",,"2,498",,,"3,032","2,880","3,225",,"4,388","3,136",,"4,267",,,,,,"3,203",,,,,,,,,,,,"3,510",,"4,446",,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil)
267,CFR_21,T1819CAT2,,94,,39,,35,5,-18,135,91,,83,70,44,165,-52,,323,,45,,,82,262,35,,0,99,,-17,,,,,,141,,,,,,,,,,,,18,,2,,,2018-19 Supply Staff Costs (&pound; per pupil)
268,CFR_21,T1819CAT3,,413,,402,,"1,532",365,380,498,503,,299,428,285,781,"1,217",,"1,044",,339,,,357,403,369,,716,484,,330,,,,,,470,,,,,,,,,,,,"1,593",,"1,310",,,2018-19 Back Office (&pound; per pupil)
269,CFR_21,T1819CAT4,,2,,62,,91,48,71,109,45,,61,58,52,124,204,,75,,56,,,29,53,49,,60,54,,74,,,,,,59,,,,,,,,,,,,120,,0,,,2018-19 Energy (&pound; per pupil)
270,CFR_21,T1819CAT5,,"4,830",,"5,511",,"6,307","4,623","5,543","5,201","4,516",,"5,037","5,304","4,361","12,902","19,918",,"5,790",,"4,234",,,"4,441","4,879","5,147",,"6,199","4,547",,"6,260",,,,,,"5,618",,,,,,,,,,,,"5,968",,"6,402",,,2018-19 Total Expenditure (&pound; per pupil)
271,CFR_21,T1819SUM,,1005,,1479,,1048,1514,1329,1235,739,,1183,1569,1446,2264,3963,,1333,,1296,,,941,1281,1469,,1035,774,,1606,,,,,,1745,,,,,,,,,,,,727,,644,,,
272,CFR_21,T1819CAT1LA,,"3,249",,"3,571",,"3,582","2,842","3,571","3,249","3,249",,"2,842","3,249","2,842","12,078","12,078",,"3,582",,"2,842",,,"3,334","3,023","2,842",,"3,249","3,329",,"3,692",,,,,,"3,249",,,,,,,,,,,,"3,525",,"4,087",,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
273,CFR_21,T1819CAT2LA,,128,,38,,141,66,38,128,128,,66,128,66,57,57,,141,,66,,,111,92,66,,128,105,,38,,,,,,128,,,,,,,,,,,,79,,116,,,2018-19 Supply Staff Costs (&pound; per pupil) for LA
274,CFR_21,T1819CAT3LA,,457,,402,,"1,012",366,402,457,457,,366,457,366,999,999,,"1,012",,366,,,389,326,366,,457,446,,516,,,,,,457,,,,,,,,,,,,"1,102",,487,,,2018-19 Back Office (&pound; per pupil) for LA
275,CFR_21,T1819CAT4LA,,62,,67,,75,58,67,62,62,,58,62,58,164,164,,75,,58,,,67,57,58,,62,59,,77,,,,,,62,,,,,,,,,,,,110,,24,,,2018-19 Energy (&pound; per pupil) for LA
276,CFR_21,T1819CAT5LA,,"5,201",,"5,527",,"6,108","4,695","5,527","5,201","5,201",,"4,695","5,201","4,695","16,410","16,410",,"6,108",,"4,695",,,"5,315","4,637","4,695",,"5,201","5,111",,"6,346",,,,,,"5,201",,,,,,,,,,,,"6,379",,"6,083",,,2018-19 Total Expenditure (&pound; per pupil) for LA
277,CFR_21,T1920CAT1,,2247,,2324,,0,2217,2419,2124,2130,,2617,2244,2109,5918,7268,,2465,,2354,,,2484,2002,2269,,2539,2113,,3153,,,,,,2324,,,,,,,,,,,,3411,,3717,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil)
278,CFR_21,T1920CAT2,,79,,104,,5058,56,28,13,118,,76,203,50,197,188,,109,,64,,,77,208,72,,0,94,,36,,,,,,111,,,,,,,,,,,,14,,35,,,2019-20 Supply Staff Costs (&pound; per pupil)
279,CFR_21,T1920CAT3,,455,,400,,631,326,399,492,446,,287,432,257,708,1165,,1054,,311,,,338,460,331,,506,362,,312,,,,,,441,,,,,,,,,,,,1571,,1306,,,2019-20 Back Office (&pound; per pupil)
280,CFR_21,T1920CAT4,,3,,59,,10,53,73,108,58,,67,70,50,142,227,,123,,61,,,36,65,58,,77,60,,68,,,,,,57,,,,,,,,,,,,124,,0,,,2019-20 Energy (&pound; per pupil)
281,CFR_21,T1920CAT5,,5452,,5748,,6380,4792,5445,5394,5453,,5010,5665,4392,13967,21744,,5732,,4662,,,4940,5846,5430,,6925,4582,,6296,,,,,,5596,,,,,,,,,,,,6676,,6426,,,2019-20 Total Expenditure (&pound; per pupil)
282,CFR_21,T1920SUM,,2668,,2861,,681,2140,2526,2657,2701,,1963,2716,1926,7002,12896,,1981,,1872,,,2005,3111,2700,,3803,1953,,2727,,,,,,2663,,,,,,,,,,,,1556,,1368,,,
283,CFR_21,T1920CAT1LA,,2205,,2221,,2442,2221,2221,2205,2205,,2221,2205,2221,6977,6977,,2442,,2221,,,2327,2327,2221,,2205,2205,,2221,,,,,,2205,,,,,,,,,,,,2945,,3410,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
284,CFR_21,T1920CAT2LA,,120,,101,,175,101,101,120,120,,101,120,101,237,237,,175,,101,,,126,126,101,,120,120,,101,,,,,,120,,,,,,,,,,,,127,,181,,,2019-20 Supply Staff Costs (&pound; per pupil) for LA
285,CFR_21,T1920CAT3LA,,433,,379,,866,379,379,433,433,,379,433,379,1034,1034,,866,,379,,,385,385,379,,433,433,,379,,,,,,433,,,,,,,,,,,,909,,576,,,2019-20 Back Office (&pound; per pupil) for LA
286,CFR_21,T1920CAT4LA,,68,,64,,72,64,64,68,68,,64,68,64,216,216,,72,,64,,,62,62,64,,68,68,,64,,,,,,68,,,,,,,,,,,,102,,65,,,2019-20 Energy (&pound; per pupil) for LA
287,CFR_21,T1920CAT5LA,,5415,,5058,,5593,5058,5058,5415,5415,,5058,5415,5058,17563,17563,,5593,,5058,,,5275,5275,5058,,5415,5415,,5058,,,,,,5415,,,,,,,,,,,,5801,,6124,,,2019-20 Total Expenditure (&pound; per pupil) for LA
288,CFR_21,T2021CAT1,,2499,,2267,,0,2184,2690,2405,2091,,2559,2668,2220,6579,7569,,2459,,2356,,,2628,2303,2240,,2721,2378,,3330,,,,,,2646,,,,,,,,,,,,3695,,3979,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil)
289,CFR_21,T2021CAT2,,20,,41,,4,172,46,65,76,,115,46,94,211,99,,0,,46,,,5,137,193,,0,69,,0,,,,,,119,,,,,,,,,,,,8,,0,,,2020-21 Supply Staff Costs (&pound; per pupil)
290,CFR_21,T2021CAT3,,447,,384,,5221,336,413,484,441,,306,395,267,728,1052,,1302,,274,,,340,495,436,,659,406,,245,,,,,,451,,,,,,,,,,,,1362,,632,,,2020-21 Back Office (&pound; per pupil)
291,CFR_21,T2021CAT4,,2,,56,,31,52,69,96,50,,59,50,43,152,219,,55,,56,,,34,65,61,,66,60,,46,,,,,,53,,,,,,,,,,,,160,,0,,,2020-21 Energy (&pound; per pupil)
292,CFR_21,T2021CAT5,,5233,,5375,,5681,4935,5805,5456,5055,,4955,5640,4402,14521,20129,,5682,,4313,,,5009,5708,5598,,7025,4849,,6229,,,,,,5768,,,,,,,,,,,,6171,,6600,,,2020-21 Total Expenditure (&pound; per pupil)
293,CFR_21,T2021SUM,,2265,,2627,,425,2191,2587,2406,2397,,1916,2481,1778,6851,11190,,1866,,1581,,,2002,2708,2668,,3579,1936,,2608,,,,,,2499,,,,,,,,,,,,946,,1989,,,
294,CFR_21,T2021CAT1LA,,2364,,2434,,2670,2434,2434,2364,2364,,2434,2364,2434,7072,7072,,2670,,2434,,,2550,2550,2434,,2364,2364,,2434,,,,,,2364,,,,,,,,,,,,3521,,3651,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
295,CFR_21,T2021CAT2LA,,81,,89,,126,89,89,81,81,,89,81,89,258,258,,126,,89,,,113,113,89,,81,81,,89,,,,,,81,,,,,,,,,,,,65,,74,,,2020-21 Supply Staff Costs (&pound; per pupil) for LA
296,CFR_21,T2021CAT3LA,,446,,382,,820,382,382,446,446,,382,446,382,1025,1025,,820,,382,,,414,414,382,,446,446,,382,,,,,,446,,,,,,,,,,,,1061,,476,,,2020-21 Back Office (&pound; per pupil) for LA
297,CFR_21,T2021CAT4LA,,60,,60,,76,60,60,60,60,,60,60,60,204,204,,76,,60,,,63,63,60,,60,60,,60,,,,,,60,,,,,,,,,,,,100,,54,,,2020-21 Energy (&pound; per pupil) for LA
298,CFR_21,T2021CAT5LA,,5320,,5154,,5583,5154,5154,5320,5320,,5154,5320,5154,17412,17412,,5583,,5154,,,5537,5537,5154,,5320,5320,,5154,,,,,,5320,,,,,,,,,,,,6360,,6212,,,2020-21 Total Expenditure (&pound; per pupil) for LA
299,CFR_21,DCAT1,,252,,-57,,0,-33,271,281,-39,,-58,424,111,661,301,,-6,,2,,,144,301,-29,,182,265,,177,,,,,,322,,,,,,,,,,,,284,,262,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
300,CFR_21,DCAT2,,-59,,-63,,"-5,054",116,18,52,-42,,39,-157,44,14,-89,,-109,,-18,,,-72,-71,121,,0,-25,,-36,,,,,,8,,,,,,,,,,,,-6,,-35,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
301,CFR_21,DCAT3,,-8,,-16,,"4,590",10,14,-8,-5,,19,-37,10,20,-113,,248,,-37,,,2,35,105,,153,44,,-67,,,,,,10,,,,,,,,,,,,-209,,-674,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
