No,Namespace,Variable,Old Church Church of England C Primary School - 104224,Alumwell Junior School - 104142,Alumwell Infant School - 104143,Foxyards Primary School - 148182,Foxyards Primary School - 103788,Croft Academy - 138420,Wallbrook Primary Academy - 147721,Wallbrook Primary School - 103783,Reedswood E-ACT Academy - 138452,Priory Primary School - 145305,Jesson's CofE Primary School (VA) - 103845,"St Joseph's Catholic Primary School, Darlaston - 104235",Quarry Bank Primary School - 103830,Woods Bank Academy - 139305,Bentley Heath Church of England Primary School - 140462,North Walsall Primary Academy - 144499,Wilkinson Primary School - 104325,The Wenlock School - 145563,Christ Church CofE Primary School - 103838,Radleys Primary School - 104207,King Charles Primary School - 104175,Leighswood School - 131433,County Bridge Primary School - 104189,George Fentham Endowed School - 104094,"The Jane Lane School,  A College for Cognition & Learning - 104271",Woodside Primary School and Nursery - 143821,St Thomas of Canterbury Catholic Primary School - 104236,Wollescote Primary School - 103800,Wrens Nest Primary School - 103823,Lickey Hills Primary School and Nursery - 116773,St Andrew's CofE First School - 116865,Mount Pleasant Primary School - 103780,The Island Project School - 135453,Edgar Stammers Primary Academy - 139610,Loxdale Primary School - 104315,Rosewood School - 103882,Crown Meadow First School & Nursery - 116646,Alvechurch CofE Middle School - 143507,Knowle Church of England Primary Academy - 139457,St Mary's RC Primary School - 141489,Bentley West Primary School Additionally Resourced for Hearing Impaired - 104174,St James Academy - 144657,Waseley Hills High School - 138664,Grace Academy Darlaston - 135956,Elmwood School - 135461,Priory Park Community School - 148642,Pegasus Academy - 137390,Sutton School - 103877,Bishop Milner Catholic College - 140126,"St Thomas More Catholic School, Willenhall - 104259",National state-funded primary,National state-funded secondary and 16 to 18,Description
1024,KS5_STUDEST_21,LALLOTH_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,SUPP,,,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1025,KS5_STUDEST_21,LALLOTH_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,SUPP,,,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1026,KS5_STUDEST_21,LALLOTH_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,SUPP,,,"Activity not captured in data (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1027,KS5_STUDEST_21,REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,KS5_STUDEST_21,ALL_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,1,1,,,Band for the total cohort (e.g. About average)
1029,KS5_STUDEST_21,ALL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,20,19,,,Progression score for the total cohort
1030,KS5_STUDEST_21,ALL_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,36,,,,,68,96,,,Cohort size
1031,KS5_STUDEST_21,ALL_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,72%,,,,,85%,84%,,,Progressed
1032,KS5_STUDEST_21,ALL_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,0%,,,,,0%,0%,,,Apprenticeships
1033,KS5_STUDEST_21,ALL_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,69%,,,,,84%,84%,,,HE
1034,KS5_STUDEST_21,ALL_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,6%,,,,,9%,17%,,,Top third
1035,KS5_STUDEST_21,ALL_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,6%,,,,,9%,15%,,,Russell
1036,KS5_STUDEST_21,ALL_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,0%,0%,,,Oxbridge
1037,KS5_STUDEST_21,ALL_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,3%,,,,,1%,0%,,,Higher technical
1038,KS5_STUDEST_21,ACADAGEN_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,35,,,,,68,94,,,Cohort size for academic/applied general cohort
1039,KS5_STUDEST_21,ACADAGEN_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,74%,,,,,85%,86%,,,Progressed for academic/applied general cohort
1040,KS5_STUDEST_21,ACADAGEN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,20,21,,,Progression score for academic/applied general cohort
1041,KS5_STUDEST_21,ACADAGEN_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,1,1,,,Band for academic/applied general cohort
1042,KS5_STUDEST_21,TLEV_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,2,,,Cohort size for TLEV cohort
1043,KS5_STUDEST_21,TLEV_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,0%,SUPP,,,Progressed for TLEV cohort
1044,KS5_STUDEST_21,TLEV_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,,Score for TLEV cohort
1045,KS5_STUDEST_21,TLEV_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,,Band for TLEV cohort
1046,KS5_STUDEST_21,OTHER_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,0,0,,,Cohort size for other level 3 qualifications cohort
1047,KS5_STUDEST_21,OTHER_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,,,,,0%,0%,,,Progressed for other level 3 qualifications cohort
1048,KS5_STUDEST_21,OTHER_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,SUPP,,,,,NA,NA,,,Score for other level 3 qualifications cohort
1049,KS5_STUDEST_21,OTHER_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,SUPP,,,,,NA,NA,,,Band for other level 3 qualifications cohort
1050,KS5_STUDEST_21,DIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,67%,,,,,90%,78%,,,Progressed for disadvantaged students
1051,KS5_STUDEST_21,DIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,0%,,,,,0%,0%,,,Apprenticeships for disadvantaged students
1052,KS5_STUDEST_21,DIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,SUPP,78%,,,HE for disadvantaged students
1053,KS5_STUDEST_21,DIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,SUPP,4%,,,Top third for disadvantaged students
1054,KS5_STUDEST_21,DIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,SUPP,4%,,,Russell for disadvantaged students
1055,KS5_STUDEST_21,DIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,SUPP,0%,,,Oxbridge for disadvantaged students
1056,KS5_STUDEST_21,DIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,SUPP,0%,,,Higher technical for disadvantaged students
1057,KS5_STUDEST_19,NONDIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,
1058,KS5_STUDEST_19,NONDIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1059,KS5_STUDEST_19,NONDIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59%,
1060,KS5_STUDEST_19,NONDIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,
1061,KS5_STUDEST_19,NONDIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,
1062,KS5_STUDEST_19,NONDIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1063,KS5_STUDEST_19,NONDIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,
1064,KS2_19,YEAR,2019,2019,,,2019,2019,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,,2019,2019,,,2019,2019,2019,2019,,,,,,,,,,2019,,
1065,KS2_19,RECTYPE,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,2,1,1,1,1,1,,1,,1,1,,,1,1,1,1,,,,,,,,,,5,,Record type (1=Mainstream school; 2=Special school; 3=Local Authority; 4=National (all schools); 5=National (state-funded schools only))
1066,KS2_19,ALPHAIND,39536,1578,,,19784,14104,,62022,44592,43210,28216,50112,43478,66070,4874,38320,64596,,11634,43880,29188,31476,13682,20530,28148,66130,53616,65544,66448,31672,,36516,,17130,32970,,,1586,30226,51676,4884,,,,,,,,,,,,Alphabetic index
1067,KS2_19,LEA,335,335,,,332,335,,332,335,332,332,335,332,335,334,335,336,,332,335,335,335,335,334,335,332,335,332,332,885,,332,,335,336,,,885,334,332,335,,,,,,,,,,,,Local authority number
1068,KS2_19,ESTAB,3100,2000,,,2068,2005,,2048,2010,2009,3306,3310,2153,2104,3011,2034,2069,,3010,2228,2102,2245,2117,3311,7004,2007,3312,2111,2146,2901,,2036,,3805,2051,,,4575,3012,3303,2101,,,,,,,,,,,,Establishment number
1069,KS2_19,URN,104224,104142,,,103788,138420,,103783,138452,145305,103845,104235,103830,139305,140462,144499,104325,,103838,104207,104175,131433,104189,104094,104271,143821,104236,103800,103823,116773,,103780,,139610,104315,,,143507,139457,141489,104174,,,,,,,,,,,,School unique reference number
1070,KS2_19,SCHNAME,Old Church Church of England C Primary School,Alumwell Junior School,,,Foxyards Primary School,Croft Academy,,Wallbrook Primary School,Reedswood E-ACT Academy,Priory Primary School,Jesson's CofE Primary School (VA),"St Joseph's Catholic Primary School, Darlaston",Quarry Bank Primary School,Woods Bank Academy,Bentley Heath Church of England Primary School,North Walsall Primary Academy,Wilkinson Primary School,,Christ Church CofE Primary School,Radleys Primary School,King Charles Primary School,Leighswood School,County Bridge Primary School,George Fentham Endowed School,"The Jane Lane School, A College for Cognition & Learning",Woodside Primary School and Nursery,St Thomas of Canterbury Catholic Primary School,Wollescote Primary School,Wrens Nest Primary School,Lickey Hills Primary School and Nursery,,Mount Pleasant Primary School,,Edgar Stammers Primary Academy,Loxdale Primary School,,,Alvechurch CofE Middle School,Knowle Church of England Primary Academy,St Mary's RC Primary School,Bentley West Primary School Additionally Resourced for Hearing Impaired,,,,,,,,,,,,School/Local authority name
1071,KS2_19,ADDRESS1,School Street,Primley Avenue,,,Foxyards Road,Croft Street,,Off Bradleys Lane,Bentley Drive,Limes Road,School Street,Rough Hay Road,High Street,Rough Hay Road,Widney Close,Derby Street,Walter Road,,Church Road,Kings Road,Wilkes Avenue,Broadmeadow,Anson Road,Fentham Road,Churchill Road,Highgate Road,Dartmouth Avenue,Drummond Road,Marigold Crescent,Old Birmingham Road,,Mount Pleasant,,Harden Road,Dudley Street,,,Birmingham Road,Kixley Lane,Mill Street,Monmouth Road,,,,,,,,,,,,School address (1)
1072,KS2_19,ADDRESS2,Off Alma Street,,,,,,,Coseley,,Priory Estate,,Darlaston,Quarry Bank,Darlaston,Bentley Heath,,Bradley,,Coseley,Rushall,Bentley,Aldridge,Bentley,Hampton-in-Arden,Bentley,Woodside,Coalpool,Wollescote,Wrens Nest Estate,Lickey,,Quarry Bank,,Coalpool,,,,Alvechurch,Knowle,,Bentley,,,,,,,,,,,,School address (2)
1073,KS2_19,ADDRESS3,Darlaston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
1074,KS2_19,TOWN,Wednesbury,Walsall,,,Tipton,Walsall,,Bilston,Walsall,Dudley,Dudley,Wednesbury,Brierley Hill,Wednesbury,Solihull,Walsall,Bilston,,Bilston,Walsall,Walsall,Walsall,Walsall,Solihull,Walsall,Dudley,Walsall,Stourbridge,Dudley,Birmingham,,Brierley Hill,,Walsall,Wolverhampton,,,Birmingham,Solihull,Brierley Hill,Walsall,,,,,,,,,,,,School town
1075,KS2_19,PCODE,WS10 8DL,WS2 9UP,,,DY4 8BH,WS2 8JE,,WV14 8YP,WS2 8RX,DY1 4AQ,DY1 2AQ,WS10 8HN,DY5 2AD,WS10 8NQ,B93 9AS,WS2 7BH,WV14 8UR,,WV14 8YB,WS4 1JJ,WS2 0JN,WS9 8HZ,WS2 0DH,B92 0AY,WS2 0JH,DY2 0SN,WS3 1SP,DY9 8YA,DY1 3NX,B45 8EU,,DY5 2YN,,WS3 1RQ,WV14 0LN,,,B48 7TA,B93 0JE,DY5 2TH,WS2 0EQ,,,,,,,,,,,,School postcode
1076,KS2_19,TELNUM,1215686329,1922721391,,,1384818740,1922720689,,1384818985,1922721323,1384816845,1384816825,1215686496,1384818750,1215686421,1564772132,1922720822,1902558971,,1384818375,1922721383,1922721368,1922743621,1922720718,1675442800,1922721161,1384818245,1922720712,1384818500,1384818515,1214451992,,1384816910,,1922471390,1902558570,,,1214451033,1564776209,1384818435,1922720792,,,,,,,,,,,,School telephone number 
1077,KS2_19,PCON_CODE,E14001012,E14001012,,,E14000671,E14001011,,E14001050,E14001012,E14000671,E14000671,E14001012,E14000976,E14001012,E14000812,E14001011,E14001050,,E14001050,E14000531,E14001012,E14000531,E14001012,E14000812,E14001012,E14000672,E14001011,E14000976,E14000671,E14000605,,E14000976,,E14001011,E14001050,,,E14000605,E14000812,E14000672,E14001012,,,,,,,,,,,,School parliamentary constituency code
1078,KS2_19,PCON_NAME,Walsall South,Walsall South,,,Dudley North,Walsall North,,Wolverhampton South East,Walsall South,Dudley North,Dudley North,Walsall South,Stourbridge,Walsall South,Meriden,Walsall North,Wolverhampton South East,,Wolverhampton South East,Aldridge-Brownhills,Walsall South,Aldridge-Brownhills,Walsall South,Meriden,Walsall South,Dudley South,Walsall North,Stourbridge,Dudley North,Bromsgrove,,Stourbridge,,Walsall North,Wolverhampton South East,,,Bromsgrove,Meriden,Dudley South,Walsall South,,,,,,,,,,,,School parliamentary constituency name
1079,KS2_19,URN_AC,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,,,,,,,,,,,,Converter academy: URN 
1080,KS2_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: name
1081,KS2_19,OPEN_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: open date
1082,KS2_19,NFTYPE,VC,CY,,,CY,AC,,CY,AC,AC,VA,VA,CY,ACC,ACC,AC,CY,,VC,CY,CY,CY,CY,VA,CYS,AC,VA,CY,CY,CY,,CY,,ACC,CY,,,ACC,ACC,ACC,CY,,,,,,,,,,,,"School type. Rectype 1: AC = Academy Sponsor Led (NFTYPE 20), CY = Community school (21), VA = Voluntary Aided school (22), VC = Voluntary Controlled school (23), FD = Foundation school (24), CTC = City Technology College (25), ACC = Academy converter (51), F = Free school (52). Rectype 2: CYS = Community special (26), FDS = Foundation special (27), ACS = Academy special (50), FS = Free Special School (53), ACCS = Academy Converter Special (55)."
1083,KS2_19,ICLOSE,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,,,,,,,,,,,,"Closed Flag: 0 (Open), 1 (Closed) or 'null'"
1084,KS2_19,RELDENOM,Church of England,Does not apply,,,Does not apply,None,,Does not apply,None,Does not apply,Church of England,Roman Catholic,Does not apply,Does not apply,Church of England,None,Does not apply,,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,,Does not apply,,Does not apply,Does not apply,,,Church of England,Church of England,Roman Catholic,Does not apply,,,,,,,,,,,,Religious denomination
1085,KS2_19,AGERANGE,3 to 11,7 to 11,,,3 to 11,3 to 11,,4 to 11,3 to 11,3 to 11,3 to 11,3 to 11,2 to 11,3 to 11,3 to 11,3 to 11,2 to 11,,3 to 11,3 to 11,3 to 11,2 to 11,2 to 11,3 to 11,7 to 19,4 to 11,3 to 11,3 to 11,2 to 11,3 to 11,,3 to 11,,3 to 11,3 to 11,,,9 to 13,3 to 11,4 to 11,3 to 11,,,,,,,,,,,,Age range
1086,KS2_19,CONFEXAM,,,,,,,,,,,,,,,,R,,,,R,R,,,,R,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
1087,KS2_19,TAB15,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,,,,,,,,,,,,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
1088,KS2_19,TAB1618,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,,,,,,,,,,,,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
1089,KS2_19,TOTPUPS,352,363,,,355,234,,289,478,661,691,222,372,388,439,240,516,,588,238,492,620,256,225,157,387,282,426,518,434,,403,,353,334,,,431,514,205,492,,,,,,,,,,4602440,,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
1090,KS2_19,TPUPYEAR,45,90,,,47,29,,39,60,85,88,30,45,47,60,29,62,,74,29,57,79,30,28,16,51,31,54,58,50,,50,,41,31,,,114,60,31,60,,,,,,,,,,643616,,Number of pupils aged 11 
1091,KS2_19,TELIG,44,92,,,46,28,,38,56,88,85,30,45,46,60,28,62,,74,28,57,78,30,28,16,52,31,52,58,50,,50,,42,31,,,114,60,31,60,,,,,,,,,,644967,,Published eligible pupil number
1092,KS2_19,BELIG,21,49,,,25,14,,15,27,47,51,16,20,20,32,14,33,,36,11,31,48,22,14,11,25,21,28,35,24,,29,,23,14,,,58,27,15,26,,,,,,,,,,329113,,Eligible boys on school roll at time of tests
1093,KS2_19,GELIG,23,43,,,21,14,,23,29,41,34,14,25,26,28,14,29,,38,17,26,30,8,14,5,27,10,24,23,26,,21,,19,17,,,56,33,16,34,,,,,,,,,,315849,,Eligible girls on school roll at time of tests
1094,KS2_19,PBELIG,48%,53%,,,54%,50%,,39%,48%,53%,60%,53%,44%,43%,53%,50%,53%,,49%,39%,54%,62%,73%,50%,69%,48%,68%,54%,60%,48%,,58%,,55%,45%,,,51%,45%,48%,43%,,,,,,,,,,51%,,Percentage of eligible boys on school roll at time of tests
1095,KS2_19,PGELIG,52%,47%,,,46%,50%,,61%,52%,47%,40%,47%,56%,57%,47%,50%,47%,,51%,61%,46%,38%,27%,50%,31%,52%,32%,46%,40%,52%,,42%,,45%,55%,,,49%,55%,52%,57%,,,,,,,,,,49%,,Percentage of eligible girls on school roll at time of tests
1096,KS2_19,TKS1AVERAGE,15.7,15.9,,,16.3,15.3,,15.5,16,15.4,14.9,16.2,15.8,14.9,17.2,14.3,16.7,,14.9,15.8,14.5,15.8,16.2,18.7,8.1,16.4,15.1,14.2,14.6,15.6,,16.8,,14,15.7,,,18.1,17.7,14.9,15.1,,,,,,,,,,16.2,,Cohort level key stage 1 average points score
1097,KS2_19,TKS1GROUP_L,3,8,,,2,3,,4,2,8,11,2,6,9,4,1,3,,7,2,11,6,1,1,12,1,5,6,11,6,,5,,7,2,,,1,2,5,8,,,,,,,,,,53959,,Number of pupils in cohort with low KS1 attainment
1098,KS2_19,PTKS1GROUP_L,7%,10%,,,5%,12%,,11%,4%,10%,14%,7%,14%,20%,7%,4%,5%,,10%,8%,20%,8%,4%,4%,75%,2%,16%,12%,19%,12%,,10%,,18%,6%,,,1%,3%,16%,13%,,,,,,,,,,9%,,Percentage of pupils in cohort with low KS1 attainment
1099,KS2_19,TKS1GROUP_M,29,56,,,26,18,,25,37,55,52,18,21,25,27,26,32,,53,19,37,49,20,5,4,34,19,42,35,31,,26,,27,24,,,46,27,20,41,,,,,,,,,,350287,,Number of pupils in cohort with medium KS1 attainment
1100,KS2_19,PTKS1GROUP_M,67%,67%,,,60%,72%,,68%,67%,65%,66%,60%,50%,57%,45%,96%,53%,,76%,73%,66%,63%,74%,18%,25%,68%,61%,84%,60%,62%,,52%,,69%,77%,,,40%,47%,65%,68%,,,,,,,,,,57%,,Percentage of pupils in cohort with medium KS1 attainment
1101,KS2_19,TKS1GROUP_H,11,20,,,15,4,,8,16,21,16,10,15,10,29,0,25,,10,5,8,23,6,22,0,15,7,2,12,13,,19,,5,5,,,67,29,6,11,,,,,,,,,,209272,,Number of pupils in cohort high KS1 attainment
1102,KS2_19,PTKS1GROUP_H,26%,24%,,,35%,16%,,22%,29%,25%,20%,33%,36%,23%,48%,0%,42%,,14%,19%,14%,29%,22%,79%,0%,30%,23%,4%,21%,26%,,38%,,13%,16%,,,59%,50%,19%,18%,,,,,,,,,,34%,,Percentage of pupils in cohort with high KS1 attainment
1103,KS2_19,TKS1GROUP_NA,1,8,,,3,3,,1,1,4,6,0,3,2,0,1,2,,4,2,1,0,3,0,0,2,0,2,0,0,,0,,3,0,,,0,2,0,0,,,,,,,,,,31449,,No. of pupils in KS1 group not calculable
1104,KS2_19,PTKS1GROUP_NA,2%,9%,,,7%,11%,,3%,2%,5%,7%,0%,7%,4%,0%,4%,3%,,5%,7%,2%,0%,10%,0%,0%,4%,0%,4%,0%,0%,,0%,,7%,0%,,,0%,3%,0%,0%,,,,,,,,,,5%,,Percentage of pupils in KS1group not calculable
1105,KS2_19,TFSM6CLA1A,21,39,,,13,14,,27,26,48,39,8,16,32,9,18,24,,21,11,31,17,15,1,9,27,15,17,46,6,,10,,21,19,,,14,5,9,29,,,,,,,,,,197488,,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
1106,KS2_19,PTFSM6CLA1A,48%,42%,,,28%,50%,,71%,46%,55%,46%,27%,36%,70%,15%,64%,39%,,28%,39%,54%,22%,50%,4%,56%,52%,48%,33%,79%,12%,,20%,,50%,61%,,,12%,8%,29%,48%,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils
1107,KS2_19,TNOTFSM6CLA1A,23,53,,,33,14,,11,30,40,46,22,29,14,51,10,38,,53,17,26,61,15,27,7,25,16,35,12,44,,40,,21,12,,,100,55,22,31,,,,,,,,,,447479,,Number of key stage 2 pupils who are not disadvantaged
1108,KS2_19,PTNOTFSM6CLA1A,52%,58%,,,72%,50%,,29%,54%,45%,54%,73%,64%,30%,85%,36%,61%,,72%,61%,46%,78%,50%,96%,44%,48%,52%,67%,21%,88%,,80%,,50%,39%,,,88%,92%,71%,52%,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged
1109,KS2_19,TEALGRP2,8,44,,,4,18,,1,43,17,36,4,4,8,2,15,8,,7,2,6,3,3,4,1,14,11,46,3,0,,0,,6,8,,,2,4,8,4,,,,,,,,,,135559,,Number of eligible pupils with English as additional language (EAL)
1110,KS2_19,PTEALGRP2,18%,48%,,,9%,64%,,3%,77%,19%,42%,13%,9%,17%,3%,54%,13%,,9%,7%,11%,4%,10%,14%,6%,27%,35%,88%,5%,0%,,0%,,14%,26%,,,2%,7%,26%,7%,,,,,,,,,,21%,,Percentage of eligible pupils with English as additional language (EAL)
1111,KS2_19,TMOBN,44,83,,,40,25,,34,52,77,72,30,42,38,59,24,59,,71,25,54,74,29,27,5,46,31,51,55,49,,47,,34,29,,,110,56,29,57,,,,,,,,,,595736,,Number of eligible pupils classified as non-mobile
1112,KS2_19,PTMOBN,100%,90%,,,87%,89%,,89%,93%,88%,85%,100%,93%,83%,98%,86%,95%,,96%,89%,95%,95%,97%,96%,31%,88%,100%,98%,95%,98%,,94%,,81%,94%,,,96%,93%,94%,95%,,,,,,,,,,92%,,Percentage of eligible pupils classified as non-mobile
1113,KS2_19,PTRWM_EXP,59%,57%,,,54%,57%,,29%,59%,43%,46%,70%,44%,61%,78%,25%,76%,,50%,61%,46%,68%,93%,89%,0%,40%,77%,56%,26%,54%,,68%,,48%,48%,,,68%,70%,74%,43%,,,,,,,,,,65%,,"Percentage of pupils reaching the expected standard in reading, writing and maths"
1114,KS2_19,PTRWM_HIGH,5%,3%,,,2%,4%,,3%,5%,0%,1%,7%,7%,4%,18%,0%,10%,,4%,7%,4%,8%,17%,29%,0%,6%,6%,8%,2%,2%,,14%,,10%,3%,,,18%,15%,13%,2%,,,,,,,,,,11%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
1115,KS2_19,READPROG,-1.9,-2.7,,,-3.9,-0.2,,-4.2,-1.5,-3.6,-2.6,2.8,-2.1,-0.6,0.9,-0.8,1.7,,2,1.1,-2.2,0,2.5,1.5,-16.5,-4.6,1.6,1.7,-4.9,-1.4,,-1.5,,1.8,-4,,,-1.6,-1,3.2,-0.6,,,,,,,,,,,,Reading progress measure
1116,KS2_19,READPROG_LOWER,-3.8,-4.1,,,-5.7,-2.6,,-6.2,-3.2,-4.9,-3.9,0.5,-4,-2.4,-0.7,-3.1,0.1,,0.5,-1.4,-3.8,-1.4,0.2,-0.8,-19.8,-6.3,-0.6,0,-6.5,-3.1,,-3.2,,-0.1,-6.2,,,-2.8,-2.6,1,-2.2,,,,,,,,,,,,Reading progress measure - lower confidence limit
1117,KS2_19,READPROG_UPPER,-0.1,-1.4,,,-2.1,2.2,,-2.2,0.1,-2.3,-1.2,5,-0.3,1.3,2.4,1.6,3.3,,3.4,3.5,-0.6,1.4,4.8,3.8,-13.1,-2.9,3.8,3.4,-3.3,0.3,,0.2,,3.7,-1.9,,,-0.5,0.5,5.4,0.9,,,,,,,,,,,,Reading progress measure - upper confidence limit
1118,KS2_19,READCOV,98%,91%,,,93%,89%,,95%,98%,95%,93%,100%,93%,96%,100%,93%,97%,,95%,86%,98%,99%,90%,100%,81%,96%,100%,96%,100%,100%,,100%,,93%,100%,,,99%,97%,100%,100%,,,,,,,,,,,,Reading progress measure - coverage
