No,Namespace,Variable,James Watt Primary School - 134102,Norfolk House School - 103572,Cannon Hill House 14 Russell Road - 103588,Deykin Avenue Junior and Infant School - 103313,Oasis Academy Boulton - 139242,Grove School - 103392,Bordesley Green Primary School - 103172,Arden Primary School - 103324,Anderton Park Primary School - 103192,St Benedict's Primary School - 103261,Holy Family Catholic Primary School - 103421,Birmingham Muslim School - 133521,Ark Victoria Academy - 141752,St Martin de Porres Catholic Primary School - 103467,The Blue Coat School Birmingham - 103580,Starbank School - 147757,Starbank  School - 103258,English Martyrs' Catholic Primary School - 103425,Chad Vale Primary School - 103332,Greet Primary School - 143090,Shireland Hall Primary Academy - 139875,William Murdoch Primary School - 103317,Wilkes Green Infant School (NC) - 103308,Slade Primary School - 138590,St John's CofE Primary School - 139173,Cape Primary School - 103937,Alston Primary School - 140656,George Dixon Primary School - 103200,St Teresa's Catholic Primary School - 103456,Sladefield Infant School - 103255,Woodbourne Hospital School - 142623,Hamilton School - 103600,King David Primary School - 103444,Waverley School - 142219,Ark Boulton Academy - 140014,King Edward VI Handsworth Grammar School for Boys - 143562,Green Oak Academy - 131164,Spring Hill High School - 134982,Harborne Academy - 136213,Myles Academy - 148644,"Eden Boys' School, Birmingham - 141969",Waverley Studio College - 139788,King Edward's School - 103584,Saltley Academy - 141668,King Edward VI High School for Girls - 103585,V.A.S.E Academy - 147702,King Edward VI Handsworth Wood Girls' Academy - 138937,Prince Albert High School - 148553,George Dixon Academy - 138695,Holyhead School - 137034,National state-funded primary,National state-funded secondary and 16 to 18,Description
322,CFR_21,PT1819CAT5,100%,,,100%,,100%,100%,100%,100%,100%,100%,,,100%,,,100%,100%,100%,,,100%,,,,100%,,100%,100%,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure)
323,CFR_21,PT1819CAT1LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
324,CFR_21,PT1819CAT2LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
325,CFR_21,PT1819CAT3LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2018-19 Back Office (proportion of total expenditure) for LA
326,CFR_21,PT1819CAT4LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2018-19 Energy (proportion of total expenditure) for LA
327,CFR_21,PT1819CAT5LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
328,CFR_21,PT1920CAT1,39%,,,42%,,35%,50%,41%,51%,46%,45%,,,46%,,,43%,41%,44%,,,41%,,,,37%,,46%,41%,43%,,27%,44%,,,,,,,,,,,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure)
329,CFR_21,PT1920CAT2,6%,,,3%,,4%,5%,4%,-1%,1%,1%,,,1%,,,12%,5%,8%,,,0%,,,,4%,,4%,9%,2%,,0%,5%,,,,,,,,,,,,,,,,,,,,2019-20 Supply Staff Costs (proportion of total expenditure)
330,CFR_21,PT1920CAT3,13%,,,15%,,14%,10%,14%,22%,13%,15%,,,19%,,,10%,8%,17%,,,21%,,,,8%,,18%,12%,10%,,26%,19%,,,,,,,,,,,,,,,,,,,,2019-20 Back Office (proportion of total expenditure)
331,CFR_21,PT1920CAT4,2%,,,1%,,1%,1%,1%,2%,1%,1%,,,2%,,,2%,1%,1%,,,0%,,,,1%,,1%,1%,1%,,1%,2%,,,,,,,,,,,,,,,,,,,,2019-20 Energy (proportion of total expenditure)
332,CFR_21,PT1920CAT5,100%,,,100%,,100%,100%,100%,100%,100%,100%,,,100%,,,100%,100%,100%,,,100%,,,,100%,,100%,100%,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,2019-20 Total Expenditure (proportion of total expenditure)
333,CFR_21,PT1920CAT1LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
334,CFR_21,PT1920CAT2LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2019-20 Supply Staff Costs (proportion of total expenditure) for LA
335,CFR_21,PT1920CAT3LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2019-20 Back Office (proportion of total expenditure) for LA
336,CFR_21,PT1920CAT4LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2019-20 Energy (proportion of total expenditure) for LA
337,CFR_21,PT1920CAT5LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2019-20 Total Expenditure (proportion of total expenditure) for LA
338,CFR_21,PT2021CAT1,44%,,,45%,,46%,49%,43%,41%,50%,50%,,,48%,,,37%,48%,47%,,,43%,,,,44%,,52%,47%,45%,,28%,52%,,,,,,,,,,,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure)
339,CFR_21,PT2021CAT2,3%,,,4%,,3%,3%,2%,2%,5%,0%,,,2%,,,4%,3%,7%,,,2%,,,,1%,,1%,8%,3%,,0%,2%,,,,,,,,,,,,,,,,,,,,2020-21 Supply Staff Costs (proportion of total expenditure)
340,CFR_21,PT2021CAT3,10%,,,12%,,14%,10%,12%,26%,13%,14%,,,19%,,,38%,7%,16%,,,19%,,,,7%,,18%,13%,9%,,19%,16%,,,,,,,,,,,,,,,,,,,,2020-21 Back Office (proportion of total expenditure)
341,CFR_21,PT2021CAT4,1%,,,1%,,2%,1%,2%,2%,1%,1%,,,1%,,,0%,1%,1%,,,1%,,,,1%,,1%,1%,1%,,1%,2%,,,,,,,,,,,,,,,,,,,,2020-21 Energy (proportion of total expenditure)
342,CFR_21,PT2021CAT5,100%,,,100%,,100%,100%,100%,100%,100%,100%,,,100%,,,100%,100%,100%,,,100%,,,,100%,,100%,100%,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure)
343,CFR_21,PT2021CAT1LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
344,CFR_21,PT2021CAT2LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2020-21 Supply Staff Costs (proportion of total expenditure) for LA
345,CFR_21,PT2021CAT3LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2020-21 Back Office (proportion of total expenditure) for LA
346,CFR_21,PT2021CAT4LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2020-21 Energy (proportion of total expenditure) for LA
347,CFR_21,PT2021CAT5LA,NA,,,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,,NA,,,,NA,,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure) for LA
348,CFR_21,PDCAT1,5%,,,3%,,11%,-1%,2%,-10%,4%,5%,,,2%,,,-6%,7%,3%,,,2%,,,,7%,,6%,6%,2%,,1%,8%,,,,,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
349,CFR_21,PDCAT2,-3%,,,1%,,-1%,-2%,-2%,3%,4%,-1%,,,1%,,,-8%,-2%,-1%,,,2%,,,,-3%,,-3%,-1%,1%,,0%,-3%,,,,,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
350,CFR_21,PDCAT3,-3%,,,-3%,,0%,0%,-2%,4%,0%,-1%,,,0%,,,28%,-1%,-1%,,,-2%,,,,-1%,,0%,1%,-1%,,-7%,-3%,,,,,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
351,CFR_21,PDCAT4,-1%,,,0%,,1%,0%,1%,0%,0%,0%,,,-1%,,,-2%,0%,0%,,,1%,,,,0%,,0%,0%,0%,,0%,0%,,,,,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
352,CFR_21,PDCAT5,0%,,,0%,,0%,0%,0%,0%,0%,0%,,,0%,,,0%,0%,0%,,,0%,,,,0%,,0%,0%,0%,,0%,0%,,,,,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
353,CFR_19,LONDONORNONLONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,ABS_19,LA,330,,,330,330,330,330,330,330,330,330,,330,330,,,330,330,330,330,333,330,330,330,330,333,330,330,330,330,,330,330,330,330,330,,,330,,330,330,,330,,,330,,330,330,,,Local Authority Number
355,ABS_19,ESTAB,2015,,,2284,2117,2466,2030,2300,2062,2183,3317,,4019,3382,,,2179,3321,2312,2086,2161,2293,2276,2037,3306,2113,2144,2079,3365,2174,,7006,3352,4009,4013,5402,,,6910,,4021,4010,,4018,,,4207,,5412,4241,,,DfE number of establishment within LA
356,ABS_19,URN,134102,,,103313,139242,103392,103172,103324,103192,103261,103421,,141752,103467,,,103258,103425,103332,143090,139875,103317,103308,138590,139173,103937,140656,103200,103456,103255,,103600,103444,142219,140014,143562,,,136213,,141969,139788,,141668,,,138937,,138695,137034,,,School unique Reference Number
357,ABS_19,PERCTOT,4.9,,,4,4.2,4.3,5.5,4.9,6.7,6.7,4.9,,4.3,4.3,,,6.6,4.5,3.2,5.1,2.9,4.1,3.8,5.1,4.2,4.1,5.1,5.7,3.9,4.5,,6.6,4.6,6,3.8,3.9,,,5.4,,1.8,7.8,,6.4,,,6,,6.4,5.3,4,5.5,Percentage of overall absence (authorised and unauthorised) for the full 2018/19 academic year.
358,ABS_19,PPERSABS10,12.7,,,5.9,12.6,10.6,13.9,8.6,20.1,22.1,10.1,,8.4,8.3,,,19.7,9.5,5.6,9.2,3.9,11.5,9.3,11.7,5.8,9.1,12.3,18.8,7.4,9.3,,25,8.6,17,7.9,6.9,,,12.1,,1,27.4,,16.8,,,16,,15.8,12.6,8.2,13.7,Percentage of enrolments who are persistent absentees - missing 10% or more of possible sessions across the full 2018/19 academic year.
359,ABS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
360,KS4_PUPDEST_21,RECTYPE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,1,,1,1,,1,,,1,,1,1,,,Record type
361,KS4_PUPDEST_21,LEA,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,330,330,330,,,330,,330,330,,330,,,330,,330,330,,,Local authority number
362,KS4_PUPDEST_21,ESTAB,,,,,,,,,,,,,,,,,2179,,,,,,,,,,,,,,,,,4009,4013,5402,,,6910,,4021,4010,,4018,,,4207,,5412,4241,,,Establishment number
363,KS4_PUPDEST_21,URN,,,,,,,,,,,,,,,,,103258,,,,,,,,,,,,,,,,,142219,140014,143562,,,136213,,141969,139788,,141668,,,138937,,138695,137034,,,School Unique Reference Number
364,KS4_PUPDEST_21,ICLOSE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,0,,,0,,0,0,,,Closed school flag
365,KS4_PUPDEST_21,SCHNAME,,,,,,,,,,,,,,,,,Starbank School,,,,,,,,,,,,,,,,,Waverley School,Ark Boulton Academy,King Edward VI Handsworth Grammar School for Boys,,,Harborne Academy,,"Eden Boys' School, Birmingham",Waverley Studio College,,Saltley Academy,,,King Edward VI Handsworth Wood Girls' Academy,,George Dixon Academy,Holyhead School,,,School name
366,KS4_PUPDEST_21,NFTYPE,,,,,,,,,,,,,,,,,CY,,,,,,,,,,,,,,,,,ACC,AC,ACC,,,AC,,F,SS,,AC,,,ACC,,ACC,ACC,,,School type
367,KS4_PUPDEST_21,COHORT,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,177,175,150,,,116,,49,57,,201,,,139,,150,208,,,Number of pupils completing key stage 4 in 2016/17
368,KS4_PUPDEST_21,OVERALL_DEST,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,156,159,145,,,104,,43,43,,177,,,134,,138,200,,,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
369,KS4_PUPDEST_21,APPREN,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,1,0,,,0,,0,0,,3,,,3,,1,2,,,Apprenticeships (number of pupils)
370,KS4_PUPDEST_21,EMPLOYMENT,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,,,0,,0,2,,8,,,1,,0,0,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
371,KS4_PUPDEST_21,EDUCATION,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,154,158,144,,,104,,43,41,,166,,,130,,137,198,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
372,KS4_PUPDEST_21,FE,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,56,54,7,,,74,,9,24,,79,,,33,,76,91,,,Further education (number of pupils)
373,KS4_PUPDEST_21,SCH_6TH,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,58,10,126,,,12,,32,11,,32,,,92,,54,101,,,School sixth form (number of pupils)
374,KS4_PUPDEST_21,SIXTH_COL,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,38,93,11,,,18,,2,6,,53,,,5,,7,4,,,Sixth form college (number of pupils)
375,KS4_PUPDEST_21,OTHER_EDU,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,1,0,,,0,,0,0,,2,,,0,,0,2,,,Other education destination (number of pupils)
376,KS4_PUPDEST_21,NOT_SUSTAINED,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,17,11,2,,,8,,5,10,,22,,,3,,9,5,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
377,KS4_PUPDEST_21,UNKNOWN,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,5,3,,,4,,1,4,,2,,,2,,3,3,,,Activity not captured (number of pupils)
378,KS4_PUPDEST_21,OVERALL_DESTPER,,,,,,,,,,,,,,,,,87%,,,,,,,,,,,,,,,,,88%,91%,97%,,,90%,,88%,75%,,88%,,,96%,,92%,96%,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
379,KS4_PUPDEST_21,APPRENPER,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,1%,1%,0%,,,0%,,0%,0%,,1%,,,2%,,1%,1%,,,Apprenticeships (percentage)
380,KS4_PUPDEST_21,EMPLOYMENTPER,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,1%,0%,1%,,,0%,,0%,4%,,4%,,,1%,,0%,0%,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
381,KS4_PUPDEST_21,EDUCATIONPER,,,,,,,,,,,,,,,,,87%,,,,,,,,,,,,,,,,,87%,90%,96%,,,90%,,88%,72%,,83%,,,94%,,91%,95%,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
382,KS4_PUPDEST_21,FEPER,,,,,,,,,,,,,,,,,39%,,,,,,,,,,,,,,,,,32%,31%,5%,,,64%,,18%,42%,,39%,,,24%,,51%,44%,,,Further education (percentage)
383,KS4_PUPDEST_21,SCH_6THPER,,,,,,,,,,,,,,,,,13%,,,,,,,,,,,,,,,,,33%,6%,84%,,,10%,,65%,19%,,16%,,,66%,,36%,49%,,,School sixth form (percentage)
384,KS4_PUPDEST_21,SIXTH_COLPER,,,,,,,,,,,,,,,,,34%,,,,,,,,,,,,,,,,,21%,53%,7%,,,16%,,4%,11%,,26%,,,4%,,5%,2%,,,Sixth form college (percentage)
385,KS4_PUPDEST_21,OTHER_EDUPER,,,,,,,,,,,,,,,,,2%,,,,,,,,,,,,,,,,,1%,1%,0%,,,0%,,0%,0%,,1%,,,0%,,0%,1%,,,Other education destination (percentage)
386,KS4_PUPDEST_21,NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,8%,,,,,,,,,,,,,,,,,10%,6%,1%,,,7%,,10%,18%,,11%,,,2%,,6%,2%,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
387,KS4_PUPDEST_21,UNKNOWNPER,,,,,,,,,,,,,,,,,4%,,,,,,,,,,,,,,,,,2%,3%,2%,,,3%,,2%,7%,,1%,,,1%,,2%,1%,,,Activity not captured (percentage)
388,KS4_PUPDEST_21,COHORT_DIS,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,93,102,38,,,65,,21,30,,108,,,76,,87,126,,,Number of disadvantaged pupils completing key stage 4 in 2016/17
389,KS4_PUPDEST_21,OVERALL_DEST_DIS,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,80,94,38,,,56,,19,23,,93,,,74,,78,120,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
390,KS4_PUPDEST_21,APPREN_DIS,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,SUPP,SUPP,0,,,0,,0,0,,SUPP,,,SUPP,,SUPP,SUPP,,,Apprenticeships (number of pupils)
391,KS4_PUPDEST_21,EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,SUPP,0,SUPP,,,0,,0,SUPP,,SUPP,,,SUPP,,0,0,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
392,KS4_PUPDEST_21,EDUCATION_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,79,SUPP,SUPP,,,56,,19,SUPP,,85,,,73,,SUPP,SUPP,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
393,KS4_PUPDEST_21,FE_DIS,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,31,36,SUPP,,,42,,4,14,,42,,,23,,46,63,,,Further education (number of pupils)
394,KS4_PUPDEST_21,SCH_6TH_DIS,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,29,4,35,,,5,,15,7,,SUPP,,,48,,28,50,,,School sixth form (number of pupils)
395,KS4_PUPDEST_21,SIXTH_COL_DIS,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,SUPP,53,3,,,9,,0,SUPP,,24,,,2,,SUPP,SUPP,,,Sixth form college (number of pupils)
396,KS4_PUPDEST_21,OTHER_EDU_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,SUPP,SUPP,0,,,0,,0,0,,SUPP,,,0,,0,SUPP,,,Other education destination (number of pupils)
397,KS4_PUPDEST_21,NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,12,7,0,,,SUPP,,SUPP,5,,SUPP,,,SUPP,,SUPP,SUPP,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
398,KS4_PUPDEST_21,UNKNOWN_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,1,1,0,,,SUPP,,SUPP,2,,SUPP,,,SUPP,,SUPP,SUPP,,,Activity not captured (number of pupils)
399,KS4_PUPDEST_21,OVERALL_DESTPER_DIS,,,,,,,,,,,,,,,,,81%,,,,,,,,,,,,,,,,,86%,92%,100%,,,86%,,90%,77%,,86%,,,97%,,90%,95%,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
400,KS4_PUPDEST_21,APPRENPER_DIS,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,SUPP,SUPP,0%,,,0%,,0%,0%,,SUPP,,,SUPP,,SUPP,SUPP,,,Apprenticeships (percentage)
401,KS4_PUPDEST_21,EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,SUPP,0%,SUPP,,,0%,,0%,SUPP,,SUPP,,,SUPP,,0%,0%,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
402,KS4_PUPDEST_21,EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,85%,SUPP,SUPP,,,86%,,90%,SUPP,,79%,,,96%,,SUPP,SUPP,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
403,KS4_PUPDEST_21,FEPER_DIS,,,,,,,,,,,,,,,,,44%,,,,,,,,,,,,,,,,,33%,35%,SUPP,,,65%,,19%,47%,,39%,,,30%,,53%,50%,,,Further education (percentage)
404,KS4_PUPDEST_21,SCH_6THPER_DIS,,,,,,,,,,,,,,,,,11%,,,,,,,,,,,,,,,,,31%,4%,92%,,,8%,,71%,23%,,SUPP,,,63%,,32%,40%,,,School sixth form (percentage)
405,KS4_PUPDEST_21,SIXTH_COLPER_DIS,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,,,,,SUPP,52%,8%,,,14%,,0%,SUPP,,22%,,,3%,,SUPP,SUPP,,,Sixth form college (percentage)
406,KS4_PUPDEST_21,OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,SUPP,SUPP,0%,,,0%,,0%,0%,,SUPP,,,0%,,0%,SUPP,,,Other education destination (percentage)
407,KS4_PUPDEST_21,NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,13%,7%,0%,,,SUPP,,SUPP,17%,,SUPP,,,SUPP,,SUPP,SUPP,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
408,KS4_PUPDEST_21,UNKNOWNPER_DIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,1%,1%,0%,,,SUPP,,SUPP,7%,,SUPP,,,SUPP,,SUPP,SUPP,,,Activity not captured (percentage)
409,KS4_PUPDEST_21,COHORT_NONDIS,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,84,73,112,,,51,,28,27,,93,,,63,,63,82,,,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17
410,KS4_PUPDEST_21,OVERALL_DEST_NONDIS,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,76,65,107,,,48,,24,20,,84,,,60,,60,80,,,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
411,KS4_PUPDEST_21,APPREN_NONDIS,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,SUPP,SUPP,0,,,0,,0,0,,SUPP,,,SUPP,,SUPP,SUPP,,,Apprenticeships (number of pupils)
412,KS4_PUPDEST_21,EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,SUPP,0,SUPP,,,0,,0,SUPP,,SUPP,,,SUPP,,0,0,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
413,KS4_PUPDEST_21,EDUCATION_NONDIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,75,SUPP,SUPP,,,48,,24,SUPP,,81,,,57,,SUPP,SUPP,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
414,KS4_PUPDEST_21,FE_NONDIS,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,25,18,SUPP,,,32,,5,10,,37,,,10,,30,28,,,Further education (number of pupils)
415,KS4_PUPDEST_21,SCH_6TH_NONDIS,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,29,6,91,,,7,,17,4,,SUPP,,,44,,26,51,,,School sixth form (number of pupils)
416,KS4_PUPDEST_21,SIXTH_COL_NONDIS,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,SUPP,40,8,,,9,,2,SUPP,,29,,,3,,SUPP,SUPP,,,Sixth form college (number of pupils)
417,KS4_PUPDEST_21,OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,SUPP,SUPP,0,,,0,,0,0,,SUPP,,,0,,0,SUPP,,,Other education destination (number of pupils)
418,KS4_PUPDEST_21,NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,5,4,2,,,SUPP,,SUPP,5,,SUPP,,,SUPP,,SUPP,SUPP,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
419,KS4_PUPDEST_21,UNKNOWN_NONDIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,3,4,3,,,SUPP,,SUPP,2,,SUPP,,,SUPP,,SUPP,SUPP,,,Activity not captured (number of pupils)
420,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS,,,,,,,,,,,,,,,,,95%,,,,,,,,,,,,,,,,,90%,89%,96%,,,94%,,86%,74%,,90%,,,95%,,95%,98%,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
421,KS4_PUPDEST_21,APPRENPER_NONDIS,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,SUPP,SUPP,0%,,,0%,,0%,0%,,SUPP,,,SUPP,,SUPP,SUPP,,,Apprenticeships (percentage)
422,KS4_PUPDEST_21,EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,SUPP,0%,SUPP,,,0%,,0%,SUPP,,SUPP,,,SUPP,,0%,0%,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
423,KS4_PUPDEST_21,EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,,89%,SUPP,SUPP,,,94%,,86%,SUPP,,87%,,,90%,,SUPP,SUPP,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
424,KS4_PUPDEST_21,FEPER_NONDIS,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,30%,25%,SUPP,,,63%,,18%,37%,,40%,,,16%,,48%,34%,,,Further education (percentage)
425,KS4_PUPDEST_21,SCH_6THPER_NONDIS,,,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,35%,8%,81%,,,14%,,61%,15%,,SUPP,,,70%,,41%,62%,,,School sixth form (percentage)
