No,Namespace,Variable,"St George's Church of England Academy, Newtown - 139126",Arc Oakbridge School - 145859,St Chad's Catholic Primary School - 103435,St Chad's Catholic Primary School - 148440,King Solomon International Business School - 149155,St Vincent's Catholic Primary School - 103417,St Matthew's CofE Primary School - 103404,St Catherine of Siena Catholic Primary School - 103433,Chilwell Croft Academy - 138395,St Thomas CofE Academy - 142375,King Solomon International Business School - 141943,Nelson Junior and Infant School - 103237,St Anne's Catholic Primary School - 103434,Chandos Primary School - 143908,Harper Bell Seventh-day Adventist School - 136440,Bordesley Village Primary School - 144337,James Brindley School - 139526,Brookfields Primary School - 146437,Brookfields Primary School - 103175,Cromwell Junior and Infant School - 143563,Calthorpe Academy - 141252,Oasis Academy Woodview - 139128,Lozells Junior and Infant School and Nursery - 103227,Mayfield School - 148225,Aston Tower Community Primary School - 142686,Regents Park Community Primary School - 103193,St Joseph's Catholic Primary School - 103436,St Joseph's Catholic Primary School - 148441,Birmingham Ormiston Academy - 136944,Blackwater Academy - 143039,Aston University Engineering Academy - 138222,Central Academy - 138200,South and City College Birmingham - 130461,City United Academy (CUA) - 137819,Heartlands Academy - 135907,Avecinna Academy - 140382,Archway Academy - 135406,Aston Manor Academy - 136882,City Academy - 148187,City Academy Birmingham - 139797,Jewellery Quarter Academy - 141003,Nishkam High School - 138586,Values Academy - 132743,Newbury Independent School - 143174,Ark St Alban's Academy - 135970,Camp Hill Education - 146999,Central Birmingham Education Centre - 144820,Birmingham Metropolitan College - 130466,The National College for Advanced Transport and Infrastructure - 148721,The National College for Advanced Transport and Infrastructure - 144789,National state-funded primary,National state-funded secondary and 16 to 18,Description
769,KS5_STUDEST_19,ALL_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,9%,,1%,,6%,,,5%,,,,6%,,,10%,,,2%,,,,14%,Russell
770,KS5_STUDEST_19,ALL_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,0%,,0%,,0%,,,0%,,,,0%,,,0%,,,SP,,,,1%,Oxbridge
771,KS5_STUDEST_19,ALL_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,6%,,9%,,2%,,,0%,,,,0%,,,3%,,,6%,,,,3%,Higher technical
772,KS5_STUDEST_19,ACADAGEN_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,32,,151,,46,,,48,,,,16,,,40,,,1467,,,,318795,Cohort size for academic/applied general cohort
773,KS5_STUDEST_19,ACADAGEN_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64%,,53%,,63%,,78%,,,63%,,,,81%,,,93%,,,59%,,,,68%,Progressed for academic/applied general cohort
774,KS5_STUDEST_19,ACADAGEN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-17,,16,,11,,,9,,,,8,,,29,,,1,,,,0,Progression score for academic/applied general cohort
775,KS5_STUDEST_19,ACADAGEN_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,2,,3,,,3,,,,3,,,1,,,3,,,,NA,Band for academic/applied general cohort
776,KS5_STUDEST_19,TLEV_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,64,,186,,3,,,4,,,,0,,,0,,,348,,,,56188,Cohort size for TLEV cohort
777,KS5_STUDEST_19,TLEV_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69%,,83%,,40%,,SUPP,,,SUPP,,,,NA,,,NA,,,46%,,,,39%,Progressed for TLEV cohort
778,KS5_STUDEST_19,TLEV_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,37,,5,,SUPP,,,SUPP,,,,NA,,,NA,,,6,,,,0,Score for TLEV cohort
779,KS5_STUDEST_19,TLEV_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,3,,SUPP,,,SUPP,,,,NA,,,NA,,,3,,,,NA,Band for TLEV cohort
780,KS5_STUDEST_19,OTHER_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,80,,0,,,7,,,,0,,,0,,,185,,,,11442,Cohort size for other level 3 qualifications cohort
781,KS5_STUDEST_19,OTHER_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,NA,,40%,,NA,,,71%,,,,NA,,,NA,,,37%,,,,24%,Progressed for other level 3 qualifications cohort
782,KS5_STUDEST_19,OTHER_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,NA,,18,,NA,,,52,,,,NA,,,NA,,,13,,,,0,Score for other level 3 qualifications cohort
783,KS5_STUDEST_19,OTHER_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,NA,,2,,NA,,,1,,,,NA,,,NA,,,2,,,,NA,Band for other level 3 qualifications cohort
784,KS5_STUDEST_19,DIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,,85%,,49%,,83%,,,58%,,,,SUPP,,,89%,,,57%,,,,,Progressed for disadvantaged students
785,KS5_STUDEST_19,DIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,SUPP,,SUPP,,0%,,,0%,,,,0%,,,0%,,,SUPP,,,,,Apprenticeships for disadvantaged students
786,KS5_STUDEST_19,DIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,65%,,42%,,SUPP,,,58%,,,,SUPP,,,SUPP,,,52%,,,,,HE for disadvantaged students
787,KS5_STUDEST_19,DIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,19%,,SUPP,,SUPP,,,SUPP,,,,SUPP,,,SUPP,,,3%,,,,,Top third for disadvantaged students
788,KS5_STUDEST_19,DIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,15%,,SUPP,,SUPP,,,SUPP,,,,SUPP,,,SUPP,,,2%,,,,,Russell for disadvantaged students
789,KS5_STUDEST_19,DIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,0%,,0%,,0%,,,0%,,,,0%,,,0%,,,SUPP,,,,,Oxbridge for disadvantaged students
790,KS5_STUDEST_19,DIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,SUPP,,SUPP,,SUPP,,,0%,,,,0%,,,SUPP,,,SUPP,,,,,Higher technical for disadvantaged students
791,KS5_STUDEST_21,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,1,,,1,,,1,,,,,Record type
792,KS5_STUDEST_21,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,330,,330,,,,,330,,,,330,,,330,,,330,,,,,Local authority number
793,KS5_STUDEST_21,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,4003,,8006,,,,,4220,,,,4004,,,6908,,,8030,,,,,Establishment number
794,KS5_STUDEST_21,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136944,,138222,,130461,,,,,136882,,,,138586,,,135970,,,130466,,,,,Unique Reference Number of establishment
795,KS5_STUDEST_21,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham Ormiston Academy,,Aston University Engineering Academy,,South and City College Birmingham,,,,,Aston Manor Academy,,,,Nishkam High School,,,Ark St Alban's Academy,,,Birmingham Metropolitan College,,,,,School/college name
796,KS5_STUDEST_21,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academy - Sponsor Led Mainstream,,Free School - UTC ,,Further Education Sector Institution,,,,,Academy - Converter Mainstream,,,,Free School - Mainstream,,,Academy - Sponsor Led Mainstream,,,Further Education Sector Institution,,,,,School type/FE college type
797,KS5_STUDEST_21,FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,0,,,,0,,,0,,,0,,,,,Feeder flag
798,KS5_STUDEST_21,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,0,,,,0,,,0,,,0,,,,,Closed school/college flag
799,KS5_STUDEST_21,TOT_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,167,,2222,,,,,89,,,,51,,,66,,,3283,,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  
800,KS5_STUDEST_21,TOT_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,139,,1350,,,,,76,,,,46,,,55,,,2542,,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
801,KS5_STUDEST_21,TOT_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,13,,104,,,,,2,,,,2,,,0,,,374,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) 
802,KS5_STUDEST_21,TOT_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,100,,791,,,,,62,,,,42,,,52,,,1413,,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
803,KS5_STUDEST_21,TOT_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,6,,497,,,,,3,,,,0,,,0,,,761,,,,,Further education (level 3 and below) (All levels of study)  (number of students) 
804,KS5_STUDEST_21,TOT_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,84,,281,,,,,51,,,,40,,,49,,,629,,,,,Higher education (level 4 and above) (All levels of study)  (number of students) 
805,KS5_STUDEST_21,TOT_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,10,,13,,,,,8,,,,2,,,3,,,23,,,,,Other education destinations (All levels of study)  (number of students) 
806,KS5_STUDEST_21,TOT_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,26,,455,,,,,12,,,,2,,,3,,,755,,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
807,KS5_STUDEST_21,TOT_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,21,,646,,,,,9,,,,4,,,8,,,544,,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
808,KS5_STUDEST_21,TOT_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,7,,226,,,,,4,,,,1,,,3,,,197,,,,,Activity not captured in data (All levels of study)  (number of students) 
809,KS5_STUDEST_21,TOT_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82%,,83%,,61%,,,,,85%,,,,90%,,,83%,,,77%,,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
810,KS5_STUDEST_21,TOT_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,8%,,5%,,,,,2%,,,,4%,,,0%,,,11%,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) 
811,KS5_STUDEST_21,TOT_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47%,,60%,,36%,,,,,70%,,,,82%,,,79%,,,43%,,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) 
812,KS5_STUDEST_21,TOT_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,4%,,22%,,,,,3%,,,,0%,,,0%,,,23%,,,,,Further education (level 3 and below) (All levels of study) (percentage) 
813,KS5_STUDEST_21,TOT_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,50%,,13%,,,,,57%,,,,78%,,,74%,,,19%,,,,,Higher education (level 4 and above) (All levels of study) (percentage) 
814,KS5_STUDEST_21,TOT_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,6%,,1%,,,,,9%,,,,4%,,,5%,,,1%,,,,,Other education destinations (All levels of study) (percentage) 
815,KS5_STUDEST_21,TOT_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,16%,,20%,,,,,13%,,,,4%,,,5%,,,23%,,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
816,KS5_STUDEST_21,TOT_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,,13%,,29%,,,,,10%,,,,8%,,,12%,,,17%,,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
817,KS5_STUDEST_21,TOT_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,4%,,10%,,,,,4%,,,,2%,,,5%,,,6%,,,,,Activity not captured in data (All levels of study) (percentage) 
818,KS5_STUDEST_21,TOT_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,65,,953,,,,,60,,,,12,,,36,,,1189,,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (disadvantaged)
819,KS5_STUDEST_21,TOT_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,50,,533,,,,,51,,,,9,,,30,,,864,,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
820,KS5_STUDEST_21,TOT_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,31,,,,,SUPP,,,,SUPP,,,0,,,95,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
821,KS5_STUDEST_21,TOT_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,39,,313,,,,,40,,,,8,,,29,,,514,,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
822,KS5_STUDEST_21,TOT_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,186,,,,,1,,,,0,,,0,,,283,,,,,Further education (level 3 and below) (All levels of study)  (number of students) (disadvantaged)
823,KS5_STUDEST_21,TOT_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,32,,121,,,,,33,,,,8,,,SUPP,,,223,,,,,Higher education (level 4 and above) (All levels of study)  (number of students) (disadvantaged)
824,KS5_STUDEST_21,TOT_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,6,,,,,6,,,,0,,,SUPP,,,8,,,,,Other education destinations (All levels of study)  (number of students) (disadvantaged)
825,KS5_STUDEST_21,TOT_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,10,,189,,,,,SUPP,,,,SUPP,,,1,,,255,,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
826,KS5_STUDEST_21,TOT_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,,334,,,,,7,,,,SUPP,,,SUPP,,,251,,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
827,KS5_STUDEST_21,TOT_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,86,,,,,2,,,,SUPP,,,SUPP,,,74,,,,,Activity not captured in data (All levels of study)  (number of students) (disadvantaged)
828,KS5_STUDEST_21,TOT_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72%,,77%,,56%,,,,,85%,,,,75%,,,83%,,,73%,,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
829,KS5_STUDEST_21,TOT_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,2%,,3%,,,,,SUPP,,,,SUPP,,,0%,,,8%,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
830,KS5_STUDEST_21,TOT_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,,60%,,33%,,,,,67%,,,,67%,,,81%,,,43%,,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
831,KS5_STUDEST_21,TOT_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,6%,,20%,,,,,2%,,,,0%,,,0%,,,24%,,,,,Further education (level 3 and below) (All levels of study) (percentage) (disadvantaged)
832,KS5_STUDEST_21,TOT_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,,49%,,13%,,,,,55%,,,,67%,,,SUPP,,,19%,,,,,Higher education (level 4 and above) (All levels of study) (percentage) (disadvantaged)
833,KS5_STUDEST_21,TOT_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,5%,,1%,,,,,10%,,,,0%,,,SUPP,,,1%,,,,,Other education destinations (All levels of study) (percentage) (disadvantaged)
834,KS5_STUDEST_21,TOT_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,15%,,20%,,,,,SUPP,,,,SUPP,,,3%,,,21%,,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
835,KS5_STUDEST_21,TOT_NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26%,,18%,,35%,,,,,12%,,,,SUPP,,,SUPP,,,21%,,,,,
836,KS5_STUDEST_21,TOT_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,5%,,9%,,,,,3%,,,,SUPP,,,SUPP,,,6%,,,,,Activity not captured in data (All levels of study) (percentage) (disadvantaged)
837,KS5_STUDEST_21,TOT_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,,102,,1269,,,,,29,,,,39,,,30,,,2094,,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (not identified as disadvantaged)
838,KS5_STUDEST_21,TOT_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,89,,817,,,,,25,,,,37,,,25,,,1678,,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
839,KS5_STUDEST_21,TOT_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,,73,,,,,SUPP,,,,SUPP,,,0,,,279,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
840,KS5_STUDEST_21,TOT_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,61,,478,,,,,22,,,,34,,,23,,,899,,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
841,KS5_STUDEST_21,TOT_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,2,,311,,,,,2,,,,0,,,0,,,478,,,,,Further education (level 3 and below) (All levels of study)  (number of students) (not identified as disadvantaged)
842,KS5_STUDEST_21,TOT_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,52,,160,,,,,18,,,,32,,,SUPP,,,406,,,,,Higher education (level 4 and above) (All levels of study)  (number of students) (not identified as disadvantaged)
843,KS5_STUDEST_21,TOT_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,7,,7,,,,,2,,,,2,,,SUPP,,,15,,,,,Other education destinations (All levels of study)  (number of students) (not identified as disadvantaged)
844,KS5_STUDEST_21,TOT_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,16,,266,,,,,SUPP,,,,SUPP,,,2,,,500,,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
845,KS5_STUDEST_21,TOT_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,9,,312,,,,,2,,,,SUPP,,,SUPP,,,293,,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
846,KS5_STUDEST_21,TOT_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,4,,140,,,,,2,,,,SUPP,,,SUPP,,,123,,,,,Activity not captured in data (All levels of study)  (number of students) (not identified as disadvantaged)
847,KS5_STUDEST_21,TOT_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84%,,87%,,64%,,,,,86%,,,,95%,,,83%,,,80%,,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
848,KS5_STUDEST_21,TOT_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,12%,,6%,,,,,SUPP,,,,SUPP,,,0%,,,13%,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
849,KS5_STUDEST_21,TOT_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48%,,60%,,38%,,,,,76%,,,,87%,,,77%,,,43%,,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
850,KS5_STUDEST_21,TOT_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,2%,,25%,,,,,7%,,,,0%,,,0%,,,23%,,,,,Further education (level 3 and below) (All levels of study) (percentage) (not identified as disadvantaged)
851,KS5_STUDEST_21,TOT_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41%,,51%,,13%,,,,,62%,,,,82%,,,SUPP,,,19%,,,,,Higher education (level 4 and above) (All levels of study) (percentage) (not identified as disadvantaged)
852,KS5_STUDEST_21,TOT_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,7%,,1%,,,,,7%,,,,5%,,,SUPP,,,1%,,,,,Other education destinations (All levels of study) (percentage) (not identified as disadvantaged)
853,KS5_STUDEST_21,TOT_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,16%,,21%,,,,,SUPP,,,,SUPP,,,7%,,,24%,,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
854,KS5_STUDEST_21,TOT_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,9%,,25%,,,,,7%,,,,SUPP,,,SUPP,,,14%,,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
855,KS5_STUDEST_21,TOT_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,4%,,11%,,,,,7%,,,,SUPP,,,SUPP,,,6%,,,,,Activity not captured in data (All levels of study) (percentage) (not identified as disadvantaged)
856,KS5_STUDEST_21,L3_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,,149,,674,,,,,76,,,,51,,,64,,,1804,,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  
857,KS5_STUDEST_21,L3_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,131,,503,,,,,67,,,,46,,,55,,,1568,,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
858,KS5_STUDEST_21,L3_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,11,,23,,,,,2,,,,2,,,0,,,146,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) 
859,KS5_STUDEST_21,L3_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,97,,329,,,,,55,,,,42,,,52,,,1014,,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) 
860,KS5_STUDEST_21,L3_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,4,,47,,,,,1,,,,0,,,0,,,377,,,,,Further education (level 3 and below) (Level 3)  (number of students) 
861,KS5_STUDEST_21,L3_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,84,,278,,,,,51,,,,40,,,49,,,624,,,,,Higher education (level 4 and above) (Level 3)  (number of students) 
862,KS5_STUDEST_21,L3_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,9,,4,,,,,3,,,,2,,,3,,,13,,,,,Other education destinations (Level 3)  (number of students) 
863,KS5_STUDEST_21,L3_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,23,,151,,,,,10,,,,2,,,3,,,408,,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
864,KS5_STUDEST_21,L3_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,13,,134,,,,,7,,,,4,,,6,,,180,,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
865,KS5_STUDEST_21,L3_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,5,,37,,,,,2,,,,1,,,3,,,56,,,,,Activity not captured in data (Level 3)  (number of students) 
866,KS5_STUDEST_21,L3_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82%,,88%,,75%,,,,,88%,,,,90%,,,86%,,,87%,,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
867,KS5_STUDEST_21,L3_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,7%,,3%,,,,,3%,,,,4%,,,0%,,,8%,,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) 
868,KS5_STUDEST_21,L3_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48%,,65%,,49%,,,,,72%,,,,82%,,,81%,,,56%,,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) 
869,KS5_STUDEST_21,L3_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,3%,,7%,,,,,1%,,,,0%,,,0%,,,21%,,,,,Further education (level 3 and below) (Level 3) (percentage) 
870,KS5_STUDEST_21,L3_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,,56%,,41%,,,,,67%,,,,78%,,,77%,,,35%,,,,,Higher education (level 4 and above) (Level 3) (percentage) 
871,KS5_STUDEST_21,L3_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,6%,,1%,,,,,4%,,,,4%,,,5%,,,1%,,,,,Other education destinations (Level 3) (percentage) 
872,KS5_STUDEST_21,L3_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,15%,,22%,,,,,13%,,,,4%,,,5%,,,23%,,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
873,KS5_STUDEST_21,L3_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,,9%,,20%,,,,,9%,,,,8%,,,9%,,,10%,,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
874,KS5_STUDEST_21,L3_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,3%,,5%,,,,,3%,,,,2%,,,5%,,,3%,,,,,Activity not captured in data (Level 3) (percentage) 
875,KS5_STUDEST_21,L3_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,55,,299,,,,,50,,,,12,,,SUPP,,,606,,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  (disadvantaged)
