No,Namespace,Variable,Grendon Primary School - 103205,The Orchard School - 132232,Topcliffe Primary School - 143091,Highters Heath Community School - 103365,Four Dwellings Primary Academy - 139131,Nonsuch Primary School - 142358,Rosslyn School and Day Nursery - 103573,St Thomas More Catholic Primary School - 103441,St Thomas More Catholic Primary School - 147017,Reynalds Cross School - 104131,Our Lady of Compassion Catholic Primary School - 104102,Our Lady of Compassion Catholic Primary School - 148089,Al Khair Primary School - 141001,Lindsworth School - 103632,Stanville Primary School - 103257,Green Meadow Primary School - 141610,Chilcote Primary School - 103298,Quinton Church Primary School - 143439,Perryfields Primary School - 103953,St Nicholas Catholic Primary School - 140529,New Oscott Primary School - 134774,Langley Primary School - 103978,Kingsland Primary School (NC) - 103221,Hargate Primary School - 103905,Sundridge Primary School - 103266,Leycroft Academy - 148653,St Andrew's Catholic Primary School - 104099,St Andrew's Catholic Primary School - 148086,St Francis Xavier Catholic Primary School - 141922,The Bridge School - 144043,Woodcock Hill Primary School - 103372,Lodge Primary School - 103969,Broadmeadow Junior School - 103286,Broadmeadow Infant School - 103288,Langley Primary School - 104080,Elms Farm Community Primary School - 103381,Timberley Academy - 138104,Our Lady's Catholic Primary School - 103449,"Christ Church, Church of England Secondary Academy - 148589",West Bromwich Collegiate Academy - 147182,King's Norton Boys' School - 103562,Four Dwellings Academy - 139047,Shenley Academy - 135911,Perryfields High School Specialist Maths and Computing College - 104012,Perryfields Academy - 148267,Langley School - 137007,Silver Birch School 11-17 Independent Provision - 138971,The British Muslim School - 135792,Shireland Biomedical Utc - 141813,Tile Cross Academy - 144306,National state-funded primary,National state-funded secondary and 16 to 18,Description
714,KS5_STUDEST_19,LALLOTH_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,NA,,,,,NA,,,15%,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other) (percentage) "
715,KS5_STUDEST_19,LALLOTH_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,NA,,,,,NA,,,17%,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) "
716,KS5_STUDEST_19,LALLOTH_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,NA,,,,,NA,,,15%,"Further education (level 3 and below) (L1, entry level and other) (percentage) "
717,KS5_STUDEST_19,LALLOTH_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,NA,,,,,NA,,,0%,"Higher education (level 4 and above) (L1, entry level and other) (percentage) "
718,KS5_STUDEST_19,LALLOTH_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,NA,,,,,NA,,,1%,"Other education destinations (L1, entry level and other) (percentage) "
719,KS5_STUDEST_19,LALLOTH_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,NA,,,,,NA,,,25%,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) "
720,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,NA,,,,,NA,,,29%,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) "
721,KS5_STUDEST_19,LALLOTH_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,NA,,,,,NA,,,14%,"Activity not captured in data (L1, entry level and other) (percentage) "
722,KS5_STUDEST_19,LALLOTH_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,29766,"Number of students who reached the end of 16 to 18 study in 2016/17 (L1, entry level and other)  (disadvantaged)"
723,KS5_STUDEST_19,LALLOTH_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,14106,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
724,KS5_STUDEST_19,LALLOTH_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,3130,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
725,KS5_STUDEST_19,LALLOTH_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,4302,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
726,KS5_STUDEST_19,LALLOTH_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,3985,"Further education (level 3 and below) (L1, entry level and other)  (number of students) (disadvantaged)"
727,KS5_STUDEST_19,LALLOTH_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,0,"Higher education (level 4 and above) (L1, entry level and other)  (number of students) (disadvantaged)"
728,KS5_STUDEST_19,LALLOTH_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,317,"Other education destinations (L1, entry level and other)  (number of students) (disadvantaged)"
729,KS5_STUDEST_19,LALLOTH_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,6674,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
730,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,11427,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
731,KS5_STUDEST_19,LALLOTH_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,4233,"Activity not captured in data (L1, entry level and other)  (number of students) (disadvantaged)"
732,KS5_STUDEST_19,LALLOTH_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,47%,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
733,KS5_STUDEST_19,LALLOTH_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,11%,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
734,KS5_STUDEST_19,LALLOTH_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,14%,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
735,KS5_STUDEST_19,LALLOTH_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,13%,"Further education (level 3 and below) (L1, entry level and other) (percentage) (disadvantaged)"
736,KS5_STUDEST_19,LALLOTH_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,0%,"Higher education (level 4 and above) (L1, entry level and other) (percentage) (disadvantaged)"
737,KS5_STUDEST_19,LALLOTH_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,1%,"Other education destinations (L1, entry level and other) (percentage) (disadvantaged)"
738,KS5_STUDEST_19,LALLOTH_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,22%,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
739,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,38%,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
740,KS5_STUDEST_19,LALLOTH_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,14%,"Activity not captured in data (L1, entry level and other) (percentage) (disadvantaged)"
741,KS5_STUDEST_19,LALLOTH_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,45864,"Number of students who reached the end of 16 to 18 study in 2016/17 (L1, entry level and other)  (not identified as disadvantaged)"
742,KS5_STUDEST_19,LALLOTH_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,28591,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
743,KS5_STUDEST_19,LALLOTH_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,7839,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
744,KS5_STUDEST_19,LALLOTH_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,8337,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
745,KS5_STUDEST_19,LALLOTH_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,7673,"Further education (level 3 and below) (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
746,KS5_STUDEST_19,LALLOTH_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,0,"Higher education (level 4 and above) (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
747,KS5_STUDEST_19,LALLOTH_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,664,"Other education destinations (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
748,KS5_STUDEST_19,LALLOTH_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,12415,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
749,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,10590,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
750,KS5_STUDEST_19,LALLOTH_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,6683,"Activity not captured in data (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
751,KS5_STUDEST_19,LALLOTH_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,62%,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
752,KS5_STUDEST_19,LALLOTH_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,17%,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
753,KS5_STUDEST_19,LALLOTH_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,18%,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
754,KS5_STUDEST_19,LALLOTH_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,17%,"Further education (level 3 and below) (L1, entry level and other) (percentage) (not identified as disadvantaged)"
755,KS5_STUDEST_19,LALLOTH_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,0%,"Higher education (level 4 and above) (L1, entry level and other) (percentage) (not identified as disadvantaged)"
756,KS5_STUDEST_19,LALLOTH_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,1%,"Other education destinations (L1, entry level and other) (percentage) (not identified as disadvantaged)"
757,KS5_STUDEST_19,LALLOTH_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,27%,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
758,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,23%,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
759,KS5_STUDEST_19,LALLOTH_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,NA,,,,,NA,,,15%,"Activity not captured in data (L1, entry level and other) (percentage) (not identified as disadvantaged)"
760,KS5_STUDEST_19,LAESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306907,3334111,,,,,,,,,
761,KS5_STUDEST_19,REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,
762,KS5_STUDEST_19,ALL_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,NA,Band for the total cohort (e.g. About average)
763,KS5_STUDEST_19,ALL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,13,,,,,,,,0.0,Progression score for the total cohort
764,KS5_STUDEST_19,ALL_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,36,,,,,,,,,Cohort size
765,KS5_STUDEST_19,ALL_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,78%,,,,,,,,62%,Progressed
766,KS5_STUDEST_19,ALL_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,0%,,,,,,,,1%,Apprenticeships
767,KS5_STUDEST_19,ALL_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,75%,,,,,,,,58%,HE
768,KS5_STUDEST_19,ALL_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,8%,,,,,,,,19%,Top third
769,KS5_STUDEST_19,ALL_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,8%,,,,,,,,14%,Russell
770,KS5_STUDEST_19,ALL_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,1%,Oxbridge
771,KS5_STUDEST_19,ALL_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,3%,,,,,,,,3%,Higher technical
772,KS5_STUDEST_19,ACADAGEN_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,36,,,,,,,,318795,Cohort size for academic/applied general cohort
773,KS5_STUDEST_19,ACADAGEN_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,78%,,,,,,,,68%,Progressed for academic/applied general cohort
774,KS5_STUDEST_19,ACADAGEN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12,13,,,,,,,,0,Progression score for academic/applied general cohort
775,KS5_STUDEST_19,ACADAGEN_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,NA,Band for academic/applied general cohort
776,KS5_STUDEST_19,TLEV_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,,,,,,56188,Cohort size for TLEV cohort
777,KS5_STUDEST_19,TLEV_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,NA,,,,,,,,39%,Progressed for TLEV cohort
778,KS5_STUDEST_19,TLEV_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NA,,,,,,,,0,Score for TLEV cohort
779,KS5_STUDEST_19,TLEV_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NA,,,,,,,,NA,Band for TLEV cohort
780,KS5_STUDEST_19,OTHER_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,11442,Cohort size for other level 3 qualifications cohort
781,KS5_STUDEST_19,OTHER_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,24%,Progressed for other level 3 qualifications cohort
782,KS5_STUDEST_19,OTHER_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,0,Score for other level 3 qualifications cohort
783,KS5_STUDEST_19,OTHER_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,NA,Band for other level 3 qualifications cohort
784,KS5_STUDEST_19,DIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,SUPP,,,,,,,,,Progressed for disadvantaged students
785,KS5_STUDEST_19,DIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,0%,,,,,,,,,Apprenticeships for disadvantaged students
786,KS5_STUDEST_19,DIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,HE for disadvantaged students
787,KS5_STUDEST_19,DIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,Top third for disadvantaged students
788,KS5_STUDEST_19,DIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,Russell for disadvantaged students
789,KS5_STUDEST_19,DIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,Oxbridge for disadvantaged students
790,KS5_STUDEST_19,DIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,,,,,Higher technical for disadvantaged students
791,KS5_STUDEST_21,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,Record type
792,KS5_STUDEST_21,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,333,,,,Local authority number
793,KS5_STUDEST_21,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907,,,,,,4005,,,,Establishment number
794,KS5_STUDEST_21,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135911,,,,,,141813,,,,Unique Reference Number of establishment
795,KS5_STUDEST_21,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shenley Academy,,,,,,Health Futures UTC,,,,School/college name
796,KS5_STUDEST_21,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academy - Sponsor Led Mainstream,,,,,,Free School - UTC ,,,,School type/FE college type
797,KS5_STUDEST_21,FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,Feeder flag
798,KS5_STUDEST_21,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,Closed school/college flag
799,KS5_STUDEST_21,TOT_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,62,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  
800,KS5_STUDEST_21,TOT_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,57,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
801,KS5_STUDEST_21,TOT_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) 
802,KS5_STUDEST_21,TOT_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,53,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
803,KS5_STUDEST_21,TOT_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,Further education (level 3 and below) (All levels of study)  (number of students) 
804,KS5_STUDEST_21,TOT_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,42,,,,Higher education (level 4 and above) (All levels of study)  (number of students) 
805,KS5_STUDEST_21,TOT_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,Other education destinations (All levels of study)  (number of students) 
806,KS5_STUDEST_21,TOT_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,2,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
807,KS5_STUDEST_21,TOT_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
808,KS5_STUDEST_21,TOT_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,Activity not captured in data (All levels of study)  (number of students) 
809,KS5_STUDEST_21,TOT_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77%,,,,,,92%,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
810,KS5_STUDEST_21,TOT_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,,,,3%,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) 
811,KS5_STUDEST_21,TOT_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,85%,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) 
812,KS5_STUDEST_21,TOT_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,,,,,6%,,,,Further education (level 3 and below) (All levels of study) (percentage) 
813,KS5_STUDEST_21,TOT_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,,,,,,68%,,,,Higher education (level 4 and above) (All levels of study) (percentage) 
814,KS5_STUDEST_21,TOT_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,,,,,11%,,,,Other education destinations (All levels of study) (percentage) 
815,KS5_STUDEST_21,TOT_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,,,,,,3%,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
816,KS5_STUDEST_21,TOT_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,,,,5%,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
817,KS5_STUDEST_21,TOT_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,3%,,,,Activity not captured in data (All levels of study) (percentage) 
818,KS5_STUDEST_21,TOT_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,29,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (disadvantaged)
819,KS5_STUDEST_21,TOT_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,28,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
820,KS5_STUDEST_21,TOT_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
821,KS5_STUDEST_21,TOT_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,26,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
822,KS5_STUDEST_21,TOT_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (All levels of study)  (number of students) (disadvantaged)
823,KS5_STUDEST_21,TOT_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,20,,,,Higher education (level 4 and above) (All levels of study)  (number of students) (disadvantaged)
824,KS5_STUDEST_21,TOT_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Other education destinations (All levels of study)  (number of students) (disadvantaged)
825,KS5_STUDEST_21,TOT_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
