No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
462,KS4_PUPDEST_21,EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,1%,2%,,0%,,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
463,KS4_PUPDEST_21,EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,99%,88%,,88%,,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
464,KS4_PUPDEST_21,FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,,26%,41%,,34%,,,,,Further education (percentage)
465,KS4_PUPDEST_21,SCH_6THPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89%,,,72%,39%,,19%,,,,,School sixth form (percentage)
466,KS4_PUPDEST_21,SIXTH_COLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,1%,8%,,34%,,,,,Sixth form college (percentage)
467,KS4_PUPDEST_21,OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,0%,SP,,1%,,,,,Other education destination (percentage)
468,KS4_PUPDEST_21,NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,1%,5%,,9%,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
469,KS4_PUPDEST_21,UNKNOWNPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,3%,,3%,,,,,Activity not captured (percentage)
470,KS4_PUPDEST_21,COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,62,106,,79,,,,,Number of disadvantaged pupils completing key stage 4 in 2016/17
471,KS4_PUPDEST_21,OVERALL_DEST_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,SUPP,97,,67,,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
472,KS4_PUPDEST_21,APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,SUPP,,0,,,,,Apprenticeships (number of pupils)
473,KS4_PUPDEST_21,EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,SUPP,SUPP,,0,,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
474,KS4_PUPDEST_21,EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,60,93,,67,,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
475,KS4_PUPDEST_21,FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,SUPP,49,,26,,,,,Further education (number of pupils)
476,KS4_PUPDEST_21,SCH_6TH_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,37,37,,SUPP,,,,,School sixth form (number of pupils)
477,KS4_PUPDEST_21,SIXTH_COL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,SUPP,SUPP,,27,,,,,Sixth form college (number of pupils)
478,KS4_PUPDEST_21,OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,SUPP,,SUPP,,,,,Other education destination (number of pupils)
479,KS4_PUPDEST_21,NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,SUPP,5,,SUPP,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
480,KS4_PUPDEST_21,UNKNOWN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,4,,SUPP,,,,,Activity not captured (number of pupils)
481,KS4_PUPDEST_21,OVERALL_DESTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,SUPP,92%,,85%,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
482,KS4_PUPDEST_21,APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,SUPP,,0%,,,,,Apprenticeships (percentage)
483,KS4_PUPDEST_21,EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,SUPP,SUPP,,0%,,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
484,KS4_PUPDEST_21,EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,97%,88%,,85%,,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
485,KS4_PUPDEST_21,FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,SUPP,46%,,33%,,,,,Further education (percentage)
486,KS4_PUPDEST_21,SCH_6THPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%,,,60%,35%,,SUPP,,,,,School sixth form (percentage)
487,KS4_PUPDEST_21,SIXTH_COLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,SUPP,SUPP,,34%,,,,,Sixth form college (percentage)
488,KS4_PUPDEST_21,OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,SUPP,,SUPP,,,,,Other education destination (percentage)
489,KS4_PUPDEST_21,NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,SUPP,5%,,SUPP,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
490,KS4_PUPDEST_21,UNKNOWNPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,4%,,SUPP,,,,,Activity not captured (percentage)
491,KS4_PUPDEST_21,COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,97,98,,32,,,,,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17
492,KS4_PUPDEST_21,OVERALL_DEST_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,SUPP,90,,31,,,,,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
493,KS4_PUPDEST_21,APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,SUPP,,0,,,,,Apprenticeships (number of pupils)
494,KS4_PUPDEST_21,EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,SUPP,SUPP,,0,,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
495,KS4_PUPDEST_21,EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,97,87,,31,,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
496,KS4_PUPDEST_21,FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,SUPP,34,,12,,,,,Further education (number of pupils)
497,KS4_PUPDEST_21,SCH_6TH_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,77,43,,SUPP,,,,,School sixth form (number of pupils)
498,KS4_PUPDEST_21,SIXTH_COL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,SUPP,SUPP,,11,,,,,Sixth form college (number of pupils)
499,KS4_PUPDEST_21,OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,SUPP,,SUPP,,,,,Other education destination (number of pupils)
500,KS4_PUPDEST_21,NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,SUPP,5,,SUPP,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
501,KS4_PUPDEST_21,UNKNOWN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,3,,SUPP,,,,,Activity not captured (number of pupils)
502,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,SUPP,92%,,97%,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
503,KS4_PUPDEST_21,APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,SUPP,,0%,,,,,Apprenticeships (percentage)
504,KS4_PUPDEST_21,EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,SUPP,SUPP,,0%,,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
505,KS4_PUPDEST_21,EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,100%,89%,,97%,,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
506,KS4_PUPDEST_21,FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,SUPP,35%,,38%,,,,,Further education (percentage)
507,KS4_PUPDEST_21,SCH_6THPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88%,,,79%,44%,,SUPP,,,,,School sixth form (percentage)
508,KS4_PUPDEST_21,SIXTH_COLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,,SUPP,SUPP,,34%,,,,,Sixth form college (percentage)
509,KS4_PUPDEST_21,OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,0%,SUPP,,SUPP,,,,,Other education destination (percentage)
510,KS4_PUPDEST_21,NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,SUPP,5%,,SUPP,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
511,KS4_PUPDEST_21,UNKNOWNPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,3%,,SUPP,,,,,Activity not captured (percentage)
512,KS4_PUPDEST_21,COHORT_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,159,206,,114,,,,,Number of pupils completing key stage 4 in 2017/18
513,KS4_PUPDEST_21,OVERALL_DESTPER_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99%,,,97%,93%,,90%,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
514,KS4_PUPDEST_21,COHORT_DIS_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,60,112,,76,,,,,Number of disadvantaged pupils completing key stage 4 in 2017/18
515,KS4_PUPDEST_21,OVERALL_DESTPER_DIS_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,97%,92%,,93%,,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
516,KS4_PUPDEST_21,COHORT_NONDIS_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,99,94,,38,,,,,Number of pupils not identified as disadvantaged completing key stage 4 in 2017/18
517,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99%,,,97%,95%,,84%,,,,,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
518,KS4_PUPDEST_21,COHORT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,160,196,,112,,,,,Number of pupils completing key stage 4 in 2016/17
519,KS4_PUPDEST_21,OVERALL_DESTPER_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,98%,89%,,91%,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
520,KS4_PUPDEST_21,COHORT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,55,103,,74,,,,,Number of disadvantaged pupils completing key stage 4 in 2016/17
521,KS4_PUPDEST_21,OVERALL_DESTPER_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,96%,84%,,92%,,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
522,KS4_PUPDEST_21,COHORT_NONDIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,105,93,,38,,,,,Number of pupils not identified as disadvantaged completing key stage 4 in 2016/17
523,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,98%,95%,,89%,,,,,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
524,KS5_STUDEST_19,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,7,Record type
525,KS5_STUDEST_19,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,330,330,,,,,,,Local authority number
526,KS5_STUDEST_19,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404,,,4606,4227,,,,,,,Establishment number
527,KS5_STUDEST_19,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137047,,,103531,139841,,,,,,,Unique Reference Number of establishment
528,KS5_STUDEST_19,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,King Edward VI Handsworth School,,,St Paul's School for Girls,Broadway Academy,,,,,,,School/college name
529,KS5_STUDEST_19,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,,,VA,ACC,,,,,,,School type/FE college type
530,KS5_STUDEST_19,FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,Feeder flag
531,KS5_STUDEST_19,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,Closed school/college flag
532,KS5_STUDEST_19,TOT_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,92,71,,,,,,534328,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  
533,KS5_STUDEST_19,TOT_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,81,67,,,,,,434923,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
534,KS5_STUDEST_19,TOT_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,,,50905,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) 
535,KS5_STUDEST_19,TOT_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,73,59,,,,,,249671,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
536,KS5_STUDEST_19,TOT_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,0,,,,,,51927,Further education (level 3 and below) (All levels of study)  (number of students) 
537,KS5_STUDEST_19,TOT_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,68,37,,,,,,186006,Higher education (level 4 and above) (All levels of study)  (number of students) 
538,KS5_STUDEST_19,TOT_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,22,,,,,,11738,Other education destinations (All levels of study)  (number of students) 
539,KS5_STUDEST_19,TOT_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,7,5,,,,,,134347,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
540,KS5_STUDEST_19,TOT_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,9,2,,,,,,67546,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
541,KS5_STUDEST_19,TOT_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,2,2,,,,,,31859,Activity not captured in data (All levels of study)  (number of students) 
542,KS5_STUDEST_19,TOT_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82%,,,88%,94%,,,,,,81%,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
543,KS5_STUDEST_19,TOT_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,1%,4%,,,,,,10%,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) 
544,KS5_STUDEST_19,TOT_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73%,,,79%,83%,,,,,,47%,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) 
545,KS5_STUDEST_19,TOT_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,5%,0%,,,,,,10%,Further education (level 3 and below) (All levels of study) (percentage) 
546,KS5_STUDEST_19,TOT_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,,,74%,52%,,,,,,35%,Higher education (level 4 and above) (All levels of study) (percentage) 
547,KS5_STUDEST_19,TOT_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,0%,31%,,,,,,2%,Other education destinations (All levels of study) (percentage) 
548,KS5_STUDEST_19,TOT_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,8%,7%,,,,,,25%,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
549,KS5_STUDEST_19,TOT_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,,,10%,3%,,,,,,13%,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
550,KS5_STUDEST_19,TOT_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,2%,3%,,,,,,6%,Activity not captured in data (All levels of study) (percentage) 
551,KS5_STUDEST_19,TOT_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,20,32,,,,,,126255,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (disadvantaged)
552,KS5_STUDEST_19,TOT_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,16,30,,,,,,91050,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
553,KS5_STUDEST_19,TOT_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,0,,,,,,10177,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
554,KS5_STUDEST_19,TOT_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,14,27,,,,,,50803,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
555,KS5_STUDEST_19,TOT_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,0,,,,,,15980,Further education (level 3 and below) (All levels of study)  (number of students) (disadvantaged)
556,KS5_STUDEST_19,TOT_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,13,19,,,,,,31962,Higher education (level 4 and above) (All levels of study)  (number of students) (disadvantaged)
557,KS5_STUDEST_19,TOT_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,8,,,,,,2861,Other education destinations (All levels of study)  (number of students) (disadvantaged)
558,KS5_STUDEST_19,TOT_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,3,,,,,,30070,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
559,KS5_STUDEST_19,TOT_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,2,,,,,,26191,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
560,KS5_STUDEST_19,TOT_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,0,,,,,,9014,Activity not captured in data (All levels of study)  (number of students) (disadvantaged)
561,KS5_STUDEST_19,TOT_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75%,,,80%,94%,,,,,,72%,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
562,KS5_STUDEST_19,TOT_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,5%,0%,,,,,,8%,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
563,KS5_STUDEST_19,TOT_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,,,70%,84%,,,,,,40%,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
564,KS5_STUDEST_19,TOT_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,5%,0%,,,,,,13%,Further education (level 3 and below) (All levels of study) (percentage) (disadvantaged)
565,KS5_STUDEST_19,TOT_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,,,65%,59%,,,,,,25%,Higher education (level 4 and above) (All levels of study) (percentage) (disadvantaged)
566,KS5_STUDEST_19,TOT_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,25%,,,,,,2%,Other education destinations (All levels of study) (percentage) (disadvantaged)
567,KS5_STUDEST_19,TOT_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,5%,9%,,,,,,24%,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
568,KS5_STUDEST_19,TOT_NOT_SUSTAINEDPER_DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,15%,6%,,,,,,21%,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
569,KS5_STUDEST_19,TOT_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,5%,0%,,,,,,7%,Activity not captured in data (All levels of study) (percentage) (disadvantaged)
570,KS5_STUDEST_19,TOT_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,72,39,,,,,,408073,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (not identified as disadvantaged)
571,KS5_STUDEST_19,TOT_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,65,37,,,,,,343873,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
572,KS5_STUDEST_19,TOT_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,3,,,,,,40728,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
573,KS5_STUDEST_19,TOT_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,59,32,,,,,,198868,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
574,KS5_STUDEST_19,TOT_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,0,,,,,,35947,Further education (level 3 and below) (All levels of study)  (number of students) (not identified as disadvantaged)
575,KS5_STUDEST_19,TOT_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,55,18,,,,,,154044,Higher education (level 4 and above) (All levels of study)  (number of students) (not identified as disadvantaged)
