No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
155,CFR_19,T1718CAT2LA,,,110 ,98 ,,169 ,98 ,169 ,439 ,,98 ,,169 ,,169 ,,,98 ,,,,,98 ,169 ,98 ,271 ,98 ,169 ,98 ,169 ,,,,98 ,95 ,,,,173 ,439 ,,,,,,,104 ,,,439 ,,,
156,CFR_19,T1718CAT3LA,,,413 ,791 ,,909 ,791 ,909 ,"3,928 ",,791 ,,909 ,,909 ,,,791 ,,,,,791 ,909 ,791 ,"2,479 ",791 ,909 ,791 ,909 ,,,,791 ,417 ,,,,"1,021 ","3,928 ",,,,,,,"1,308 ",,,"3,928 ",,,
157,CFR_19,T1718CAT4LA,,,63 ,55 ,,60 ,55 ,60 ,210 ,,55 ,,60 ,,60 ,,,55 ,,,,,55 ,60 ,55 ,217 ,55 ,60 ,55 ,60 ,,,,55 ,54 ,,,,90 ,210 ,,,,,,,83 ,,,210 ,,,
158,CFR_19,T1718CAT5LA,,,"5,179 ","5,160 ",,"5,672 ","5,160 ","5,672 ","22,226 ",,"5,160 ",,"5,672 ",,"5,672 ",,,"5,160 ",,,,,"5,160 ","5,672 ","5,160 ","17,554 ","5,160 ","5,672 ","5,160 ","5,672 ",,,,"5,160 ","4,942 ",,,,"6,380 ","22,226 ",,,,,,,"6,372 ",,,"22,226 ",,,
159,CFR_19,T1819CAT1,,,"3,174","3,153",,"3,064","2,760","2,928","14,383",,"4,202",,"3,137",,"3,413",,,"3,013",,,,,"3,101","3,592","2,769","12,340","3,013","3,109","3,105","3,668",,,,"2,974","3,656",,,,"4,340","16,385",,,,,,,"4,203",,,"9,384",,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil)
160,CFR_19,T1819CAT2,,,5,24,,36,297,110,571,,5,,149,,137,,,29,,,,,126,89,161,251,9,129,67,0,,,,102,131,,,,8,616,,,,,,,137,,,248,,,2018-19 Supply Staff Costs (&pound; per pupil)
161,CFR_19,T1819CAT3,,,467,"1,090",,741,794,834,"4,423",,781,,"1,021",,614,,,994,,,,,787,803,733,"2,613",569,"1,367",888,829,,,,859,370,,,,678,"3,566",,,,,,,"1,033",,,"2,212",,,2018-19 Back Office (&pound; per pupil)
162,CFR_19,T1819CAT4,,,62,78,,56,58,75,313,,115,,68,,52,,,56,,,,,64,151,90,257,55,69,63,56,,,,94,48,,,,109,99,,,,,,,167,,,171,,,2018-19 Energy (&pound; per pupil)
163,CFR_19,T1819CAT5,,,"4,960","5,489",,"5,067","5,197","5,139","21,910",,"6,280",,"5,230",,"5,321",,,"5,087",,,,,"5,266","5,562","4,718","17,281","4,612","5,627","5,024","5,588",,,,"5,062","5,109",,,,"6,938","24,091",,,,,,,"7,177",,,"14,120",,,2018-19 Total Expenditure (&pound; per pupil)
164,CFR_19,T1819SUM,,,1252,1144,,1170,1288,1192,2220,,1177,,855,,1105,,,995,,,,,1188,927,965,1820,966,953,901,1035,,,,1033,904,,,,1803,3425,,,,,,,1637,,,2105,,,
165,CFR_19,T1819CAT1LA,,,"3,249","3,064",,"3,291","3,064","3,291","13,939",,"3,291",,"3,291",,"3,291",,,"3,064",,,,,"3,064","3,291","3,291","14,219","3,064","3,291","3,064","3,291",,,,"3,064","3,329",,,,"3,734","14,219",,,,,,,"3,525",,,"14,219",,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
166,CFR_19,T1819CAT2LA,,,128,112,,128,112,128,294,,128,,128,,128,,,112,,,,,112,128,128,607,112,128,112,128,,,,112,105,,,,91,607,,,,,,,79,,,607,,,2018-19 Supply Staff Costs (&pound; per pupil) for LA
167,CFR_19,T1819CAT3LA,,,457,788,,875,788,875,"3,685",,875,,875,,875,,,788,,,,,788,875,875,"4,444",788,875,788,875,,,,788,446,,,,"1,014","4,444",,,,,,,"1,102",,,"4,444",,,2018-19 Back Office (&pound; per pupil) for LA
168,CFR_19,T1819CAT4LA,,,62,67,,69,67,69,157,,69,,69,,69,,,67,,,,,67,69,69,168,67,69,67,69,,,,67,59,,,,102,168,,,,,,,110,,,168,,,2018-19 Energy (&pound; per pupil) for LA
169,CFR_19,T1819CAT5LA,,,"5,201","5,175",,"5,547","5,175","5,547","19,551",,"5,547",,"5,547",,"5,547",,,"5,175",,,,,"5,175","5,547","5,547","23,070","5,175","5,547","5,175","5,547",,,,"5,175","5,111",,,,"6,284","23,070",,,,,,,"6,379",,,"23,070",,,2018-19 Total Expenditure (&pound; per pupil) for LA
170,CFR_19,DCAT1,,,NA,NA,,NA,NA,1,188,,236,,NA,,469,,,190,,,,,"1,806",-437,-27,821,-194,373,"1,861",160,,,,-397,321,,,,-197,-108,,,,,,,NA,,,672,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
171,CFR_19,DCAT2,,,NA,-53,,NA,-174,-144,-14,,10,,NA,,-112,,,-202,,,,,164,110,103,-115,28,69,-70,-11,,,,455,-73,,,,27,-6,,,,,,,-135,,,-47,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
172,CFR_19,DCAT3,,,NA,111,,NA,116,8,47,,130,,NA,,210,,,156,,,,,"-1,061",96,-198,215,-21,114,-761,206,,,,-133,39,,,,53,-12,,,,,,,242,,,-29,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
173,CFR_19,DCAT4,,,NA,NA,,NA,7,-25,-10,,-7,,NA,,-9,,,4,,,,,429,-17,-14,21,-12,-4,-149,-14,,,,-7,2,,,,19,-3,,,,,,,-22,,,-2,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
174,CFR_19,DCAT5,,,NA,49,,NA,585,184,431,,486,,NA,,738,,,252,,,,,"2,447",-316,226,"1,725",50,805,-173,-75,,,,50,275,,,,-153,127,,,,,,,-11,,,845,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
175,CFR_19,PGRANTFUNDING,,,98%,81%,,96%,94%,96%,98%,,100%,,99%,,94%,,,86%,,,,,96%,97%,92%,97%,92%,99%,96%,98%,,,,93%,98%,,,,92%,97%,,,,,,,95%,,,98%,,,Grant funding (proportion of total income)
176,CFR_19,PSELFGENERATEDINCOME,,,2%,19%,,4%,6%,4%,2%,,0%,,1%,,6%,,,14%,,,,,4%,3%,8%,3%,8%,1%,4%,2%,,,,7%,2%,,,,8%,4%,,,,,,,5%,,,2%,,,Self generated income (proportion of total income)
177,CFR_19,PTEACHINGSTAFF,,,43%,43%,,45%,38%,43%,30%,,47%,,41%,,51%,,,43%,,,,,41%,41%,47%,38%,48%,40%,44%,42%,,,,44%,49%,,,,49%,31%,,,,,,,43%,,,45%,,,Teaching staff (proportion of total expenditure)
178,CFR_19,PSUPPLYTEACHERS,,,0%,0%,,1%,6%,2%,3%,,0%,,3%,,3%,,,1%,,,,,2%,2%,3%,1%,0%,2%,1%,0%,,,,2%,3%,,,,0%,3%,,,,,,,2%,,,2%,,,Supply Staff (proportion of total expenditure)
179,CFR_19,PEDUCATIONSUPPORTSTAFF,,,21%,14%,,16%,15%,14%,36%,,20%,,19%,,13%,,,16%,,,,,18%,23%,12%,33%,17%,15%,18%,24%,,,,15%,22%,,,,13%,37%,,,,,,,15%,,,22%,,,Education support staff (proportion of total expenditure)
180,CFR_19,PPREMISES,,,6%,7%,,6%,9%,5%,5%,,7%,,1%,,3%,,,5%,,,,,5%,4%,6%,4%,4%,1%,6%,5%,,,,6%,4%,,,,13%,2%,,,,,,,13%,,,5%,,,Premises (incl. Staff costs) (proportion of total expenditure)
181,CFR_19,PBACKOFFICE,,,9%,19%,,14%,15%,16%,20%,,13%,,19%,,13%,,,20%,,,,,15%,15%,15%,14%,12%,24%,18%,15%,,,,17%,7%,,,,10%,15%,,,,,,,15%,,,16%,,,Back office (incl. Staff costs) (proportion of total expenditure)
182,CFR_19,PCATERING,,,4%,4%,,5%,1%,7%,1%,,5%,,0%,,7%,,,6%,,,,,8%,6%,5%,0%,6%,6%,3%,6%,,,,6%,4%,,,,2%,2%,,,,,,,2%,,,3%,,,Catering (incl. Staff costs) (proportion of total expenditure)
183,CFR_19,POTHERSTAFF,,,3%,4%,,4%,8%,5%,3%,,3%,,4%,,4%,,,3%,,,,,5%,3%,3%,3%,5%,4%,5%,3%,,,,5%,4%,,,,1%,6%,,,,,,,0%,,,2%,,,Other staff costs (proportion of total expenditure)
184,CFR_19,PENERGY,,,1%,1%,,1%,1%,1%,1%,,2%,,1%,,1%,,,1%,,,,,1%,3%,2%,1%,1%,1%,1%,1%,,,,2%,1%,,,,2%,0%,,,,,,,2%,,,1%,,,Energy (proportion of total expenditure)
185,CFR_19,PLEARNINGRESOURCES,,,6%,4%,,4%,4%,3%,2%,,2%,,3%,,6%,,,5%,,,,,4%,2%,4%,2%,4%,3%,3%,3%,,,,2%,2%,,,,5%,3%,,,,,,,2%,,,3%,,,Learning resources (not ICT equipment) (proportion of total expenditure)
186,CFR_19,PICT,,,2%,1%,,0%,1%,1%,0%,,1%,,2%,,1%,,,0%,,,,,0%,1%,0%,1%,2%,1%,0%,1%,,,,0%,0%,,,,2%,0%,,,,,,,0%,,,0%,,,ICT learning resources (proportion of total expenditure)
187,CFR_19,PBOUGHTINPROFESSIONALSERVICES,,,1%,0%,,1%,0%,0%,0%,,0%,,2%,,2%,,,0%,,,,,0%,0%,0%,0%,0%,0%,0%,0%,,,,0%,1%,,,,0%,1%,,,,,,,2%,,,0%,,,Bought in professional services - curriculum (proportion of total expenditure)
188,CFR_19,POTHER,,,1%,2%,,2%,1%,2%,0%,,2%,,3%,,0%,,,2%,,,,,1%,1%,1%,0%,1%,2%,2%,1%,,,,1%,2%,,,,3%,0%,,,,,,,4%,,,2%,,,Other expenditure (proportion of total expenditure)
189,CFR_19,PT1415CAT1,,,65%,59%,,61%,56%,59%,62%,,54%,,60%,,58%,,,66%,,,,,56%,59%,41%,74%,55%,47%,66%,64%,,,,59%,71%,,,,57%,73%,,,,,,,51%,,,64%,,,
190,CFR_19,PT1415CAT2,,,2%,3%,,4%,6%,3%,1%,,5%,,7%,,1%,,,2%,,,,,12%,2%,10%,1%,2%,2%,1%,0%,,,,5%,3%,,,,1%,2%,,,,,,,2%,,,1%,,,
191,CFR_19,PT1415CAT3,,,8%,20%,,17%,18%,21%,19%,,21%,,14%,,14%,,,15%,,,,,11%,21%,24%,14%,13%,19%,14%,17%,,,,16%,6%,,,,12%,16%,,,,,,,29%,,,18%,,,
192,CFR_19,PT1415CAT4,,,2%,2%,,1%,1%,1%,1%,,2%,,2%,,1%,,,1%,,,,,1%,2%,2%,0%,1%,1%,1%,1%,,,,2%,1%,,,,2%,0%,,,,,,,2%,,,1%,,,
193,CFR_19,PT1415CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,
194,CFR_19,PT1415CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
195,CFR_19,PT1415CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
196,CFR_19,PT1415CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
197,CFR_19,PT1415CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
198,CFR_19,PT1415CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
199,CFR_19,PT1516CAT1,,,64%,55%,,53%,50%,53%,70%,,61%,,59%,,62%,,,66%,,,,,56%,62%,47%,75%,65%,56%,69%,63%,,,,54%,67%,,,,60%,71%,,,,,,,48%,,,63%,,,
200,CFR_19,PT1516CAT2,,,1%,0%,,4%,8%,5%,2%,,3%,,2%,,2%,,,2%,,,,,11%,2%,6%,1%,1%,4%,1%,0%,,,,6%,4%,,,,0%,2%,,,,,,,1%,,,0%,,,
201,CFR_19,PT1516CAT3,,,4%,1%,,2%,3%,4%,0%,,3%,,4%,,6%,,,4%,,,,,8%,4%,3%,2%,4%,4%,4%,4%,,,,6%,4%,,,,3%,2%,,,,,,,1%,,,1%,,,
202,CFR_19,PT1516CAT4,,,7%,4%,,5%,6%,3%,0%,,2%,,3%,,7%,,,4%,,,,,5%,3%,4%,2%,3%,14%,3%,3%,,,,3%,3%,,,,4%,2%,,,,,,,9%,,,2%,,,
203,CFR_19,PT1516CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,
204,CFR_19,PT1516CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
205,CFR_19,PT1516CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
206,CFR_19,PT1516CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
207,CFR_19,PT1516CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
208,CFR_19,PT1516CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
209,CFR_19,PT1617CAT1,,,64%,56%,,48%,56%,54%,65%,,66%,,58%,,62%,,,63%,,,,,56%,61%,50%,69%,66%,51%,67%,62%,,,,57%,71%,,,,59%,74%,,,,,,,44%,,,66%,,,
210,CFR_19,PT1617CAT2,,,0%,0%,,3%,6%,5%,2%,,2%,,5%,,1%,,,2%,,,,,7%,2%,4%,1%,1%,4%,1%,0%,,,,4%,3%,,,,7%,1%,,,,,,,2%,,,3%,,,
211,CFR_19,PT1617CAT3,,,7%,19%,,15%,8%,18%,18%,,12%,,11%,,11%,,,14%,,,,,10%,16%,23%,12%,9%,7%,13%,15%,,,,15%,5%,,,,12%,13%,,,,,,,28%,,,16%,,,
212,CFR_19,PT1617CAT4,,,2%,1%,,1%,1%,1%,1%,,2%,,2%,,1%,,,1%,,,,,1%,3%,2%,1%,1%,1%,1%,1%,,,,1%,1%,,,,2%,1%,,,,,,,2%,,,1%,,,
213,CFR_19,PT1617CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,
214,CFR_19,PT1617CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
215,CFR_19,PT1617CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
216,CFR_19,PT1617CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
217,CFR_19,PT1617CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
218,CFR_19,PT1617CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
219,CFR_19,PT1718CAT1,,,59%,54%,,53%,53%,55%,65%,,67%,,60%,,63%,,,67%,,,,,56%,61%,52%,71%,69%,56%,65%,64%,,,,59%,71%,,,,66%,71%,,,,,,,63%,,,70%,,,
220,CFR_19,PT1718CAT2,,,1%,1%,,2%,8%,4%,3%,,1%,,3%,,3%,,,2%,,,,,5%,3%,3%,2%,0%,3%,1%,0%,,,,2%,2%,,,,0%,0%,,,,,,,1%,,,2%,,,
221,CFR_19,PT1718CAT3,,,7%,25%,,16%,15%,20%,20%,,14%,,10%,,13%,,,13%,,,,,15%,16%,23%,13%,11%,18%,14%,15%,,,,18%,7%,,,,10%,16%,,,,,,,15%,,,16%,,,
222,CFR_19,PT1718CAT4,,,0%,1%,,1%,1%,1%,2%,,1%,,3%,,1%,,,1%,,,,,1%,2%,2%,2%,1%,1%,1%,1%,,,,1%,1%,,,,2%,1%,,,,,,,2%,,,1%,,,
223,CFR_19,PT1718CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,
224,CFR_19,PT1718CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
225,CFR_19,PT1718CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
226,CFR_19,PT1718CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
227,CFR_19,PT1718CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
228,CFR_19,PT1718CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,
229,CFR_19,PT1819CAT1,,,64%,57%,,60%,53%,57%,66%,,67%,,60%,,64%,,,59%,,,,,59%,65%,59%,71%,65%,55%,62%,66%,,,,59%,72%,,,,63%,68%,,,,,,,59%,,,66%,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
230,CFR_19,PT1819CAT2,,,0%,0%,,1%,6%,2%,3%,,0%,,3%,,3%,,,1%,,,,,2%,2%,3%,1%,0%,2%,1%,0%,,,,2%,3%,,,,0%,3%,,,,,,,2%,,,2%,,,2018-19 Supply Staff Costs (proportion of total expenditure)
231,CFR_19,PT1819CAT3,,,9%,20%,,15%,15%,16%,20%,,12%,,20%,,12%,,,20%,,,,,15%,14%,16%,15%,12%,24%,18%,15%,,,,17%,7%,,,,10%,15%,,,,,,,14%,,,16%,,,2018-19 Back Office (proportion of total expenditure)
232,CFR_19,PT1819CAT4,,,1%,1%,,1%,1%,1%,1%,,2%,,1%,,1%,,,1%,,,,,1%,3%,2%,1%,1%,1%,1%,1%,,,,2%,1%,,,,2%,0%,,,,,,,2%,,,1%,,,2018-19 Energy (proportion of total expenditure)
233,CFR_19,PT1819CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,2018-19 Total Expenditure (proportion of total expenditure)
234,CFR_19,PT1819CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
235,CFR_19,PT1819CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
236,CFR_19,PT1819CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Back Office (proportion of total expenditure) for LA
237,CFR_19,PT1819CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Energy (proportion of total expenditure) for LA
238,CFR_19,PT1819CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
239,CFR_19,PDCAT1,,,-1%,-2%,,-1%,-3%,-2%,4%,,13%,,0%,,6%,,,-7%,,,,,3%,6%,18%,-3%,10%,8%,-4%,2%,,,,0%,1%,,,,6%,-5%,,,,,,,8%,,,2%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
240,CFR_19,PDCAT2,,,-2%,-3%,,-3%,0%,-1%,2%,,-5%,,-4%,,2%,,,-1%,,,,,-10%,0%,-7%,0%,-2%,0%,0%,0%,,,,-3%,0%,,,,-1%,1%,,,,,,,0%,,,1%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
241,CFR_19,PDCAT3,,,1%,0%,,-2%,-3%,-5%,1%,,-9%,,6%,,-2%,,,5%,,,,,4%,-7%,-8%,1%,-1%,5%,4%,-2%,,,,1%,1%,,,,-2%,-1%,,,,,,,-15%,,,-2%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
242,CFR_19,PDCAT4,,,-1%,-1%,,0%,0%,0%,0%,,0%,,-1%,,0%,,,0%,,,,,0%,1%,0%,1%,0%,0%,0%,0%,,,,0%,0%,,,,0%,0%,,,,,,,0%,,,0%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
243,CFR_19,PDCAT5,,,0%,0%,,0%,0%,0%,0%,,0%,,0%,,0%,,,0%,,,,,0%,0%,0%,0%,0%,0%,0%,0%,,,,0%,0%,,,,0%,0%,,,,,,,0%,,,0%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
244,CFR_21,URN,,,104000,103398,,103268,103178,103217,103605,,103247,,103401,,103460,,,132261,,,,,103431,132201,131465,103622,103438,103233,134098,103470,,,,103447,103933,,,,103497,103625,,,,,,,103519,,,103616,,,Unique Reference Number
245,CFR_21,LONDON/NON-LONDON,,,Non-London,Non-London,,Non-London,Non-London,Non-London,Non-London,,Non-London,,Non-London,,Non-London,,,Non-London,,,,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,,,Non-London,Non-London,,,,Non-London,Non-London,,,,,,,Non-London,,,Non-London,,,London/Non-London
246,CFR_21,MEDIAN,,,Primary,Primary,,Primary,Primary,Primary,Special,,Primary,,Primary,,Primary,,,Primary,,,,,Primary,Primary,Primary,Special,Primary,Primary,Primary,Primary,,,,Primary,Primary,,,,Secondary with KS4,Special,,,,,,,Secondary with KS4,,,Special,,,Group to compare
247,CFR_21,PUPILS,,,336,215,,570,455,887,235,,201,,416,,651,,,708,,,,,225,438,628,212,411,407,662,232,,,,393,430,,,,880,108,,,,,,,1434,,,246,,,Number of pupils (FTE)
248,CFR_21,FSM,,,33.8,5.1,,36.7,18.1,33.5,39.6,,35.3,,41.1,,40.5,,,8.9,,,,,25.1,42.2,29,45.8,15.3,42.5,16.6,36.4,,,,22.6,24.2,,,,24.1,54.6,,,,,,,42.8,,,54.1,,,Percentage of pupils eligible for Free School Meals (FSM)
249,CFR_21,FSMBAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free school meals eligibility band
250,CFR_21,GRANTFUNDING,,,5769,4852,,5390,5660,5424,22387,,6181,,5686,,5290,,,4651,,,,,5837,6135,5129,18810,4556,6073,5289,5853,,,,5009,5561,,,,6771,24968,,,,,,,6813,,,8263,,,Grant funding (&pound; per pupil)
251,CFR_21,SELFGENERATEDINCOME,,,153,407,,92,146,55,2091,,17,,12,,395,,,293,,,,,57,23,84,522,162,9,10,163,,,,210,62,,,,236,302,,,,,,,429,,,49,,,Self generated income (&pound; per pupil)
252,CFR_21,TOTALINCOME,,,5922,5259,,5482,5806,5479,24478,,6198,,5698,,5685,,,4944,,,,,5894,6158,5213,19332,4718,6082,5299,6016,,,,5219,5623,,,,7007,25270,,,,,,,7242,,,8312,,,Total income (&pound; per pupil)
253,CFR_21,TEACHINGSTAFF,,,2639,2507,,2528,2163,2376,6413,,3059,,2298,,3074,,,2493,,,,,2579,2525,2598,7198,2288,2458,2511,2553,,,,2474,2825,,,,3761,8192,,,,,,,3480,,,2517,,,Teaching staff (&pound; per pupil)
