No,Namespace,Variable,Silvertrees Academy - 140792,Reaside Academy - 139002,Northfield Road Primary School - 147155,Northfield Road Primary School - 103775,Hydesville Tower School - 104266,Four Oaks Primary School - 131920,St Edward's Catholic Primary School - 125707,St Edward's Catholic Primary School - 148125,Glebefields Primary School - 103925,St Pauls Church of England Academy - 140921,St James Catholic Primary School - 141820,Kings Hill Primary School - 104179,Woodlands - 145224,St Mary of the Angels Catholic Primary School - 104240,Hill West Primary School - 139520,Dudley Wood Primary School - 144078,Wednesbury Oak Academy - 140793,Salisbury Primary School - 104178,Lutley Primary School - 143783,Cradley CofE Primary School - 103846,Moorcroft Wood Primary School - 135016,Butts Primary School - 104147,St Patricks Church of England Primary Academy - 136320,Colley Lane Primary Academy - 142964,Romsley St Kenelm's CofE Primary School - 116846,West Midlands Education and Skills - 146563,Little Sutton Primary School - 103388,"St Patrick's Catholic Primary School, Walsall - 104233",Emmanuel School - 130323,Birchills Church of England Community Academy - 139435,St Martin's Church of England Primary School - 141825,Cooper and Jordan Church of England Primary School - 132073,Netherton CofE Primary School - 144418,Pinfold Street Primary School - 104176,Blowers Green Primary School - 103771,Blowers Green Primary School - 147708,Beaconside Primary and Nursery School - 116768,Little Aston Primary Academy - 148285,Little Aston Primary School - 124127,Caslon Primary Community  School - 103801,Holywell Primary and Nursery School - 132060,Gospel Oak School - 135599,St Francis of Assisi Catholic College - 104255,Aldridge School - A Science College - 137974,Queen Mary's High School - 136777,The Link Academy - 144952,Bloomfield School - 135518,West Walsall E-ACT Academy - 138374,Walsall College - 130483,Dudley College of Technology - 130475,National state-funded primary,National state-funded secondary and 16 to 18,Description
288,CFR_21,T2021CAT1,,,,,,2422,2107,,2535,,,2329,,2498,,,,2547,,2696,2600,2502,,,2733,,2595,2224,,,,2242,,2352,,,2679,,1606,3071,2517,,3304,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil)
289,CFR_21,T2021CAT2,,,,,,39,-6,,179,,,15,,195,,,,39,,36,18,156,,,93,,21,179,,,,0,,267,,,33,,1,8,31,,101,,,,,,,,,,2020-21 Supply Staff Costs (&pound; per pupil)
290,CFR_21,T2021CAT3,,,,,,654,351,,406,,,416,,413,,,,593,,369,382,553,,,548,,1055,615,,,,281,,501,,,311,,307,594,255,,462,,,,,,,,,,2020-21 Back Office (&pound; per pupil)
291,CFR_21,T2021CAT4,,,,,,54,57,,71,,,63,,69,,,,58,,52,59,63,,,39,,57,72,,,,72,,44,,,57,,31,68,38,,86,,,,,,,,,,2020-21 Energy (&pound; per pupil)
292,CFR_21,T2021CAT5,,,,,,4838,4664,,5669,,,5244,,5063,,,,5888,,5183,6350,6148,,,5550,,5175,5475,,,,4705,,5597,,,5012,,2884,6808,4568,,5121,,,,,,,,,,2020-21 Total Expenditure (&pound; per pupil)
293,CFR_21,T2021SUM,,,,,,1669,2155,,2478,,,2421,,1888,,,,2651,,2030,3291,2874,,,2137,,1447,2385,,,,2110,,2433,,,1932,,939,3067,1727,,1168,,,,,,,,,,
294,CFR_21,T2021CAT1LA,,,,,,2670,2479,,2364,,,2550,,2550,,,,2550,,2546,2550,2550,,,2631,,2670,2550,,,,2550,,2550,,,2631,,2488,2546,2631,,3487,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
295,CFR_21,T2021CAT2LA,,,,,,126,98,,81,,,113,,113,,,,113,,103,113,113,,,64,,126,113,,,,113,,113,,,64,,98,103,64,,63,,,,,,,,,,2020-21 Supply Staff Costs (&pound; per pupil) for LA
296,CFR_21,T2021CAT3LA,,,,,,820,386,,446,,,414,,414,,,,414,,439,414,414,,,391,,820,414,,,,414,,414,,,391,,352,439,391,,545,,,,,,,,,,2020-21 Back Office (&pound; per pupil) for LA
297,CFR_21,T2021CAT4LA,,,,,,76,55,,60,,,63,,63,,,,63,,58,63,63,,,48,,76,63,,,,63,,63,,,48,,64,58,48,,114,,,,,,,,,,2020-21 Energy (&pound; per pupil) for LA
298,CFR_21,T2021CAT5LA,,,,,,5583,4962,,5320,,,5537,,5537,,,,5537,,5155,5537,5537,,,5177,,5583,5537,,,,5537,,5537,,,5177,,4978,5155,5177,,5779,,,,,,,,,,2020-21 Total Expenditure (&pound; per pupil) for LA
299,CFR_21,DCAT1,,,,,,103,370,,73,,,169,,158,,,,269,,89,257,148,,,178,,153,-71,,,,208,,-2,,,164,,-677,467,144,,124,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
300,CFR_21,DCAT2,,,,,,10,-85,,-25,,,-83,,-91,,,,-241,,-12,1,87,,,14,,-33,102,,,,-42,,-7,,,0,,-71,-7,-23,,-168,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
301,CFR_21,DCAT3,,,,,,-71,58,,77,,,81,,35,,,,-27,,-16,42,-32,,,37,,-56,129,,,,29,,10,,,26,,-132,46,5,,20,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
302,CFR_21,DCAT4,,,,,,-15,-48,,-17,,,7,,9,,,,13,,-6,-1,-10,,,-4,,7,-24,,,,16,,-3,,,-4,,-27,-22,-6,,-18,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
303,CFR_21,DCAT5,,,,,,-242,571,,-190,,,-41,,187,,,,444,,-13,535,92,,,271,,-24,-458,,,,259,,-288,,,50,,"-1,429",263,17,,-279,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
304,CFR_21,PGRANTFUNDING,,,,,,90,96,,100,,,98,,96,,,,99,,96,100,99,,,97,,93,98,,,,97,,98,,,99,,97,96,99,,99,,,,,,,,,,Grant funding (proportion of total income)
305,CFR_21,PSELFGENERATEDINCOME,,,,,,10,4,,0,,,2,,4,,,,1,,4,0,1,,,3,,7,2,,,,3,,2,,,1,,3,4,1,,1,,,,,,,,,,Self generated income (proportion of total income)
306,CFR_21,PTEACHINGSTAFF,,,,,,50,45,,45,,,44,,49,,,,43,,52,41,41,,,49,,50,41,,,,48,,42,,,53,,56,45,55,,65,,,,,,,,,,Teaching staff (proportion of total expenditure)
307,CFR_21,PSUPPLYTEACHERS,,,,,,1,0,,3,,,0,,4,,,,1,,1,0,3,,,2,,0,3,,,,0,,5,,,1,,0,0,1,,2,,,,,,,,,,Supply Staff (proportion of total expenditure)
308,CFR_21,PEDUCATIONSUPPORTSTAFF,,,,,,14,22,,24,,,25,,17,,,,12,,14,29,24,,,18,,12,17,,,,22,,20,,,18,,14,22,19,,8,,,,,,,,,,Education support staff (proportion of total expenditure)
309,CFR_21,PPREMISES,,,,,,5,6,,5,,,9,,6,,,,15,,8,6,6,,,7,,3,10,,,,6,,7,,,6,,5,6,4,,6,,,,,,,,,,Premises (incl. Staff costs) (proportion of total expenditure)
310,CFR_21,PBACKOFFICE,,,,,,14,8,,7,,,8,,8,,,,10,,7,6,9,,,10,,20,11,,,,6,,9,,,6,,11,9,6,,9,,,,,,,,,,Back office (incl. Staff costs) (proportion of total expenditure)
311,CFR_21,PCATERING,,,,,,6,2,,3,,,3,,4,,,,4,,2,4,4,,,3,,3,5,,,,4,,3,,,3,,3,4,2,,1,,,,,,,,,,Catering (incl. Staff costs) (proportion of total expenditure)
312,CFR_21,POTHERSTAFF,,,,,,4,5,,3,,,3,,3,,,,3,,4,4,5,,,6,,3,3,,,,5,,5,,,6,,3,3,4,,3,,,,,,,,,,Other staff costs (proportion of total expenditure)
313,CFR_21,PENERGY,,,,,,1,1,,1,,,1,,1,,,,1,,1,1,1,,,1,,1,1,,,,2,,1,,,1,,1,1,1,,2,,,,,,,,,,Energy (proportion of total expenditure)
314,CFR_21,PLEARNINGRESOURCES,,,,,,2,6,,4,,,2,,1,,,,3,,2,1,2,,,1,,4,2,,,,2,,1,,,2,,1,2,3,,2,,,,,,,,,,Learning resources (not ICT equipment) (proportion of total expenditure)
315,CFR_21,PICT,,,,,,2,2,,0,,,2,,2,,,,3,,6,1,1,,,1,,1,2,,,,2,,3,,,1,,2,5,1,,2,,,,,,,,,,ICT learning resources (proportion of total expenditure)
316,CFR_21,PBOUGHTINPROFESSIONALSERVICES,,,,,,0,2,,3,,,1,,1,,,,3,,1,2,3,,,1,,0,3,,,,2,,2,,,1,,2,1,2,,0,,,,,,,,,,Bought in professional services - curriculum (proportion of total expenditure)
317,CFR_21,POTHER,,,,,,2,2,,2,,,1,,3,,,,2,,1,4,2,,,2,,2,1,,,,2,,3,,,3,,2,2,3,,1,,,,,,,,,,Other expenditure (proportion of total expenditure)
318,CFR_21,PT1819CAT1,,,,,,61%,67%,,66%,,,66%,,64%,,,,59%,,69%,67%,62%,,,65%,,65%,58%,,,,64%,,59%,,,65%,,67%,61%,64%,,68%,,,,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
319,CFR_21,PT1819CAT2,,,,,,1%,2%,,3%,,,1%,,5%,,,,7%,,0%,0%,0%,,,1%,,0%,1%,,,,1%,,4%,,,2%,,1%,2%,3%,,4%,,,,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure)
320,CFR_21,PT1819CAT3,,,,,,23%,11%,,6%,,,7%,,7%,,,,8%,,9%,7%,11%,,,9%,,15%,10%,,,,6%,,8%,,,6%,,8%,9%,6%,,8%,,,,,,,,,,2018-19 Back Office (proportion of total expenditure)
321,CFR_21,PT1819CAT4,,,,,,1%,2%,,1%,,,1%,,1%,,,,1%,,1%,1%,1%,,,1%,,1%,2%,,,,2%,,1%,,,1%,,1%,1%,1%,,2%,,,,,,,,,,2018-19 Energy (proportion of total expenditure)
322,CFR_21,PT1819CAT5,,,,,,100%,100%,,100%,,,100%,,100%,,,,100%,,100%,100%,100%,,,100%,,100%,100%,,,,100%,,100%,,,100%,,100%,100%,100%,,100%,,,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure)
323,CFR_21,PT1819CAT1LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
324,CFR_21,PT1819CAT2LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
325,CFR_21,PT1819CAT3LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2018-19 Back Office (proportion of total expenditure) for LA
326,CFR_21,PT1819CAT4LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2018-19 Energy (proportion of total expenditure) for LA
327,CFR_21,PT1819CAT5LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
328,CFR_21,PT1920CAT1,,,,,,46%,42%,,42%,,,41%,,48%,,,,42%,,50%,40%,39%,,,48%,,47%,39%,,,,46%,,40%,,,51%,,53%,40%,52%,,59%,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure)
329,CFR_21,PT1920CAT2,,,,,,1%,2%,,3%,,,2%,,6%,,,,5%,,1%,0%,1%,,,1%,,1%,1%,,,,1%,,5%,,,1%,,2%,0%,1%,,5%,,,,,,,,,,2019-20 Supply Staff Costs (proportion of total expenditure)
330,CFR_21,PT1920CAT3,,,,,,14%,7%,,6%,,,6%,,8%,,,,11%,,7%,6%,10%,,,10%,,21%,8%,,,,6%,,8%,,,6%,,10%,8%,5%,,8%,,,,,,,,,,2019-20 Back Office (proportion of total expenditure)
331,CFR_21,PT1920CAT4,,,,,,1%,3%,,2%,,,1%,,1%,,,,1%,,1%,1%,1%,,,1%,,1%,2%,,,,1%,,1%,,,1%,,1%,1%,1%,,2%,,,,,,,,,,2019-20 Energy (proportion of total expenditure)
332,CFR_21,PT1920CAT5,,,,,,100%,100%,,100%,,,100%,,100%,,,,100%,,100%,100%,100%,,,100%,,100%,100%,,,,100%,,100%,,,100%,,100%,100%,100%,,100%,,,,,,,,,,2019-20 Total Expenditure (proportion of total expenditure)
333,CFR_21,PT1920CAT1LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
334,CFR_21,PT1920CAT2LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2019-20 Supply Staff Costs (proportion of total expenditure) for LA
335,CFR_21,PT1920CAT3LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2019-20 Back Office (proportion of total expenditure) for LA
336,CFR_21,PT1920CAT4LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2019-20 Energy (proportion of total expenditure) for LA
337,CFR_21,PT1920CAT5LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2019-20 Total Expenditure (proportion of total expenditure) for LA
338,CFR_21,PT2021CAT1,,,,,,50%,45%,,45%,,,44%,,49%,,,,43%,,52%,41%,41%,,,49%,,50%,41%,,,,48%,,42%,,,53%,,56%,45%,55%,,65%,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure)
339,CFR_21,PT2021CAT2,,,,,,1%,0%,,3%,,,0%,,4%,,,,1%,,1%,0%,3%,,,2%,,0%,3%,,,,0%,,5%,,,1%,,0%,0%,1%,,2%,,,,,,,,,,2020-21 Supply Staff Costs (proportion of total expenditure)
340,CFR_21,PT2021CAT3,,,,,,14%,8%,,7%,,,8%,,8%,,,,10%,,7%,6%,9%,,,10%,,20%,11%,,,,6%,,9%,,,6%,,11%,9%,6%,,9%,,,,,,,,,,2020-21 Back Office (proportion of total expenditure)
341,CFR_21,PT2021CAT4,,,,,,1%,1%,,1%,,,1%,,1%,,,,1%,,1%,1%,1%,,,1%,,1%,1%,,,,2%,,1%,,,1%,,1%,1%,1%,,2%,,,,,,,,,,2020-21 Energy (proportion of total expenditure)
342,CFR_21,PT2021CAT5,,,,,,100%,100%,,100%,,,100%,,100%,,,,100%,,100%,100%,100%,,,100%,,100%,100%,,,,100%,,100%,,,100%,,100%,100%,100%,,100%,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure)
343,CFR_21,PT2021CAT1LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
344,CFR_21,PT2021CAT2LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2020-21 Supply Staff Costs (proportion of total expenditure) for LA
345,CFR_21,PT2021CAT3LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2020-21 Back Office (proportion of total expenditure) for LA
346,CFR_21,PT2021CAT4LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2020-21 Energy (proportion of total expenditure) for LA
347,CFR_21,PT2021CAT5LA,,,,,,NA,NA,,NA,,,NA,,NA,,,,NA,,NA,NA,NA,,,NA,,NA,NA,,,,NA,,NA,,,NA,,NA,NA,NA,,NA,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure) for LA
348,CFR_21,PDCAT1,,,,,,4%,3%,,3%,,,3%,,1%,,,,1%,,2%,1%,2%,,,1%,,3%,2%,,,,2%,,2%,,,2%,,3%,5%,3%,,6%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
349,CFR_21,PDCAT2,,,,,,0%,-2%,,0%,,,-2%,,-2%,,,,-4%,,0%,0%,2%,,,1%,,-1%,2%,,,,-1%,,0%,,,0%,,-2%,0%,0%,,-3%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
350,CFR_21,PDCAT3,,,,,,0%,1%,,1%,,,2%,,0%,,,,-1%,,0%,0%,-1%,,,0%,,-1%,3%,,,,0%,,1%,,,0%,,1%,1%,1%,,1%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
351,CFR_21,PDCAT4,,,,,,0%,-2%,,-1%,,,0%,,0%,,,,0%,,0%,0%,0%,,,0%,,0%,-1%,,,,1%,,0%,,,0%,,0%,0%,0%,,0%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
352,CFR_21,PDCAT5,,,,,,0%,0%,,0%,,,0%,,0%,,,,0%,,0%,0%,0%,,,0%,,0%,0%,,,,0%,,0%,,,0%,,0%,0%,0%,,0%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
353,CFR_19,LONDONORNONLONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,ABS_19,LA,333,330,,332,,330,937,,333,333,330,335,937,335,330,332,333,335,332,332,335,335,334,332,885,,330,335,,335,336,335,332,335,332,,885,,860,332,885,333,335,335,335,332,,335,,,,,Local Authority Number
355,ABS_19,ESTAB,2062,2080,,2012,,3435,3503,,2075,3004,3358,2106,7047,3323,3429,2005,2076,2105,2120,3350,3327,2006,3313,2102,3097,,2462,3304,,2015,3022,2249,3053,2103,2000,,2197,,2277,2112,2921,6909,4606,5405,5403,4003,,4003,,,,,DfE number of establishment within LA
356,ABS_19,URN,140792,139002,,103775,,131920,125707,,103925,140921,141820,104179,145224,104240,139520,144078,140793,104178,143783,103846,135016,104147,136320,142964,116846,,103388,104233,,139435,141825,132073,144418,104176,103771,,116768,,124127,103801,132060,135599,104255,137974,136777,144952,,138374,,,,,School unique Reference Number
357,ABS_19,PERCTOT,4.9,5.2,,3.9,,2.9,4.2,,4.9,3.2,3.6,4.7,8.5,3.3,2.8,5.2,3.8,4.3,3.4,3.3,4.2,4.9,2.8,4.9,3.3,,2.7,2.9,,4.7,3.8,3,5.7,4.4,4.9,,4.1,,3.8,5.9,4.1,5.9,5.7,4.9,5,6.1,,7.4,,,4,5.5,Percentage of overall absence (authorised and unauthorised) for the full 2018/19 academic year.
358,ABS_19,PPERSABS10,12.1,16.9,,7,,3.8,10.3,,12.3,6,3.2,11,23.6,3.8,3.2,10.7,7.2,9.4,3.1,8.1,8,14.2,SUPP,11,3.4,,2.5,SUPP,,11.2,5.5,3.2,16.3,10.3,10.2,,3.8,,5.3,17.1,9.4,16.4,14.1,11.7,16.4,18.1,,21.8,,,8.2,13.7,Percentage of enrolments who are persistent absentees - missing 10% or more of possible sessions across the full 2018/19 academic year.
359,ABS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
360,KS4_PUPDEST_19,RECTYPE,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,7,Record type
361,KS4_PUPDEST_19,LEA,,,,,,,,,,,,,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,335,335,335,,,335,,,,,Local authority number
362,KS4_PUPDEST_19,ESTAB,,,,,,,,,,,,,7047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6909,4606,5405,5403,,,4003,,,,,Establishment number
363,KS4_PUPDEST_19,URN,,,,,,,,,,,,,145224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135599,104255,137974,136777,,,138374,,,,,School Unique Reference Number
364,KS4_PUPDEST_19,ICLOSE,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,,Closed school flag
365,KS4_PUPDEST_19,SCHNAME,,,,,,,,,,,,,Woodlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSA Academy,St Francis of Assisi Catholic Technology College,Aldridge School - A Science College,Queen Mary's High School,,,West Walsall E-ACT Academy,,,,,School name
366,KS4_PUPDEST_19,NFTYPE,,,,,,,,,,,,,ACCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,VA,ACC,ACC,,,AC,,,,,School type
367,KS4_PUPDEST_19,COHORT,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,175,253,97,,,106,,,,528139,Number of pupils completing key stage 4 in 2016/17
368,KS4_PUPDEST_19,OVERALL_DEST,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,170,239,97,,,90,,,,497037,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
369,KS4_PUPDEST_19,APPREN,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,11,0,,,0,,,,22539,Apprenticeships (number of pupils)
370,KS4_PUPDEST_19,EMPLOYMENT,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,8,0,,,1,,,,16570,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
371,KS4_PUPDEST_19,EDUCATION,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,158,220,97,,,89,,,,457928,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
372,KS4_PUPDEST_19,FE,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,56,107,5,,,42,,,,194858,Further education (number of pupils)
373,KS4_PUPDEST_19,SCH_6TH,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,102,109,87,,,45,,,,196140,School sixth form (number of pupils)
374,KS4_PUPDEST_19,SIXTH_COL,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,4,,,0,,,,56382,Sixth form college (number of pupils)
375,KS4_PUPDEST_19,OTHER_EDU,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,1,,,2,,,,10548,Other education destination (number of pupils)
376,KS4_PUPDEST_19,NOT_SUSTAINED,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,7,0,,,10,,,,26414,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
377,KS4_PUPDEST_19,UNKNOWN,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,0,,,6,,,,4688,Activity not captured (number of pupils)
378,KS4_PUPDEST_19,OVERALL_DESTPER,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92%,97%,94%,100%,,,85%,,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
379,KS4_PUPDEST_19,APPRENPER,,,,,,,,,,,,,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,3%,4%,0%,,,0%,,,,4%,Apprenticeships (percentage)
380,KS4_PUPDEST_19,EMPLOYMENTPER,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,3%,3%,0%,,,1%,,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
381,KS4_PUPDEST_19,EDUCATIONPER,,,,,,,,,,,,,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77%,90%,87%,100%,,,84%,,,,87%,Pupils staying in education for at least two terms after key stage 4 (percentage)
382,KS4_PUPDEST_19,FEPER,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41%,32%,42%,5%,,,40%,,,,37%,Further education (percentage)
383,KS4_PUPDEST_19,SCH_6THPER,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,58%,43%,90%,,,42%,,,,37%,School sixth form (percentage)
384,KS4_PUPDEST_19,SIXTH_COLPER,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,0%,SP,4%,,,0%,,,,11%,Sixth form college (percentage)
385,KS4_PUPDEST_19,OTHER_EDUPER,,,,,,,,,,,,,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,0%,1%,1%,,,2%,,,,2%,Other education destination (percentage)
386,KS4_PUPDEST_19,NOT_SUSTAINEDPER,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,3%,3%,0%,,,9%,,,,5%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
387,KS4_PUPDEST_19,UNKNOWNPER,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,0%,3%,0%,,,6%,,,,1%,Activity not captured (percentage)
388,KS4_PUPDEST_19,COHORT_DIS,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,32,89,8,,,63,,,,142045,Number of disadvantaged pupils completing key stage 4 in 2016/17
389,KS4_PUPDEST_19,OVERALL_DEST_DIS,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,31,78,8,,,53,,,,125685,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
390,KS4_PUPDEST_19,APPREN_DIS,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,4,0,,,0,,,,4567,Apprenticeships (number of pupils)
391,KS4_PUPDEST_19,EMPLOYMENT_DIS,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,1,,,,6301,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
392,KS4_PUPDEST_19,EDUCATION_DIS,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,31,69,8,,,52,,,,114817,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
393,KS4_PUPDEST_19,FE_DIS,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,14,48,0,,,26,,,,63237,Further education (number of pupils)
394,KS4_PUPDEST_19,SCH_6TH_DIS,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,19,SUPP,,,24,,,,35282,School sixth form (number of pupils)
395,KS4_PUPDEST_19,SIXTH_COL_DIS,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,SUPP,,,0,,,,12078,Sixth form college (number of pupils)
396,KS4_PUPDEST_19,OTHER_EDU_DIS,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,0,,,2,,,,4220,Other education destination (number of pupils)
