No,Namespace,Variable,Mayfield School - 103619,St John's & St Peter's CofE Academy - 138883,St Edmund's Catholic Primary School - 103440,West House School - 103575,Percy Shurmer Academy - 138410,St Francis Catholic Primary School - 103437,Anglesey Primary School - 132074,Adderley Primary School - 103159,Prince Albert Junior and Infant School - 142230,Mansfield Green E-ACT Academy - 138998,The Oratory Roman Catholic Primary School - 103427,Wyndcliffe Primary School - 141319,Christ Church CofE Controlled Primary School and Nursery - 103397,St George's School Edgbaston - 103564,Heath Mount Primary School - 103333,St Clement's Church of England Academy - 138432,The Lambs Christian School - 134091,St George's Church of England Primary School - 139267,The Wisdom Academy - 135882,St Patrick's Catholic Primary School - 103439,Manor Park Primary Academy - 141977,St Saviour's C of E Primary School - 103406,Al-Hijrah School - 133306,Iqra Girls High School - 145186,Ladypool Primary School - 103265,Heathfield Primary School - 142231,Hallfield School - 103568,Barford Primary School - 103162,Priory School - 103566,Holte School - 103509,Hazrat Khadijatul Kubra Girls School - 136123,Birmingham Independent College - 143418,Heritage Academy - 147038,King Edward VI Aston School - 137043,Mander Portman Woodward Independent College - 103587,Orion School - 147234,Future First Independent School - 135422,Green Heath School - 135688,R.Y.A.N Education Academy - 139706,Hopwood Hall School - 146780,Holy Trinity Catholic School - 103538,Holy Trinity Catholic School - 144719,Bordesley Green Girls' School & Sixth Form - 103493,Birchfield Independent Girls' School - 103591,Al Huda Girls' School - 103595,Small Heath Leadership Academy - 144464,Redstone Academy for Girls - 148157,Redstone  Academy for Boys - 137560,BOA Stage and Screen Production Academy - 148635,Joseph Chamberlain Sixth Form College - 130468,National state-funded primary,National state-funded secondary and 16 to 18,Description
410,KS4_PUPDEST_19,OVERALL_DEST_NONDIS,6,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,60,,,,84,,,,,,,37,,46,,,,,,,,,371352,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
411,KS4_PUPDEST_19,APPREN_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,1,,,,,,,1,,1,,,,,,,,,17972,Apprenticeships (number of pupils)
412,KS4_PUPDEST_19,EMPLOYMENT_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,0,,,,,,,0,,0,,,,,,,,,10269,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
413,KS4_PUPDEST_19,EDUCATION_NONDIS,6,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,59,,,,83,,,,,,,36,,45,,,,,,,,,343111,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
414,KS4_PUPDEST_19,FE_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,12,,,,4,,,,,,,25,,SUPP,,,,,,,,,131621,Further education (number of pupils)
415,KS4_PUPDEST_19,SCH_6TH_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,38,,,,77,,,,,,,4,,33,,,,,,,,,160858,School sixth form (number of pupils)
416,KS4_PUPDEST_19,SIXTH_COL_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,9,,,,0,,,,,,,7,,SUPP,,,,,,,,,44304,Sixth form college (number of pupils)
417,KS4_PUPDEST_19,OTHER_EDU_NONDIS,6,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,0,,,,2,,,,,,,0,,SUPP,,,,,,,,,6328,Other education destination (number of pupils)
418,KS4_PUPDEST_19,NOT_SUSTAINED_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,8,,,,0,,,,,,,2,,0,,,,,,,,,11967,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
419,KS4_PUPDEST_19,UNKNOWN_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,0,,,,,,,3,,1,,,,,,,,,2775,Activity not captured (number of pupils)
420,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS,100%,,,,,,,,,,,,,,,,,,,,,,96%,,,,,,,87%,,,,100%,,,,,,,88%,,98%,,,,,,,,,96%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
421,KS4_PUPDEST_19,APPRENPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,0%,,,,1%,,,,,,,2%,,2%,,,,,,,,,5%,Apprenticeships (percentage)
422,KS4_PUPDEST_19,EMPLOYMENTPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,1%,,,,0%,,,,,,,0%,,0%,,,,,,,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
423,KS4_PUPDEST_19,EDUCATIONPER_NONDIS,100%,,,,,,,,,,,,,,,,,,,,,,96%,,,,,,,86%,,,,99%,,,,,,,86%,,96%,,,,,,,,,89%,Pupils staying in education for at least two terms after key stage 4 (percentage)
424,KS4_PUPDEST_19,FEPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,31%,,,,,,,17%,,,,5%,,,,,,,60%,,SUPP,,,,,,,,,34%,Further education (percentage)
425,KS4_PUPDEST_19,SCH_6THPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,49%,,,,,,,55%,,,,92%,,,,,,,10%,,70%,,,,,,,,,42%,School sixth form (percentage)
426,KS4_PUPDEST_19,SIXTH_COLPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,13%,,,,0%,,,,,,,17%,,SUPP,,,,,,,,,11%,Sixth form college (percentage)
427,KS4_PUPDEST_19,OTHER_EDUPER_NONDIS,100%,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,0%,,,,2%,,,,,,,0%,,SUPP,,,,,,,,,2%,Other education destination (percentage)
428,KS4_PUPDEST_19,NOT_SUSTAINEDPER_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,12%,,,,0%,,,,,,,5%,,0%,,,,,,,,,3%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
429,KS4_PUPDEST_19,UNKNOWNPER_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,4%,,,,,,,1%,,,,0%,,,,,,,7%,,2%,,,,,,,,,1%,Activity not captured (percentage)
430,KS4_PUPDEST_19,COHORT_18,18,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,185,,,,106,,,,,,,109,,120,,,,,,,,,541121,Number of pupils completing key stage 4 in 2016/17
431,KS4_PUPDEST_19,OVERALL_DESTPER_18,94%,,,,,,,,,,,,,,,,,,,,,,93%,,,,,,,95%,,,,100%,,,,,,,90%,,99%,,,,,,,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
432,KS4_PUPDEST_19,COHORT_DIS_18,12,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,119,,,,19,,,,,,,61,,59,,,,,,,,,148779,Number of disadvantaged pupils completing key stage 4 in 2016/17
433,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_18,92%,,,,,,,,,,,,,,,,,,,,,,89%,,,,,,,94%,,,,100%,,,,,,,90%,,98%,,,,,,,,,88%,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
434,KS4_PUPDEST_19,COHORT_NONDIS_18,6,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,66,,,,87,,,,,,,48,,61,,,,,,,,,392342,Number of pupils not identified as disadvantaged completing key stage 4 in 2016/17
435,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_18,100%,,,,,,,,,,,,,,,,,,,,,,96%,,,,,,,95%,,,,100%,,,,,,,90%,,100%,,,,,,,,,96%,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
436,KS4_PUPDEST_19,COHORT_17,13,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,183,,,,104,,,,,,,117,,120,,,,,,,,,553912,
437,KS4_PUPDEST_19,OVERALL_DESTPER_17,100%,,,,,,,,,,,,,,,,,,,,,,91%,,,,,,,94%,,,,98%,,,,,,,86%,,98%,,,,,,,,,94%,
438,KS4_PUPDEST_19,COHORT_DIS_17,SUPP,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,156,,,,12,,,,,,,63,,71,,,,,,,,,151401,
439,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_17,SUPP,,,,,,,,,,,,,,,,,,,,,,91%,,,,,,,95%,,,,100%,,,,,,,84%,,97%,,,,,,,,,88%,
440,KS4_PUPDEST_19,COHORT_NONDIS_17,SUPP,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,27,,,,92,,,,,,,54,,49,,,,,,,,,402511,
441,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_17,SUPP,,,,,,,,,,,,,,,,,,,,,,91%,,,,,,,89%,,,,98%,,,,,,,89%,,98%,,,,,,,,,96%,
442,KS4_PUPDEST_21,RECTYPE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,Record type
443,KS4_PUPDEST_21,LEA,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,330,,,,,,,,,330,,,330,,,,,,,Local authority number
444,KS4_PUPDEST_21,ESTAB,7040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223,,,,5408,,,,,,,,,4115,,,4025,,,,,,,Establishment number
445,KS4_PUPDEST_21,URN,103619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103509,,,,137043,,,,,,,,,103493,,,144464,,,,,,,School Unique Reference Number
446,KS4_PUPDEST_21,ICLOSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,0,,,0,,,,,,,Closed school flag
447,KS4_PUPDEST_21,SCHNAME,Mayfield School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holte School,,,,King Edward VI Aston School,,,,,,,,,Bordesley Green Girls' School & Sixth Form,,,Small Heath Leadership Academy,,,,,,,School name
448,KS4_PUPDEST_21,NFTYPE,CYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CY,,,,ACC,,,,,,,,,CY,,,AC,,,,,,,School type
449,KS4_PUPDEST_21,COHORT,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,120,,,,,,,,,122,,,203,,,,,,,Number of pupils completing key stage 4 in 2016/17
450,KS4_PUPDEST_21,OVERALL_DEST,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,119,,,,,,,,,117,,,189,,,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
451,KS4_PUPDEST_21,APPREN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,0,,,1,,,,,,,Apprenticeships (number of pupils)
452,KS4_PUPDEST_21,EMPLOYMENT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,1,,,2,,,,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
453,KS4_PUPDEST_21,EDUCATION,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,119,,,,,,,,,116,,,186,,,,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
454,KS4_PUPDEST_21,FE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,3,,,,,,,,,16,,,85,,,,,,,Further education (number of pupils)
455,KS4_PUPDEST_21,SCH_6TH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,112,,,,,,,,,86,,,20,,,,,,,School sixth form (number of pupils)
456,KS4_PUPDEST_21,SIXTH_COL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,2,,,,,,,,,14,,,81,,,,,,,Sixth form college (number of pupils)
457,KS4_PUPDEST_21,OTHER_EDU,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,0,,,0,,,,,,,Other education destination (number of pupils)
458,KS4_PUPDEST_21,NOT_SUSTAINED,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,1,,,,,,,,,5,,,11,,,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
459,KS4_PUPDEST_21,UNKNOWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,0,,,,,,,,,0,,,3,,,,,,,Activity not captured (number of pupils)
460,KS4_PUPDEST_21,OVERALL_DESTPER,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92%,,,,99%,,,,,,,,,96%,,,93%,,,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
461,KS4_PUPDEST_21,APPRENPER,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,,0%,,,,,,,,,0%,,,SP,,,,,,,Apprenticeships (percentage)
462,KS4_PUPDEST_21,EMPLOYMENTPER,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,1%,,,1%,,,,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
463,KS4_PUPDEST_21,EDUCATIONPER,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91%,,,,99%,,,,,,,,,95%,,,92%,,,,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
464,KS4_PUPDEST_21,FEPER,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,3%,,,,,,,,,13%,,,42%,,,,,,,Further education (percentage)
465,KS4_PUPDEST_21,SCH_6THPER,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47%,,,,93%,,,,,,,,,70%,,,10%,,,,,,,School sixth form (percentage)
466,KS4_PUPDEST_21,SIXTH_COLPER,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,,,2%,,,,,,,,,11%,,,40%,,,,,,,Sixth form college (percentage)
467,KS4_PUPDEST_21,OTHER_EDUPER,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,,2%,,,,,,,,,0%,,,0%,,,,,,,Other education destination (percentage)
468,KS4_PUPDEST_21,NOT_SUSTAINEDPER,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,1%,,,,,,,,,4%,,,5%,,,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
469,KS4_PUPDEST_21,UNKNOWNPER,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,,,0%,,,,,,,,,0%,,,1%,,,,,,,Activity not captured (percentage)
470,KS4_PUPDEST_21,COHORT_DIS,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,19,,,,,,,,,59,,,117,,,,,,,Number of disadvantaged pupils completing key stage 4 in 2016/17
471,KS4_PUPDEST_21,OVERALL_DEST_DIS,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,SUPP,,,,,,,,,56,,,108,,,,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
472,KS4_PUPDEST_21,APPREN_DIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0,,,,,,,,,0,,,SUPP,,,,,,,Apprenticeships (number of pupils)
473,KS4_PUPDEST_21,EMPLOYMENT_DIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
474,KS4_PUPDEST_21,EDUCATION_DIS,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
475,KS4_PUPDEST_21,FE_DIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,SUPP,,,,,,,,,8,,,46,,,,,,,Further education (number of pupils)
476,KS4_PUPDEST_21,SCH_6TH_DIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,17,,,,,,,,,42,,,SUPP,,,,,,,School sixth form (number of pupils)
477,KS4_PUPDEST_21,SIXTH_COL_DIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,0,,,,,,,,,SUPP,,,46,,,,,,,Sixth form college (number of pupils)
478,KS4_PUPDEST_21,OTHER_EDU_DIS,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0,,,,,,,,,0,,,0,,,,,,,Other education destination (number of pupils)
479,KS4_PUPDEST_21,NOT_SUSTAINED_DIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,SUPP,,,,,,,,,3,,,SUPP,,,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
480,KS4_PUPDEST_21,UNKNOWN_DIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,0,,,SUPP,,,,,,,Activity not captured (number of pupils)
481,KS4_PUPDEST_21,OVERALL_DESTPER_DIS,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93%,,,,SUPP,,,,,,,,,95%,,,92%,,,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
482,KS4_PUPDEST_21,APPRENPER_DIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0%,,,,,,,,,0%,,,SUPP,,,,,,,Apprenticeships (percentage)
483,KS4_PUPDEST_21,EMPLOYMENTPER_DIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
484,KS4_PUPDEST_21,EDUCATIONPER_DIS,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
485,KS4_PUPDEST_21,FEPER_DIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,SUPP,,,,,,,,,14%,,,39%,,,,,,,Further education (percentage)
486,KS4_PUPDEST_21,SCH_6THPER_DIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,89%,,,,,,,,,71%,,,SUPP,,,,,,,School sixth form (percentage)
487,KS4_PUPDEST_21,SIXTH_COLPER_DIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,,0%,,,,,,,,,SUPP,,,39%,,,,,,,Sixth form college (percentage)
488,KS4_PUPDEST_21,OTHER_EDUPER_DIS,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0%,,,,,,,,,0%,,,0%,,,,,,,Other education destination (percentage)
489,KS4_PUPDEST_21,NOT_SUSTAINEDPER_DIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,SUPP,,,,,,,,,5%,,,SUPP,,,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
490,KS4_PUPDEST_21,UNKNOWNPER_DIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,0%,,,SUPP,,,,,,,Activity not captured (percentage)
491,KS4_PUPDEST_21,COHORT_NONDIS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,101,,,,,,,,,63,,,86,,,,,,,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17
492,KS4_PUPDEST_21,OVERALL_DEST_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,SUPP,,,,,,,,,61,,,81,,,,,,,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
493,KS4_PUPDEST_21,APPREN_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0,,,,,,,,,0,,,SUPP,,,,,,,Apprenticeships (number of pupils)
494,KS4_PUPDEST_21,EMPLOYMENT_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
495,KS4_PUPDEST_21,EDUCATION_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
496,KS4_PUPDEST_21,FE_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,SUPP,,,,,,,,,8,,,39,,,,,,,Further education (number of pupils)
497,KS4_PUPDEST_21,SCH_6TH_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,95,,,,,,,,,44,,,SUPP,,,,,,,School sixth form (number of pupils)
498,KS4_PUPDEST_21,SIXTH_COL_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,,,,,,,,,SUPP,,,35,,,,,,,Sixth form college (number of pupils)
499,KS4_PUPDEST_21,OTHER_EDU_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,2,,,,,,,,,0,,,0,,,,,,,Other education destination (number of pupils)
500,KS4_PUPDEST_21,NOT_SUSTAINED_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,SUPP,,,,,,,,,2,,,SUPP,,,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
501,KS4_PUPDEST_21,UNKNOWN_NONDIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,0,,,,,,,,,0,,,SUPP,,,,,,,Activity not captured (number of pupils)
502,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89%,,,,SUPP,,,,,,,,,97%,,,94%,,,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
503,KS4_PUPDEST_21,APPRENPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0%,,,,,,,,,0%,,,SUPP,,,,,,,Apprenticeships (percentage)
504,KS4_PUPDEST_21,EMPLOYMENTPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
505,KS4_PUPDEST_21,EDUCATIONPER_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,SUPP,,,SUPP,,,,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
506,KS4_PUPDEST_21,FEPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,,,,SUPP,,,,,,,,,13%,,,45%,,,,,,,Further education (percentage)
507,KS4_PUPDEST_21,SCH_6THPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,,,,94%,,,,,,,,,70%,,,SUPP,,,,,,,School sixth form (percentage)
508,KS4_PUPDEST_21,SIXTH_COLPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,,2%,,,,,,,,,SUPP,,,41%,,,,,,,Sixth form college (percentage)
509,KS4_PUPDEST_21,OTHER_EDUPER_NONDIS,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,2%,,,,,,,,,0%,,,0%,,,,,,,Other education destination (percentage)
510,KS4_PUPDEST_21,NOT_SUSTAINEDPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,SUPP,,,,,,,,,3%,,,SUPP,,,,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
511,KS4_PUPDEST_21,UNKNOWNPER_NONDIS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,0%,,,,,,,,,0%,,,SUPP,,,,,,,Activity not captured (percentage)
512,KS4_PUPDEST_21,COHORT_19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,106,,,,,,,,,123,,,NA,,,,,,,Number of pupils completing key stage 4 in 2017/18
513,KS4_PUPDEST_21,OVERALL_DESTPER_19,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93%,,,,98%,,,,,,,,,98%,,,NA,,,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
514,KS4_PUPDEST_21,COHORT_DIS_19,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,27,,,,,,,,,57,,,NA,,,,,,,Number of disadvantaged pupils completing key stage 4 in 2017/18
515,KS4_PUPDEST_21,OVERALL_DESTPER_DIS_19,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92%,,,,100%,,,,,,,,,98%,,,NA,,,,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
516,KS4_PUPDEST_21,COHORT_NONDIS_19,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,79,,,,,,,,,66,,,NA,,,,,,,Number of pupils not identified as disadvantaged completing key stage 4 in 2017/18
517,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS_19,SUPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93%,,,,97%,,,,,,,,,98%,,,NA,,,,,,,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
518,KS4_PUPDEST_21,COHORT_18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,104,,,,,,,,,116,,,NA,,,,,,,Number of pupils completing key stage 4 in 2016/17
519,KS4_PUPDEST_21,OVERALL_DESTPER_18,94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89%,,,,99%,,,,,,,,,99%,,,NA,,,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
520,KS4_PUPDEST_21,COHORT_DIS_18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,20,,,,,,,,,69,,,NA,,,,,,,Number of disadvantaged pupils completing key stage 4 in 2016/17
521,KS4_PUPDEST_21,OVERALL_DESTPER_DIS_18,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,,,,95%,,,,,,,,,100%,,,NA,,,,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
522,KS4_PUPDEST_21,COHORT_NONDIS_18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,84,,,,,,,,,47,,,NA,,,,,,,Number of pupils not identified as disadvantaged completing key stage 4 in 2016/17
523,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS_18,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87%,,,,100%,,,,,,,,,98%,,,NA,,,,,,,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
524,KS5_STUDEST_19,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,1,,7,Record type
525,KS5_STUDEST_19,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,330,,,,,,,,,330,,,,,,,330,,,Local authority number
526,KS5_STUDEST_19,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223,,,,5408,,,,,,,,,4115,,,,,,,8600,,,Establishment number
527,KS5_STUDEST_19,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103509,,,,137043,,,,,,,,,103493,,,,,,,130468,,,Unique Reference Number of establishment
