No,Namespace,Variable,Grestone Academy - 139904,Blakesley Hall Primary School - 103300,Crocketts Community Primary School - 103941,St Peters CofE Primary School - 134476,Stechford Primary School - 103262,Corpus Christi Catholic Primary School - 103424,Galton Valley Primary School - 135288,Water Mill Primary School - 103326,St Bernard's Catholic Primary School - 103462,The Regis Academy - 148359,Dorrington Academy - 138218,Featherstone Primary School - 103318,Raddlebarn Primary School - 103246,Uplands Manor Primary School and Nursery - 131184,St Dunstan's Catholic Primary School - 103455,Hodge Hill Primary School - 143869,St Gregory's Catholic Primary School - 141924,Yarnfield Primary School - 139378,Yorkmead Junior and Infant School - 103284,Cherry Oak School - 103626,Wilson Stuart School - 138281,Birches Green Junior School - 103168,Birches Green Infant School - 103169,Birches Green Junior School - 148887,Our Lady of Fatima Catholic Primary School - 141484,Beaufort School - 103627,Yardley Primary School - 133996,Abbey Infant School - 103930,Saint Barnabas Church of England Primary School - 103412,Saint Barnabas Church of England Primary School - 147478,Abbey Junior School - 103929,St Margaret Mary RC Junior and Infant School - 103453,St Mary's Church of England Primary School - 103410,Tame Valley Academy - 139011,Colebourne Primary School - 103263,Riverside Education - 142338,Oscott Manor School - 103628,Hodge Hill College - 103503,St John Wall Catholic School - 103534,Selly Park  Girls' School - 103498,Braidwood School for the Deaf - 103611,Bishop Challoner Catholic College - 103560,Hodge Hill Girls' School - 103483,Baskerville School - 103606,Al-Burhan Grammar School - 134034,North Birmingham Academy - 136032,Sandwell Academy - 134993,King Edward VI Camp Hill School for Girls - 137044,King Edward VI Camp Hill School for Boys - 137045,Imedia School - 143040,National state-funded primary,National state-funded secondary and 16 to 18,Description
409,KS4_PUPDEST_19,COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,97,55,60,SUPP,123,97,6,,62,139,109,85,,,386094,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17
410,KS4_PUPDEST_19,OVERALL_DEST_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,87,49,59,SUPP,118,89,6,,57,134,109,83,,,371352,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
411,KS4_PUPDEST_19,APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,2,2,0,SUPP,1,2,0,,1,12,0,0,,,17972,Apprenticeships (number of pupils)
412,KS4_PUPDEST_19,EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,0,0,0,SUPP,2,0,0,,0,4,0,0,,,10269,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
413,KS4_PUPDEST_19,EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,85,47,59,SUPP,115,87,6,,56,118,109,83,,,343111,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
414,KS4_PUPDEST_19,FE_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,47,28,12,SUPP,26,32,1,,34,38,9,SUPP,,,131621,Further education (number of pupils)
415,KS4_PUPDEST_19,SCH_6TH_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,13,19,9,SUPP,86,SUPP,0,,21,66,97,SUPP,,,160858,School sixth form (number of pupils)
416,KS4_PUPDEST_19,SIXTH_COL_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,25,0,38,SUPP,SUPP,27,0,,1,12,0,0,,,44304,Sixth form college (number of pupils)
417,KS4_PUPDEST_19,OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,0,0,0,SUPP,SUPP,SUPP,5,,0,2,3,2,,,6328,Other education destination (number of pupils)
418,KS4_PUPDEST_19,NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,9,2,0,SUPP,5,6,0,,5,5,0,1,,,11967,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
419,KS4_PUPDEST_19,UNKNOWN_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,1,4,1,SUPP,0,2,0,,0,0,0,1,,,2775,Activity not captured (number of pupils)
420,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,90%,89%,98%,SUPP,96%,92%,100%,,92%,96%,100%,98%,,,96%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
421,KS4_PUPDEST_19,APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,2%,4%,0%,SUPP,1%,2%,0%,,2%,9%,0%,0%,,,5%,Apprenticeships (percentage)
422,KS4_PUPDEST_19,EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,0%,0%,0%,SUPP,2%,0%,0%,,0%,3%,0%,0%,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
423,KS4_PUPDEST_19,EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,88%,85%,98%,SUPP,93%,90%,100%,,90%,85%,100%,98%,,,89%,Pupils staying in education for at least two terms after key stage 4 (percentage)
424,KS4_PUPDEST_19,FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,48%,51%,20%,SUPP,21%,33%,17%,,55%,27%,8%,SUPP,,,34%,Further education (percentage)
425,KS4_PUPDEST_19,SCH_6THPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,13%,35%,15%,SUPP,70%,SUPP,0%,,34%,47%,89%,SUPP,,,42%,School sixth form (percentage)
426,KS4_PUPDEST_19,SIXTH_COLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,26%,0%,63%,SUPP,SUPP,28%,0%,,2%,9%,0%,0%,,,11%,Sixth form college (percentage)
427,KS4_PUPDEST_19,OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,0%,0%,0%,SUPP,SUPP,SUPP,83%,,0%,1%,3%,2%,,,2%,Other education destination (percentage)
428,KS4_PUPDEST_19,NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,9%,4%,0%,SUPP,4%,6%,0%,,8%,4%,0%,1%,,,3%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
429,KS4_PUPDEST_19,UNKNOWNPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,1%,7%,2%,SUPP,0%,2%,0%,,0%,0%,0%,1%,,,1%,Activity not captured (percentage)
430,KS4_PUPDEST_19,COHORT_18,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,20,214,129,134,13,177,150,14,,164,183,119,93,,,541121,Number of pupils completing key stage 4 in 2016/17
431,KS4_PUPDEST_19,OVERALL_DESTPER_18,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,100%,90%,93%,96%,92%,95%,95%,100%,,90%,98%,100%,100%,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
432,KS4_PUPDEST_19,COHORT_DIS_18,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,14,110,74,80,SUPP,45,57,8,,117,48,15,7,,,148779,Number of disadvantaged pupils completing key stage 4 in 2016/17
433,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_18,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,100%,88%,91%,98%,SUPP,93%,91%,100%,,88%,94%,100%,100%,,,88%,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
434,KS4_PUPDEST_19,COHORT_NONDIS_18,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,6,104,55,54,SUPP,132,93,6,,47,135,104,86,,,392342,Number of pupils not identified as disadvantaged completing key stage 4 in 2016/17
435,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_18,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,100%,91%,96%,94%,SUPP,95%,97%,100%,,96%,100%,100%,100%,,,96%,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
436,KS4_PUPDEST_19,COHORT_17,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,9,206,123,137,6,174,148,14,,131,183,118,93,,,553912,
437,KS4_PUPDEST_19,OVERALL_DESTPER_17,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,100%,90%,92%,98%,100%,95%,93%,100%,,87%,98%,99%,98%,,,94%,
438,KS4_PUPDEST_19,COHORT_DIS_17,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,SUPP,111,71,79,SUPP,55,52,SUPP,,90,42,15,SUPP,,,151401,
439,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_17,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,SUPP,86%,90%,97%,SUPP,89%,92%,SUPP,,83%,93%,100%,SUPP,,,88%,
440,KS4_PUPDEST_19,COHORT_NONDIS_17,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,SUPP,95,52,58,SUPP,119,96,SUPP,,41,141,103,SUPP,,,402511,
441,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_17,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,SUPP,95%,94%,98%,SUPP,97%,93%,SUPP,,95%,99%,99%,SUPP,,,96%,
442,KS4_PUPDEST_21,RECTYPE,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,1,1,2,1,1,2,,1,1,1,1,,,,Record type
443,KS4_PUPDEST_21,LEA,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,330,330,330,330,330,330,330,330,,330,333,330,330,,,,Local authority number
444,KS4_PUPDEST_21,ESTAB,,,,,,,,,,,,,,,,,,,,,7031,,,,,,,,,,,,,,,,7053,4201,4625,4177,7030,5413,4015,7016,,6909,6905,5406,5407,,,,Establishment number
445,KS4_PUPDEST_21,URN,,,,,,,,,,,,,,,,,,,,,138281,,,,,,,,,,,,,,,,103628,103503,103534,103498,103611,103560,103483,103606,,136032,134993,137044,137045,,,,School Unique Reference Number
446,KS4_PUPDEST_21,ICLOSE,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,Closed school flag
447,KS4_PUPDEST_21,SCHNAME,,,,,,,,,,,,,,,,,,,,,Wilson Stuart School,,,,,,,,,,,,,,,,Oscott Manor School,Hodge Hill College,St John Wall Catholic School,Selly Park Girls' School,Braidwood School for the Deaf,Bishop Challoner Catholic College,Hodge Hill Girls' School,Baskerville School,,North Birmingham Academy,Sandwell Academy,King Edward VI Camp Hill School for Girls,King Edward VI Camp Hill School for Boys,,,,School name
448,KS4_PUPDEST_21,NFTYPE,,,,,,,,,,,,,,,,,,,,,ACCS,,,,,,,,,,,,,,,,CYS,CY,VA,CY,FDS,VA,CY,FDS,,AC,AC,ACC,ACC,,,,School type
449,KS4_PUPDEST_21,COHORT,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,14,233,108,134,11,202,147,18,,158,181,147,118,,,,Number of pupils completing key stage 4 in 2016/17
450,KS4_PUPDEST_21,OVERALL_DEST,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,13,215,100,127,11,194,141,18,,141,176,147,118,,,,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
451,KS4_PUPDEST_21,APPREN,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,1,1,2,0,5,3,0,,4,16,0,0,,,,Apprenticeships (number of pupils)
452,KS4_PUPDEST_21,EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,4,1,1,0,1,2,0,,4,2,0,0,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
453,KS4_PUPDEST_21,EDUCATION,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,13,210,98,124,11,188,136,18,,133,158,147,118,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
454,KS4_PUPDEST_21,FE,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,87,65,34,2,55,44,6,,55,82,5,0,,,,Further education (number of pupils)
455,KS4_PUPDEST_21,SCH_6TH,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,29,20,16,0,128,33,0,,78,66,128,116,,,,School sixth form (number of pupils)
456,KS4_PUPDEST_21,SIXTH_COL,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,93,13,74,0,5,58,0,,0,10,5,1,,,,Sixth form college (number of pupils)
457,KS4_PUPDEST_21,OTHER_EDU,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,9,1,0,0,9,0,1,12,,0,0,9,1,,,,Other education destination (number of pupils)
458,KS4_PUPDEST_21,NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,14,6,4,0,5,5,0,,16,5,0,0,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
459,KS4_PUPDEST_21,UNKNOWN,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,4,2,3,0,3,1,0,,1,0,0,0,,,,Activity not captured (number of pupils)
460,KS4_PUPDEST_21,OVERALL_DESTPER,,,,,,,,,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,,93%,92%,93%,95%,100%,96%,96%,100%,,89%,97%,100%,100%,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
461,KS4_PUPDEST_21,APPRENPER,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,SP,1%,1%,0%,2%,2%,0%,,3%,9%,0%,0%,,,,Apprenticeships (percentage)
462,KS4_PUPDEST_21,EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,2%,1%,1%,0%,SP,1%,0%,,3%,1%,0%,0%,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
463,KS4_PUPDEST_21,EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,,93%,90%,91%,93%,100%,93%,93%,100%,,84%,87%,100%,100%,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
464,KS4_PUPDEST_21,FEPER,,,,,,,,,,,,,,,,,,,,,11%,,,,,,,,,,,,,,,,29%,37%,60%,25%,18%,27%,30%,33%,,35%,45%,3%,0%,,,,Further education (percentage)
465,KS4_PUPDEST_21,SCH_6THPER,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,12%,19%,12%,0%,63%,22%,0%,,49%,36%,87%,98%,,,,School sixth form (percentage)
466,KS4_PUPDEST_21,SIXTH_COLPER,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,40%,12%,55%,0%,2%,39%,0%,,0%,6%,3%,1%,,,,Sixth form college (percentage)
467,KS4_PUPDEST_21,OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,83%,,,,,,,,,,,,,,,,64%,SP,0%,0%,82%,0%,1%,67%,,0%,0%,6%,1%,,,,Other education destination (percentage)
468,KS4_PUPDEST_21,NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,7%,6%,6%,3%,0%,2%,3%,0%,,10%,3%,0%,0%,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
469,KS4_PUPDEST_21,UNKNOWNPER,,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,0%,2%,2%,2%,0%,1%,1%,0%,,1%,0%,0%,0%,,,,Activity not captured (percentage)
470,KS4_PUPDEST_21,COHORT_DIS,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,11,114,56,71,9,49,69,11,,99,45,15,12,,,,Number of disadvantaged pupils completing key stage 4 in 2016/17
471,KS4_PUPDEST_21,OVERALL_DEST_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,107,53,67,9,43,65,11,,85,44,15,12,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
472,KS4_PUPDEST_21,APPREN_DIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,3,0,0,,,,Apprenticeships (number of pupils)
473,KS4_PUPDEST_21,EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,0,0,0,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
474,KS4_PUPDEST_21,EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,104,52,65,9,41,62,11,,81,41,15,12,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
475,KS4_PUPDEST_21,FE_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,2,47,32,22,SUPP,17,24,4,,33,28,0,0,,,,Further education (number of pupils)
476,KS4_PUPDEST_21,SCH_6TH_DIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,SUPP,13,7,0,22,SUPP,0,,48,11,14,11,,,,School sixth form (number of pupils)
477,KS4_PUPDEST_21,SIXTH_COL_DIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,46,7,36,0,2,23,0,,0,2,0,SUPP,,,,Sixth form college (number of pupils)
478,KS4_PUPDEST_21,OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,SUPP,SUPP,0,0,SUPP,0,SUPP,7,,0,0,1,SUPP,,,,Other education destination (number of pupils)
479,KS4_PUPDEST_21,NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,SUPP,5,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,1,0,0,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
480,KS4_PUPDEST_21,UNKNOWN_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,0,2,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,0,0,0,,,,Activity not captured (number of pupils)
481,KS4_PUPDEST_21,OVERALL_DESTPER_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,94%,95%,94%,100%,88%,94%,100%,,86%,98%,100%,100%,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
482,KS4_PUPDEST_21,APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,7%,0%,0%,,,,Apprenticeships (percentage)
483,KS4_PUPDEST_21,EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,0%,0%,0%,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
484,KS4_PUPDEST_21,EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,91%,93%,92%,100%,84%,90%,100%,,82%,91%,100%,100%,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
485,KS4_PUPDEST_21,FEPER_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,18%,41%,57%,31%,SUPP,35%,35%,36%,,33%,62%,0%,0%,,,,Further education (percentage)
486,KS4_PUPDEST_21,SCH_6THPER_DIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,SUPP,23%,10%,0%,45%,SUPP,0%,,48%,24%,93%,92%,,,,School sixth form (percentage)
487,KS4_PUPDEST_21,SIXTH_COLPER_DIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,40%,13%,51%,0%,4%,33%,0%,,0%,4%,0%,SUPP,,,,Sixth form college (percentage)
488,KS4_PUPDEST_21,OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,89%,,,,,,,,,,,,,,,,SUPP,SUPP,0%,0%,SUPP,0%,SUPP,64%,,0%,0%,7%,SUPP,,,,Other education destination (percentage)
489,KS4_PUPDEST_21,NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,SUPP,4%,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,2%,0%,0%,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
490,KS4_PUPDEST_21,UNKNOWNPER_DIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,0%,2%,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,0%,0%,0%,,,,Activity not captured (percentage)
491,KS4_PUPDEST_21,COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,3,119,52,63,2,153,78,7,,59,136,132,106,,,,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17
492,KS4_PUPDEST_21,OVERALL_DEST_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,108,47,60,SUPP,151,76,7,,56,132,132,106,,,,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
493,KS4_PUPDEST_21,APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,13,0,0,,,,Apprenticeships (number of pupils)
494,KS4_PUPDEST_21,EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,2,0,0,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
495,KS4_PUPDEST_21,EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,106,46,59,SUPP,147,74,7,,52,117,132,106,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
496,KS4_PUPDEST_21,FE_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,40,33,12,SUPP,38,20,2,,22,54,5,0,,,,Further education (number of pupils)
497,KS4_PUPDEST_21,SCH_6TH_NONDIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,SUPP,7,9,0,106,SUPP,0,,30,55,114,105,,,,School sixth form (number of pupils)
498,KS4_PUPDEST_21,SIXTH_COL_NONDIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,47,6,38,0,3,35,0,,0,8,5,SUPP,,,,Sixth form college (number of pupils)
499,KS4_PUPDEST_21,OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,SUPP,SUPP,0,0,SUPP,0,SUPP,5,,0,0,8,SUPP,,,,Other education destination (number of pupils)
500,KS4_PUPDEST_21,NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,SUPP,9,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,4,0,0,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
501,KS4_PUPDEST_21,UNKNOWN_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,0,2,SUPP,SUPP,0,SUPP,SUPP,0,,SUPP,0,0,0,,,,Activity not captured (number of pupils)
502,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,91%,90%,95%,SUPP,99%,97%,100%,,95%,97%,100%,100%,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
503,KS4_PUPDEST_21,APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,10%,0%,0%,,,,Apprenticeships (percentage)
504,KS4_PUPDEST_21,EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,1%,0%,0%,,,,Pupils staying in employment for at least two terms after key stage 4 (percentage)
505,KS4_PUPDEST_21,EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,89%,88%,94%,SUPP,96%,95%,100%,,88%,86%,100%,100%,,,,Pupils staying in education for at least two terms after key stage 4 (percentage)
506,KS4_PUPDEST_21,FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,34%,63%,19%,SUPP,25%,26%,29%,,37%,40%,4%,0%,,,,Further education (percentage)
507,KS4_PUPDEST_21,SCH_6THPER_NONDIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,SUPP,13%,14%,0%,69%,SUPP,0%,,51%,40%,86%,99%,,,,School sixth form (percentage)
508,KS4_PUPDEST_21,SIXTH_COLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,0%,39%,12%,60%,0%,2%,45%,0%,,0%,6%,4%,SUPP,,,,Sixth form college (percentage)
509,KS4_PUPDEST_21,OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,78%,,,,,,,,,,,,,,,,SUPP,SUPP,0%,0%,SUPP,0%,SUPP,71%,,0%,0%,6%,SUPP,,,,Other education destination (percentage)
510,KS4_PUPDEST_21,NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,SUPP,8%,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,3%,0%,0%,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
511,KS4_PUPDEST_21,UNKNOWNPER_NONDIS,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,0%,2%,SUPP,SUPP,0%,SUPP,SUPP,0%,,SUPP,0%,0%,0%,,,,Activity not captured (percentage)
512,KS4_PUPDEST_21,COHORT_19,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,17,226,107,136,10,175,149,13,,149,186,120,95,,,,Number of pupils completing key stage 4 in 2017/18
