No,Namespace,Variable,Hall Green Infant School - 103210,Firs Primary School - 143089,Warren Farm Primary School - 138303,Woodhouse Primary Academy - 139637,Stirchley Primary School - 143433,Lightwoods Primary School - 103947,Hall Green Junior School - 103209,Paganel Primary School - 134281,Billesley Primary School - 138888,Paget Primary School - 103240,Lightwoods Primary Academy - 148333,Audley Primary School - 143437,St Wilfrid's Catholic Junior and Infant School - 103451,St Wilfrid's Catholic Junior and Infant School - 148083,The Oaklands Primary School - 139183,Christ The King Catholic Primary School - 103423,Calshot Primary School - 103391,Hamstead Junior School - 103895,Kingsthorne Primary School - 103368,Ferndale Primary School - 103982,Hamstead Infant School - 103896,Heathlands Primary Academy - 140890,Barr View Primary & Nursery Academy - 138694,Our Lady and St Rose of Lima Catholic Primary School - 103443,Jervoise School - 142353,Allens Croft Primary School - 103243,Woodthorpe Junior and Infant School - 103334,Lyndon Green Junior School - 103228,Yenton Primary School - 133729,Yenton Primary School - 146722,World's End Infant and Nursery School - 103337,World's End Junior School - 103279,Holy Trinity CofE Primary School - 103986,Our Lady of Lourdes Catholic Primary School - 103430,Lyndon Green Infant School - 103229,Lakey Lane Junior and Infant School - 103223,Gunter Primary School - 103208,Moat Farm Junior School - 103948,Moat Farm Infant School - 103949,Bleakhouse Primary School - 103934,George Betts Primary Academy - 139565,Holly Lodge High School College of Science - 104018,Kings Heath Boys - 103486,St Edmund Campion Catholic School & Sixth Form Centre - 103537,St Edmund Campion Catholic School - 147707,Bristnall Hall Academy - 139043,Dame Elizabeth Cadbury School - 143438,Fortis Academy - 143435,Cockshut Hill School - 142388,TLG North Birmingham - 135608,National state-funded primary,National state-funded secondary and 16 to 18,Description
347,CFR_21,PT2021CAT5LA,NA,,,,,NA,NA,NA,,NA,,,NA,,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure) for LA
348,CFR_21,PDCAT1,2%,,,,,1%,10%,10%,,6%,,,4%,,,9%,5%,1%,9%,4%,3%,,,2%,,4%,5%,7%,,,4%,2%,5%,12%,3%,5%,5%,-1%,4%,5%,,3%,9%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
349,CFR_21,PDCAT2,-1%,,,,,2%,0%,-4%,,-2%,,,-3%,,,0%,-1%,-1%,-4%,1%,0%,,,0%,,-3%,0%,-1%,,,-1%,0%,-1%,-3%,-8%,0%,-1%,3%,0%,0%,,-2%,0%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
350,CFR_21,PDCAT3,0%,,,,,2%,-1%,2%,,-1%,,,-2%,,,-4%,-3%,2%,-1%,1%,0%,,,2%,,2%,-8%,0%,,,-1%,2%,2%,-10%,0%,-1%,0%,-1%,-1%,-2%,,3%,1%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
351,CFR_21,PDCAT4,0%,,,,,-1%,0%,0%,,0%,,,0%,,,0%,0%,-1%,0%,-1%,-1%,,,0%,,0%,-1%,1%,,,0%,4%,0%,0%,-1%,0%,0%,-1%,-1%,-1%,,0%,0%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
352,CFR_21,PDCAT5,0%,,,,,0%,0%,0%,,0%,,,0%,,,0%,0%,0%,0%,0%,0%,,,0%,,0%,0%,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
353,CFR_19,LONDONORNONLONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,ABS_19,LA,330,330,330,330,330,333,330,330,330,330,,330,330,,330,330,330,333,330,333,333,330,330,330,330,330,330,330,330,,330,330,333,330,330,330,330,333,333,333,333,333,330,330,,333,330,330,330,,,,Local Authority Number
355,ABS_19,ESTAB,2093,2475,2068,2136,2188,2133,2092,2021,2072,2149,,3412,3359,,2064,3319,2465,2015,2441,2177,2016,2455,2450,3351,2111,2153,2314,2128,2485,,2317,2225,3002,3328,2129,2119,2091,2134,2135,2108,2004,4138,4063,4663,,4129,4129,5403,4022,,,,DfE number of establishment within LA
356,ABS_19,URN,103210,143089,138303,139637,143433,103947,103209,134281,138888,103240,,143437,103451,,139183,103423,103391,103895,103368,103982,103896,140890,138694,103443,142353,103243,103334,103228,133729,,103337,103279,103986,103430,103229,103223,103208,103948,103949,103934,139565,104018,103486,103537,,139043,143438,143435,142388,,,,School unique Reference Number
357,ABS_19,PERCTOT,5,4,3.9,3.7,3.4,2.5,4.2,6,4.4,4.5,,6,5.5,,4.7,4.6,4.5,4.5,5.3,4.2,3.7,5.3,4.9,4.6,5.8,4.1,3.7,4.3,4.9,,3.1,3.6,3.9,3.6,4.3,4.1,4.2,3.5,4.4,3.7,3.4,5.5,5.9,6.5,,4,4.9,8.7,7.9,,4,5.5,Percentage of overall absence (authorised and unauthorised) for the full 2018/19 academic year.
358,ABS_19,PPERSABS10,9.8,8.7,9.2,7.9,6.1,3.7,7.3,19,10.6,9.8,,18.5,17.4,,12.7,9.6,10.1,12.9,19.7,11.6,5.7,14.3,13.8,9.5,16.8,11,5.4,10.3,10.7,,4.7,8,8.5,6.6,6.2,9.1,10.7,4.7,10,9.4,8.3,14.1,13.8,18.2,,8.7,13.9,25.4,22.2,,8.2,13.7,Percentage of enrolments who are persistent absentees - missing 10% or more of possible sessions across the full 2018/19 academic year.
359,ABS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
360,KS4_PUPDEST_19,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,7,Record type
361,KS4_PUPDEST_19,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,330,330,,333,330,330,,,,,Local authority number
362,KS4_PUPDEST_19,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,4063,4663,,4129,4129,5403,,,,,Establishment number
363,KS4_PUPDEST_19,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104018,103486,103537,,139043,143438,143435,,,,,School Unique Reference Number
364,KS4_PUPDEST_19,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,Closed school flag
365,KS4_PUPDEST_19,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holly Lodge High School College of Science,Kings Heath Boys,St Edmund Campion Catholic School & Sixth Form Centre,,Bristnall Hall Academy,Dame Elizabeth Cadbury School,Great Barr Academy,,,,,School name
366,KS4_PUPDEST_19,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FD,CY,VA,,ACC,ACC,ACC,,,,,School type
367,KS4_PUPDEST_19,COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,92,161,,182,117,322,,,,528139,Number of pupils completing key stage 4 in 2016/17
368,KS4_PUPDEST_19,OVERALL_DEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,77,150,,168,105,288,,,,497037,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
369,KS4_PUPDEST_19,APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,7,,4,2,8,,,,22539,Apprenticeships (number of pupils)
370,KS4_PUPDEST_19,EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,6,,3,4,13,,,,16570,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
371,KS4_PUPDEST_19,EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,76,137,,161,99,267,,,,457928,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
372,KS4_PUPDEST_19,FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,50,80,,128,61,152,,,,194858,Further education (number of pupils)
373,KS4_PUPDEST_19,SCH_6TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,5,52,,18,19,102,,,,196140,School sixth form (number of pupils)
374,KS4_PUPDEST_19,SIXTH_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,2,,12,17,7,,,,56382,Sixth form college (number of pupils)
375,KS4_PUPDEST_19,OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,,3,2,6,,,,10548,Other education destination (number of pupils)
376,KS4_PUPDEST_19,NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,9,,9,10,27,,,,26414,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
377,KS4_PUPDEST_19,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,,5,2,7,,,,4688,Activity not captured (number of pupils)
378,KS4_PUPDEST_19,OVERALL_DESTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93%,84%,93%,,92%,90%,89%,,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
379,KS4_PUPDEST_19,APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,1%,4%,,2%,2%,2%,,,,4%,Apprenticeships (percentage)
380,KS4_PUPDEST_19,EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,0%,4%,,2%,3%,4%,,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
381,KS4_PUPDEST_19,EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,83%,85%,,88%,85%,83%,,,,87%,Pupils staying in education for at least two terms after key stage 4 (percentage)
382,KS4_PUPDEST_19,FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,54%,50%,,70%,52%,47%,,,,37%,Further education (percentage)
383,KS4_PUPDEST_19,SCH_6THPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,5%,32%,,10%,16%,32%,,,,37%,School sixth form (percentage)
384,KS4_PUPDEST_19,SIXTH_COLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,23%,1%,,7%,15%,2%,,,,11%,Sixth form college (percentage)
385,KS4_PUPDEST_19,OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SP,0%,2%,,2%,2%,2%,,,,2%,Other education destination (percentage)
386,KS4_PUPDEST_19,NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,15%,6%,,5%,9%,8%,,,,5%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
387,KS4_PUPDEST_19,UNKNOWNPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,1%,1%,,3%,2%,2%,,,,1%,Activity not captured (percentage)
388,KS4_PUPDEST_19,COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,SUPP,74,,76,70,159,,,,142045,Number of disadvantaged pupils completing key stage 4 in 2016/17
389,KS4_PUPDEST_19,OVERALL_DEST_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,SUPP,69,,66,61,136,,,,125685,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
390,KS4_PUPDEST_19,APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SUPP,3,,2,1,5,,,,4567,Apprenticeships (number of pupils)
391,KS4_PUPDEST_19,EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SUPP,4,,1,3,7,,,,6301,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
392,KS4_PUPDEST_19,EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,SUPP,62,,63,57,124,,,,114817,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
393,KS4_PUPDEST_19,FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,SUPP,40,,57,36,75,,,,63237,Further education (number of pupils)
394,KS4_PUPDEST_19,SCH_6TH_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,SUPP,21,,4,11,44,,,,35282,School sixth form (number of pupils)
395,KS4_PUPDEST_19,SIXTH_COL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SUPP,1,,0,SUPP,2,,,,12078,Sixth form college (number of pupils)
396,KS4_PUPDEST_19,OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SUPP,0,,2,SUPP,3,,,,4220,Other education destination (number of pupils)
397,KS4_PUPDEST_19,NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,SUPP,5,,7,8,17,,,,14447,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
398,KS4_PUPDEST_19,UNKNOWN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SUPP,0,,3,1,6,,,,1913,Activity not captured (number of pupils)
399,KS4_PUPDEST_19,OVERALL_DESTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92%,SUPP,93%,,87%,87%,86%,,,,88%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
400,KS4_PUPDEST_19,APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,SUPP,4%,,3%,1%,3%,,,,3%,Apprenticeships (percentage)
401,KS4_PUPDEST_19,EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,SUPP,5%,,1%,4%,4%,,,,4%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
402,KS4_PUPDEST_19,EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88%,SUPP,84%,,83%,81%,78%,,,,81%,Pupils staying in education for at least two terms after key stage 4 (percentage)
403,KS4_PUPDEST_19,FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54%,SUPP,54%,,75%,51%,47%,,,,45%,Further education (percentage)
404,KS4_PUPDEST_19,SCH_6THPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,SUPP,28%,,5%,16%,28%,,,,25%,School sixth form (percentage)
405,KS4_PUPDEST_19,SIXTH_COLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,SUPP,1%,,0%,SUPP,1%,,,,9%,Sixth form college (percentage)
406,KS4_PUPDEST_19,OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,SUPP,0%,,3%,SUPP,2%,,,,3%,Other education destination (percentage)
407,KS4_PUPDEST_19,NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,SUPP,7%,,9%,11%,11%,,,,10%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
408,KS4_PUPDEST_19,UNKNOWNPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,SUPP,0%,,4%,1%,4%,,,,1%,Activity not captured (percentage)
409,KS4_PUPDEST_19,COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,SUPP,87,,106,47,163,,,,386094,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17
410,KS4_PUPDEST_19,OVERALL_DEST_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,SUPP,81,,102,44,152,,,,371352,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
411,KS4_PUPDEST_19,APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SUPP,4,,2,1,3,,,,17972,Apprenticeships (number of pupils)
412,KS4_PUPDEST_19,EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SUPP,2,,2,1,6,,,,10269,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
413,KS4_PUPDEST_19,EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,SUPP,75,,98,42,143,,,,343111,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
414,KS4_PUPDEST_19,FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,SUPP,40,,71,25,77,,,,131621,Further education (number of pupils)
415,KS4_PUPDEST_19,SCH_6TH_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,SUPP,31,,14,8,58,,,,160858,School sixth form (number of pupils)
416,KS4_PUPDEST_19,SIXTH_COL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SUPP,1,,12,SUPP,5,,,,44304,Sixth form college (number of pupils)
417,KS4_PUPDEST_19,OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SUPP,3,,1,SUPP,3,,,,6328,Other education destination (number of pupils)
418,KS4_PUPDEST_19,NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SUPP,4,,2,2,10,,,,11967,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
419,KS4_PUPDEST_19,UNKNOWN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,SUPP,2,,2,1,1,,,,2775,Activity not captured (number of pupils)
420,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94%,SUPP,93%,,96%,94%,93%,,,,96%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
421,KS4_PUPDEST_19,APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,SUPP,5%,,2%,2%,2%,,,,5%,Apprenticeships (percentage)
422,KS4_PUPDEST_19,EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,2%,,2%,2%,4%,,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
423,KS4_PUPDEST_19,EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92%,SUPP,86%,,92%,89%,88%,,,,89%,Pupils staying in education for at least two terms after key stage 4 (percentage)
424,KS4_PUPDEST_19,FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47%,SUPP,46%,,67%,53%,47%,,,,34%,Further education (percentage)
425,KS4_PUPDEST_19,SCH_6THPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,SUPP,36%,,13%,17%,36%,,,,42%,School sixth form (percentage)
426,KS4_PUPDEST_19,SIXTH_COLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,SUPP,1%,,11%,SUPP,3%,,,,11%,Sixth form college (percentage)
427,KS4_PUPDEST_19,OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,3%,,1%,SUPP,2%,,,,2%,Other education destination (percentage)
428,KS4_PUPDEST_19,NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,SUPP,5%,,2%,4%,6%,,,,3%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
429,KS4_PUPDEST_19,UNKNOWNPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,SUPP,2%,,2%,2%,1%,,,,1%,Activity not captured (percentage)
430,KS4_PUPDEST_19,COHORT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,88,172,,186,107,371,,,,541121,Number of pupils completing key stage 4 in 2016/17
431,KS4_PUPDEST_19,OVERALL_DESTPER_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94%,89%,91%,,85%,86%,91%,,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
432,KS4_PUPDEST_19,COHORT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,SUPP,88,,83,58,168,,,,148779,Number of disadvantaged pupils completing key stage 4 in 2016/17
433,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,SUPP,88%,,77%,88%,89%,,,,88%,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
434,KS4_PUPDEST_19,COHORT_NONDIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,SUPP,84,,103,49,203,,,,392342,Number of pupils not identified as disadvantaged completing key stage 4 in 2016/17
435,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99%,SUPP,94%,,91%,84%,93%,,,,96%,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
436,KS4_PUPDEST_19,COHORT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,103,177,,184,104,386,,,,553912,
437,KS4_PUPDEST_19,OVERALL_DESTPER_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,92%,92%,,92%,94%,88%,,,,94%,
438,KS4_PUPDEST_19,COHORT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,71,75,,77,52,173,,,,151401,
439,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86%,92%,85%,,91%,94%,83%,,,,88%,
440,KS4_PUPDEST_19,COHORT_NONDIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,32,102,,107,52,213,,,,402511,
441,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94%,94%,96%,,93%,94%,93%,,,,96%,
442,KS4_PUPDEST_21,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,,,,Record type
443,KS4_PUPDEST_21,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,330,330,,333,330,330,330,,,,Local authority number
444,KS4_PUPDEST_21,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,4063,4663,,4129,4129,5403,4022,,,,Establishment number
445,KS4_PUPDEST_21,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104018,103486,103537,,139043,143438,143435,142388,,,,School Unique Reference Number
446,KS4_PUPDEST_21,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,,,,Closed school flag
447,KS4_PUPDEST_21,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holly Lodge High School College of Science,Kings Heath Boys,St Edmund Campion Catholic School,,Bristnall Hall Academy,Dame Elizabeth Cadbury School,Fortis Academy,Cockshut Hill School,,,,School name
448,KS4_PUPDEST_21,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FD,CY,ACC,,ACC,ACC,ACC,AC,,,,School type
449,KS4_PUPDEST_21,COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,112,166,,179,106,301,191,,,,Number of pupils completing key stage 4 in 2016/17
450,KS4_PUPDEST_21,OVERALL_DEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,107,150,,168,102,254,167,,,,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
451,KS4_PUPDEST_21,APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,,10,5,5,4,,,,Apprenticeships (number of pupils)
452,KS4_PUPDEST_21,EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,4,,4,5,8,4,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
453,KS4_PUPDEST_21,EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,106,142,,154,92,241,159,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
454,KS4_PUPDEST_21,FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,50,63,,120,53,139,98,,,,Further education (number of pupils)
455,KS4_PUPDEST_21,SCH_6TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,12,75,,9,37,86,19,,,,School sixth form (number of pupils)
456,KS4_PUPDEST_21,SIXTH_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,44,2,,23,2,14,39,,,,Sixth form college (number of pupils)
457,KS4_PUPDEST_21,OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,2,0,2,3,,,,Other education destination (number of pupils)
458,KS4_PUPDEST_21,NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,13,,10,4,40,14,,,,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
459,KS4_PUPDEST_21,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,1,0,7,10,,,,Activity not captured (number of pupils)
460,KS4_PUPDEST_21,OVERALL_DESTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%,96%,90%,,94%,96%,84%,87%,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
