No,Namespace,Variable,Forestdale Primary School - 133759,Bishop Wilson Church of England Primary School - 104105,Whitehall Junior Community School - 104162,Albert Bradbeer Primary Academy - 140889,Solihull School - 104124,Whitehouse Common Primary School - 132007,St John's Church of England Primary Academy - 140856,Great Bridge Primary School - 103915,Newfield Park Primary School - 103815,Temple Meadow Primary School - 103957,St Alphege Church of England Infant and Nursery School - 104090,Halesowen CofE Primary School - 103847,Windy Arbor Primary School - 104071,Whitehall Nursery and Infant School - 104163,Tividale Hall Primary School - 103960,Burnt Tree Primary School - 103914,Cofton Primary School - 103315,Palfrey Girls School - 104267,St Mary's The Mount Catholic Primary School - 104232,St Alphege Church of England Junior School - 104092,Tidbury Green School - 104065,St Martin's CofE Primary School - 103987,Our Lady and St Kenelm RC School - 103850,Old Hill Primary School - 103952,Coppice Primary School - 103390,St Columba's Catholic Primary School - 141669,Mayfield Preparatory School - 104265,Langley School - 103630,Saint Martin's School - 104123,Palfrey Junior School - 104160,St Mary's Catholic Primary School - 103993,St Mary's Catholic Primary School - 147795,Wood Green Junior School - 103913,Palfrey Infant School - 104161,New Hall Primary School - 103395,Caldmore Primary Academy - 143904,Reddal Hill Primary School - 103954,The Earls High School - 137812,Dudley Port School - 147736,Ormiston Forge Academy - 137673,Abu Bakr Boys School - 135483,Queen Mary's Grammar School - 136773,Wood Green Academy - 136616,Windsor High School and Sixth Form - 136618,Stuart Bathurst Catholic High School - 147881,Impact Independent School - 141560,Stuart Bathurst Catholic High School - 104020,The ACE Academy - 139328,Q3 Academy Tipton - 146383,Solihull Sixth Form College - 144887,National state-funded primary,National state-funded secondary and 16 to 18,Description
343,CFR_21,PT2021CAT1LA,NA,NA,NA,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,,NA,NA,NA,,NA,,,,,,,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
344,CFR_21,PT2021CAT2LA,NA,NA,NA,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,,NA,NA,NA,,NA,,,,,,,,,,,,,,,,2020-21 Supply Staff Costs (proportion of total expenditure) for LA
345,CFR_21,PT2021CAT3LA,NA,NA,NA,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,,NA,NA,NA,,NA,,,,,,,,,,,,,,,,2020-21 Back Office (proportion of total expenditure) for LA
346,CFR_21,PT2021CAT4LA,NA,NA,NA,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,,NA,NA,NA,,NA,,,,,,,,,,,,,,,,2020-21 Energy (proportion of total expenditure) for LA
347,CFR_21,PT2021CAT5LA,NA,NA,NA,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,,NA,NA,NA,,NA,,,,,,,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure) for LA
348,CFR_21,PDCAT1,2%,7%,3%,,,1%,,-2%,2%,3%,,1%,1%,1%,2%,3%,3%,,0%,2%,4%,0%,1%,2%,5%,,,4%,,3%,,,3%,0%,8%,,0%,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
349,CFR_21,PDCAT2,-3%,-1%,-2%,,,-1%,,1%,-1%,-2%,,2%,0%,-1%,0%,1%,-3%,,0%,-1%,0%,-2%,0%,0%,-1%,,,-1%,,0%,,,0%,1%,0%,,1%,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
350,CFR_21,PDCAT3,1%,0%,0%,,,-2%,,0%,0%,2%,,-1%,-1%,1%,0%,-1%,-2%,,0%,0%,0%,1%,0%,0%,-2%,,,3%,,0%,,,2%,1%,-1%,,2%,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
351,CFR_21,PDCAT4,0%,-1%,0%,,,0%,,0%,0%,-1%,,0%,0%,0%,0%,0%,5%,,0%,0%,0%,0%,0%,0%,0%,,,0%,,1%,,,-1%,0%,0%,,0%,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
352,CFR_21,PDCAT5,0%,0%,0%,,,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,,,0%,,0%,,,0%,0%,0%,,0%,,,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
353,CFR_19,LONDONORNONLONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,ABS_19,LA,330,334,335,330,,330,333,333,332,333,334,332,334,335,333,333,330,,335,334,334,333,332,333,330,330,,330,,335,333,,333,335,330,335,333,332,,333,,335,333,332,,,333,,333,,,,Local Authority Number
355,ABS_19,ESTAB,2486,3512,2031,3433,,2478,2006,2056,2138,2148,3302,3352,2066,2032,2151,2054,2289,,3302,3305,2058,3003,3357,2138,2464,2154,,7060,,2028,3305,,2051,2030,2469,2123,2141,4106,,4000,,5404,4024,5404,,,4600,,4006,,,,DfE number of establishment within LA
356,ABS_19,URN,133759,104105,104162,140889,,132007,140856,103915,103815,103957,104090,103847,104071,104163,103960,103914,103315,,104232,104092,104065,103987,103850,103952,103390,141669,,103630,,104160,103993,,103913,104161,103395,143904,103954,137812,,137673,,136773,136616,136618,,,104020,,146383,,,,School unique Reference Number
357,ABS_19,PERCTOT,5.1,4.9,5.6,4.2,,2.6,4.2,4.5,4.3,5.3,3.2,5.7,5.2,5.6,4.1,3.9,4.1,,3.4,3.1,4.3,3.8,3.7,5.4,3,4,,7.1,,3.1,3.4,,4.3,4,4.1,4.3,4.1,5.9,,4.5,,3.5,4.7,4.9,,,5.3,,5.7,,4,5.5,Percentage of overall absence (authorised and unauthorised) for the full 2018/19 academic year.
358,ABS_19,PPERSABS10,13.5,11.9,16.5,9.5,,2,9.2,11.7,10.4,14,4.6,17.7,14.5,14.5,8.3,9.8,7.3,,3.9,4.2,9.9,8.5,4.3,16.4,3.2,10.3,,22.3,,4.3,4.8,,8.2,6.9,8.8,10.8,8.1,16.6,,9.9,,4.1,11.7,12.4,,,12.9,,17,,8.2,13.7,Percentage of enrolments who are persistent absentees - missing 10% or more of possible sessions across the full 2018/19 academic year.
359,ABS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
360,KS4_PUPDEST_19,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,,1,1,,,,7,Record type
361,KS4_PUPDEST_19,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,333,,335,333,332,,,333,333,,,,,Local authority number
362,KS4_PUPDEST_19,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4106,,4000,,5404,4024,5404,,,4600,4001,,,,,Establishment number
363,KS4_PUPDEST_19,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137812,,137673,,136773,136616,136618,,,104020,139328,,,,,School Unique Reference Number
364,KS4_PUPDEST_19,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,0,1,,,,,Closed school flag
365,KS4_PUPDEST_19,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Earls High School,,Ormiston Forge Academy,,Queen Mary's Grammar School,Wood Green Academy,Windsor High School and Sixth Form,,,Stuart Bathurst Catholic High School College of Performing Arts,The ACE Academy,,,,,School name
366,KS4_PUPDEST_19,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,,AC,,ACC,ACC,ACC,,,VA,AC,,,,,School type
367,KS4_PUPDEST_19,COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,151,,95,244,275,,,146,247,,,,528139,Number of pupils completing key stage 4 in 2016/17
368,KS4_PUPDEST_19,OVERALL_DEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,,140,,95,235,255,,,131,230,,,,497037,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
369,KS4_PUPDEST_19,APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,9,,0,11,11,,,5,13,,,,22539,Apprenticeships (number of pupils)
370,KS4_PUPDEST_19,EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,,0,10,9,,,3,7,,,,16570,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
371,KS4_PUPDEST_19,EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,128,,95,214,235,,,123,210,,,,457928,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
372,KS4_PUPDEST_19,FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,49,,1,105,121,,,70,141,,,,194858,Further education (number of pupils)
373,KS4_PUPDEST_19,SCH_6TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,72,,94,109,58,,,51,59,,,,196140,School sixth form (number of pupils)
374,KS4_PUPDEST_19,SIXTH_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,5,,0,0,54,,,0,6,,,,56382,Sixth form college (number of pupils)
375,KS4_PUPDEST_19,OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,0,0,2,,,2,4,,,,10548,Other education destination (number of pupils)
376,KS4_PUPDEST_19,NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,9,,0,6,19,,,14,14,,,,26414,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
377,KS4_PUPDEST_19,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,0,3,1,,,1,3,,,,4688,Activity not captured (number of pupils)
378,KS4_PUPDEST_19,OVERALL_DESTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94%,,93%,,100%,96%,93%,,,90%,93%,,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
379,KS4_PUPDEST_19,APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,6%,,0%,5%,4%,,,3%,5%,,,,4%,Apprenticeships (percentage)
380,KS4_PUPDEST_19,EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,2%,,0%,4%,3%,,,2%,3%,,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
381,KS4_PUPDEST_19,EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85%,,85%,,100%,88%,85%,,,84%,85%,,,,87%,Pupils staying in education for at least two terms after key stage 4 (percentage)
382,KS4_PUPDEST_19,FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54%,,32%,,1%,43%,44%,,,48%,57%,,,,37%,Further education (percentage)
383,KS4_PUPDEST_19,SCH_6THPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,48%,,99%,45%,21%,,,35%,24%,,,,37%,School sixth form (percentage)
384,KS4_PUPDEST_19,SIXTH_COLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,3%,,0%,0%,20%,,,0%,2%,,,,11%,Sixth form college (percentage)
385,KS4_PUPDEST_19,OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,1%,,0%,0%,1%,,,1%,2%,,,,2%,Other education destination (percentage)
386,KS4_PUPDEST_19,NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,6%,,0%,2%,7%,,,10%,6%,,,,5%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
387,KS4_PUPDEST_19,UNKNOWNPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,1%,,0%,1%,SP,,,1%,1%,,,,1%,Activity not captured (percentage)
388,KS4_PUPDEST_19,COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,60,,42,219,75,,,69,111,,,,142045,Number of disadvantaged pupils completing key stage 4 in 2016/17
389,KS4_PUPDEST_19,OVERALL_DEST_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,56,,42,210,69,,,60,103,,,,125685,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
390,KS4_PUPDEST_19,APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,0,10,3,,,3,9,,,,4567,Apprenticeships (number of pupils)
391,KS4_PUPDEST_19,EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,0,10,1,,,0,5,,,,6301,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
392,KS4_PUPDEST_19,EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,51,,42,190,65,,,57,89,,,,114817,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
393,KS4_PUPDEST_19,FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,21,,SUPP,96,45,,,39,59,,,,63237,Further education (number of pupils)
394,KS4_PUPDEST_19,SCH_6TH_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,29,,SUPP,94,14,,,18,25,,,,35282,School sixth form (number of pupils)
395,KS4_PUPDEST_19,SIXTH_COL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,SUPP,,0,0,4,,,0,2,,,,12078,Sixth form college (number of pupils)
396,KS4_PUPDEST_19,OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,SUPP,,0,0,2,,,0,3,,,,4220,Other education destination (number of pupils)
397,KS4_PUPDEST_19,NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,4,,0,6,6,,,8,7,,,,14447,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
398,KS4_PUPDEST_19,UNKNOWN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,3,0,,,1,1,,,,1913,Activity not captured (number of pupils)
399,KS4_PUPDEST_19,OVERALL_DESTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83%,,93%,,100%,96%,92%,,,87%,93%,,,,88%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
400,KS4_PUPDEST_19,APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,5%,,0%,5%,4%,,,4%,8%,,,,3%,Apprenticeships (percentage)
401,KS4_PUPDEST_19,EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,3%,,0%,5%,1%,,,0%,5%,,,,4%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
402,KS4_PUPDEST_19,EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77%,,85%,,100%,87%,87%,,,83%,80%,,,,81%,Pupils staying in education for at least two terms after key stage 4 (percentage)
403,KS4_PUPDEST_19,FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64%,,35%,,SUPP,44%,60%,,,57%,53%,,,,45%,Further education (percentage)
404,KS4_PUPDEST_19,SCH_6THPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,48%,,SUPP,43%,19%,,,26%,23%,,,,25%,School sixth form (percentage)
405,KS4_PUPDEST_19,SIXTH_COLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,,SUPP,,0%,0%,5%,,,0%,2%,,,,9%,Sixth form college (percentage)
406,KS4_PUPDEST_19,OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,SUPP,,0%,0%,3%,,,0%,3%,,,,3%,Other education destination (percentage)
407,KS4_PUPDEST_19,NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,,7%,,0%,3%,8%,,,12%,6%,,,,10%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
408,KS4_PUPDEST_19,UNKNOWNPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,0%,,0%,1%,0%,,,1%,1%,,,,1%,Activity not captured (percentage)
409,KS4_PUPDEST_19,COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,91,,53,25,200,,,77,136,,,,386094,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17
410,KS4_PUPDEST_19,OVERALL_DEST_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,84,,53,25,186,,,71,127,,,,371352,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils)
411,KS4_PUPDEST_19,APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,6,,0,1,8,,,2,4,,,,17972,Apprenticeships (number of pupils)
412,KS4_PUPDEST_19,EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,0,0,8,,,3,2,,,,10269,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
413,KS4_PUPDEST_19,EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,77,,53,24,170,,,66,121,,,,343111,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
414,KS4_PUPDEST_19,FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,28,,SUPP,9,76,,,31,82,,,,131621,Further education (number of pupils)
415,KS4_PUPDEST_19,SCH_6TH_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,43,,SUPP,15,44,,,33,34,,,,160858,School sixth form (number of pupils)
416,KS4_PUPDEST_19,SIXTH_COL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,SUPP,,0,0,50,,,0,4,,,,44304,Sixth form college (number of pupils)
417,KS4_PUPDEST_19,OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,SUPP,,0,0,0,,,2,1,,,,6328,Other education destination (number of pupils)
418,KS4_PUPDEST_19,NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,0,13,,,6,7,,,,11967,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
419,KS4_PUPDEST_19,UNKNOWN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,0,0,1,,,0,2,,,,2775,Activity not captured (number of pupils)
420,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97%,,92%,,100%,100%,93%,,,92%,93%,,,,96%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
421,KS4_PUPDEST_19,APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,7%,,0%,4%,4%,,,3%,3%,,,,5%,Apprenticeships (percentage)
422,KS4_PUPDEST_19,EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,1%,,0%,0%,4%,,,4%,1%,,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
423,KS4_PUPDEST_19,EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87%,,85%,,100%,96%,85%,,,86%,89%,,,,89%,Pupils staying in education for at least two terms after key stage 4 (percentage)
424,KS4_PUPDEST_19,FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51%,,31%,,SUPP,36%,38%,,,40%,60%,,,,34%,Further education (percentage)
425,KS4_PUPDEST_19,SCH_6THPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,47%,,SUPP,60%,22%,,,43%,25%,,,,42%,School sixth form (percentage)
426,KS4_PUPDEST_19,SIXTH_COLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,SUPP,,0%,0%,25%,,,0%,3%,,,,11%,Sixth form college (percentage)
427,KS4_PUPDEST_19,OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,SUPP,,0%,0%,0%,,,3%,1%,,,,2%,Other education destination (percentage)
428,KS4_PUPDEST_19,NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,5%,,0%,0%,7%,,,8%,5%,,,,3%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
429,KS4_PUPDEST_19,UNKNOWNPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,2%,,0%,0%,1%,,,0%,1%,,,,1%,Activity not captured (percentage)
430,KS4_PUPDEST_19,COHORT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,152,,95,243,270,,,149,245,,,,541121,Number of pupils completing key stage 4 in 2016/17
431,KS4_PUPDEST_19,OVERALL_DESTPER_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96%,,95%,,100%,93%,95%,,,95%,93%,,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
432,KS4_PUPDEST_19,COHORT_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,70,,SUPP,76,72,,,68,105,,,,148779,Number of disadvantaged pupils completing key stage 4 in 2016/17
433,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,,91%,,SUPP,88%,92%,,,93%,91%,,,,88%,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
434,KS4_PUPDEST_19,COHORT_NONDIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,82,,SUPP,167,198,,,81,140,,,,392342,Number of pupils not identified as disadvantaged completing key stage 4 in 2016/17
435,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97%,,99%,,SUPP,95%,96%,,,96%,94%,,,,96%,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
436,KS4_PUPDEST_19,COHORT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,211,,93,246,274,,,136,249,,,,553912,
437,KS4_PUPDEST_19,OVERALL_DESTPER_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97%,,91%,,99%,94%,95%,,,95%,94%,,,,94%,
438,KS4_PUPDEST_19,COHORT_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,91,,8,84,63,,,50,116,,,,151401,
439,KS4_PUPDEST_19,OVERALL_DESTPER_DIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93%,,90%,,100%,88%,87%,,,90%,91%,,,,88%,
440,KS4_PUPDEST_19,COHORT_NONDIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,120,,85,162,211,,,86,133,,,,402511,
441,KS4_PUPDEST_19,OVERALL_DESTPER_NONDIS_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98%,,91%,,99%,97%,97%,,,98%,95%,,,,96%,
442,KS4_PUPDEST_21,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,,,,,,,,Record type
443,KS4_PUPDEST_21,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,333,,335,333,332,,,,,,,,,Local authority number
444,KS4_PUPDEST_21,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4106,,4000,,5404,4024,5404,,,,,,,,,Establishment number
445,KS4_PUPDEST_21,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137812,,137673,,136773,136616,136618,,,,,,,,,School Unique Reference Number
446,KS4_PUPDEST_21,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,Closed school flag
447,KS4_PUPDEST_21,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Earls High School,,Ormiston Forge Academy,,Queen Mary's Grammar School,Wood Green Academy,Windsor High School and Sixth Form,,,,,,,,,School name
448,KS4_PUPDEST_21,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,,AC,,ACC,ACC,ACC,,,,,,,,,School type
449,KS4_PUPDEST_21,COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,217,,119,247,270,,,,,,,,,Number of pupils completing key stage 4 in 2016/17
450,KS4_PUPDEST_21,OVERALL_DEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,205,,119,231,260,,,,,,,,,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
451,KS4_PUPDEST_21,APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,6,,1,8,11,,,,,,,,,Apprenticeships (number of pupils)
452,KS4_PUPDEST_21,EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,8,,0,4,4,,,,,,,,,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
453,KS4_PUPDEST_21,EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,191,,118,219,245,,,,,,,,,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
454,KS4_PUPDEST_21,FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,100,,9,130,111,,,,,,,,,Further education (number of pupils)
455,KS4_PUPDEST_21,SCH_6TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,79,,108,87,94,,,,,,,,,School sixth form (number of pupils)
456,KS4_PUPDEST_21,SIXTH_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,9,,0,0,39,,,,,,,,,Sixth form college (number of pupils)
